entry_date,exit_date,exit_reason,ivp,vix,regime,trend,exit_pnl,pnl_pct,contracts,total_bp,gate_status,vix_bucket
2015-10-09,2015-10-22,roll_21dte,69.7,17.08,NORMAL,BULLISH,4675.558013706589,66.69276893381935,5.0018,22500.0,BLOCKED (≥55),2. VIX 15-18
2015-10-26,2015-11-06,roll_21dte,57.4,15.29,NORMAL,BULLISH,3552.1599278987205,51.64908416614487,5.4403,22500.0,BLOCKED (≥55),2. VIX 15-18
2015-11-09,2015-11-20,roll_21dte,67.3,16.52,NORMAL,BULLISH,2272.0724262825624,32.792763853319144,5.0739,22500.0,BLOCKED (≥55),2. VIX 15-18
2015-11-20,2015-12-04,roll_21dte,57.8,15.47,NORMAL,BULLISH,1472.2713690288804,21.375196068155805,5.3432,22500.0,BLOCKED (≥55),2. VIX 15-18
2015-12-07,2015-12-18,roll_21dte,59.4,15.84,NORMAL,BULLISH,-7204.463556069385,-104.29958791807152,5.2513,22500.0,BLOCKED (≥55),2. VIX 15-18
2016-03-10,2016-03-23,roll_21dte,62.9,18.05,NORMAL,BULLISH,5177.800110434563,73.52250535521257,4.843,22500.0,BLOCKED (≥55),3. VIX 18-22
2016-03-28,2016-04-08,roll_21dte,43.4,15.24,NORMAL,BULLISH,1794.79126563058,26.007466292646647,5.5474,22500.0,ALLOWED (43-54),2. VIX 15-18
2016-06-23,2016-07-07,roll_21dte,56.2,17.25,NORMAL,BULLISH,756.5785106268889,10.834982869774167,4.7553,22500.0,BLOCKED (≥55),2. VIX 15-18
2019-01-18,2019-02-01,roll_21dte,59.4,17.8,NORMAL,BULLISH,3593.036725824296,51.00081930628952,3.6931,22500.0,BLOCKED (≥55),2. VIX 15-18
2019-02-01,2019-02-14,roll_21dte,47.0,16.14,NORMAL,BULLISH,3132.758914124966,44.94228755240528,3.9825,22500.0,ALLOWED (43-54),2. VIX 15-18
2019-02-14,2019-02-28,roll_21dte,50.2,16.22,NORMAL,BULLISH,3750.5732121901433,53.939717097110126,3.8754,22500.0,ALLOWED (43-54),2. VIX 15-18
2019-03-06,2019-03-19,roll_21dte,49.8,15.74,NORMAL,BULLISH,4983.810212275973,72.27665732712825,3.9194,22500.0,ALLOWED (43-54),2. VIX 15-18
2019-03-22,2019-04-04,roll_21dte,60.2,16.48,NORMAL,BULLISH,5630.84253396663,81.05361348352457,3.6809,22500.0,BLOCKED (≥55),2. VIX 15-18
2019-06-18,2019-07-01,roll_21dte,47.8,15.15,NORMAL,BULLISH,3943.6795900632183,57.29636834102719,3.8662,22500.0,ALLOWED (43-54),2. VIX 15-18
2019-07-31,2019-08-13,roll_21dte,60.2,16.12,NORMAL,BULLISH,-3147.009072679073,-45.25125890266755,3.592,22500.0,BLOCKED (≥55),2. VIX 15-18
2019-09-05,2019-09-18,roll_21dte,52.2,16.27,NORMAL,BULLISH,3673.9671205086643,52.629650794284956,3.5952,22500.0,ALLOWED (43-54),2. VIX 15-18
2020-02-07,2020-02-21,roll_21dte,65.7,15.47,NORMAL,BULLISH,776.7073447024547,11.225608844271683,3.3431,22500.0,BLOCKED (≥55),2. VIX 15-18
2020-08-17,2020-08-27,roll_up,51.4,21.35,NORMAL,BULLISH,3158.5196098353445,44.10403076010604,2.4514,22500.0,ALLOWED (43-54),3. VIX 18-22
2021-08-18,2021-08-31,roll_21dte,49.0,21.57,NORMAL,BULLISH,5685.514127077956,78.91575477718771,1.8682,22500.0,ALLOWED (43-54),3. VIX 18-22
2021-11-22,2021-12-06,roll_21dte,52.2,19.17,NORMAL,BULLISH,-4008.864955985743,-56.76795889539512,1.9577,22500.0,ALLOWED (43-54),3. VIX 18-22
2021-12-08,2021-12-21,roll_21dte,59.4,19.9,NORMAL,BULLISH,-1040.8938028130865,-14.670228481721539,1.8731,22500.0,BLOCKED (≥55),3. VIX 18-22
2022-04-04,2022-04-18,roll_21dte,48.2,18.57,NORMAL,BULLISH,-7381.946871575515,-104.58475380188376,2.067,22500.0,ALLOWED (43-54),3. VIX 18-22
2022-04-19,2022-05-02,roll_21dte,68.9,21.37,NORMAL,BULLISH,-10408.2712461585,-145.42873832630266,1.8652,22500.0,BLOCKED (≥55),3. VIX 18-22
2022-07-29,2022-08-11,roll_21dte,43.4,21.33,NORMAL,BULLISH,3620.8044205127107,50.574683158165755,2.004,22500.0,ALLOWED (43-54),3. VIX 18-22
2024-02-13,2024-02-27,roll_21dte,53.0,15.85,NORMAL,BULLISH,5341.765091369828,77.19577376153565,2.1632,22500.0,ALLOWED (43-54),2. VIX 15-18
2024-08-30,2024-09-13,roll_21dte,67.7,15.0,NORMAL,BULLISH,-498.0423415696456,-7.231337866963964,2.0267,22500.0,BLOCKED (≥55),2. VIX 15-18
2024-09-24,2024-10-07,roll_21dte,65.7,15.39,NORMAL,BULLISH,-2629.5493441733693,-38.05858870902576,1.9606,22500.0,BLOCKED (≥55),2. VIX 15-18
2024-11-07,2024-11-20,roll_21dte,62.5,15.2,NORMAL,BULLISH,-1697.6343772501075,-24.49251401822542,1.8988,22500.0,BLOCKED (≥55),2. VIX 15-18
2025-01-21,2025-02-03,roll_21dte,52.2,15.06,NORMAL,BULLISH,-2170.330783147909,-31.27801945944544,1.8993,22500.0,ALLOWED (43-54),2. VIX 15-18
2025-02-05,2025-02-19,roll_21dte,56.2,15.77,NORMAL,BULLISH,3304.870075090973,47.803005936972845,1.8045,22500.0,BLOCKED (≥55),2. VIX 15-18
2025-02-19,2025-03-04,roll_21dte,49.0,15.27,NORMAL,BULLISH,-12021.309702597679,-174.55572365543895,1.8253,22500.0,ALLOWED (43-54),2. VIX 15-18
2025-05-13,2025-05-27,roll_21dte,60.2,18.22,NORMAL,BULLISH,1593.6638367432874,22.69368455873612,1.6311,22500.0,BLOCKED (≥55),3. VIX 18-22
2025-05-30,2025-06-12,roll_21dte,59.8,18.57,NORMAL,BULLISH,4056.6630189819607,57.44538317905502,1.5979,22500.0,BLOCKED (≥55),3. VIX 18-22
2025-06-12,2025-06-26,roll_21dte,53.0,18.02,NORMAL,BULLISH,3747.6960034031217,53.31636341224078,1.5876,22500.0,ALLOWED (43-54),3. VIX 18-22
2025-07-07,2025-07-18,roll_21dte,48.6,17.79,NORMAL,BULLISH,3130.723981219288,44.64873177739017,1.5782,22500.0,ALLOWED (43-54),2. VIX 15-18
2025-09-02,2025-09-15,roll_21dte,45.8,17.17,NORMAL,BULLISH,5283.379849982048,75.49067638522986,1.5775,22500.0,ALLOWED (43-54),2. VIX 15-18
2025-09-25,2025-10-08,roll_21dte,43.8,16.74,NORMAL,BULLISH,4214.149401538303,60.2950401705021,1.577,22500.0,ALLOWED (43-54),2. VIX 15-18
2025-10-22,2025-11-04,roll_21dte,65.3,18.6,NORMAL,BULLISH,2354.269401616946,33.534860994288614,1.3859,22500.0,BLOCKED (≥55),3. VIX 18-22
2025-11-11,2025-11-24,roll_21dte,55.0,17.28,NORMAL,BULLISH,-3773.7758035582297,-54.0748782391097,1.4666,22500.0,BLOCKED (≥55),2. VIX 15-18
2025-12-09,2025-12-22,roll_21dte,45.4,16.93,NORMAL,BULLISH,3168.2871026331804,45.66269713841822,1.4943,22500.0,ALLOWED (43-54),2. VIX 15-18
2026-01-14,2026-01-28,roll_21dte,45.4,16.75,NORMAL,BULLISH,2324.047582273396,33.214116812327134,1.4973,22500.0,ALLOWED (43-54),2. VIX 15-18
2026-01-29,2026-02-11,roll_21dte,47.8,16.88,NORMAL,BULLISH,-18.034829263638482,-0.2583168361500053,1.4815,22500.0,ALLOWED (43-54),2. VIX 15-18
2026-02-25,2026-03-10,roll_21dte,57.4,17.93,NORMAL,BULLISH,-4790.759085158407,-68.24193647073638,1.4057,22500.0,BLOCKED (≥55),2. VIX 15-18
2026-04-13,2026-04-17,roll_up,65.7,19.12,NORMAL,BULLISH,4780.03776285951,67.92236191383844,1.3305,22500.0,BLOCKED (≥55),3. VIX 18-22
2026-04-17,2026-04-30,roll_21dte,51.4,17.48,NORMAL,BULLISH,2938.4374384550797,41.93550807759233,1.3984,22500.0,ALLOWED (43-54),2. VIX 15-18
2026-04-30,2026-05-08,open_at_end,43.0,16.89,NORMAL,BULLISH,3890.107432198469,55.55979750204531,1.4321,22500.0,ALLOWED (43-54),2. VIX 15-18
