date,vix,peak_10d,off_peak_%,status,gap_to_nearest_raw_TD,nearest_raw_date,abs_gap,close_to_raw,year
2009-01-26,45.689998626708984,56.650001525878906,19.346871322083125,blocked_by_extreme,2,2009-01-28,2,True,2009
2009-01-27,42.25,56.650001525878906,25.41924296206891,blocked_by_extreme,1,2009-01-28,1,True,2009
2009-01-29,42.630001068115234,56.650001525878906,24.748455569518455,blocked_by_extreme,-1,2009-01-28,1,True,2009
2009-01-30,44.84000015258789,56.650001525878906,20.84730989441538,blocked_by_extreme,-2,2009-01-28,2,True,2009
2009-02-02,45.52000045776367,56.650001525878906,19.646956343029963,blocked_by_extreme,-3,2009-01-28,3,True,2009
2009-02-12,41.25,46.66999816894531,11.613452713936113,blocked_by_extreme,-11,2009-01-28,11,False,2009
2009-02-24,45.4900016784668,52.619998931884766,13.549976051211187,blocked_by_extreme,-18,2009-01-28,18,False,2009
2009-02-25,44.66999816894531,52.619998931884766,15.1083255878255,blocked_by_extreme,-19,2009-01-28,19,False,2009
2009-02-26,44.65999984741211,52.619998931884766,15.127326579342338,blocked_by_extreme,-20,2009-01-28,20,False,2009
2009-02-27,46.349998474121094,52.619998931884766,11.915622548529559,blocked_by_extreme,-21,2009-01-28,21,False,2009
2009-03-10,44.369998931884766,52.650001525878906,15.72650019758175,blocked_by_extreme,18,2009-04-03,18,False,2009
2009-03-11,43.61000061035156,52.650001525878906,17.169991744604108,blocked_by_extreme,17,2009-04-03,17,False,2009
2009-03-12,41.18000030517578,52.650001525878906,21.785376805858792,blocked_by_extreme,16,2009-04-03,16,False,2009
2009-03-13,42.36000061035156,52.650001525878906,19.544160716632707,blocked_by_extreme,15,2009-04-03,15,False,2009
2009-03-16,43.7400016784668,50.93000030517578,14.117413280239655,blocked_by_extreme,14,2009-04-03,14,False,2009
2009-03-17,40.79999923706055,50.16999816894531,18.676498452983193,blocked_by_extreme,13,2009-04-03,13,False,2009
2009-03-18,40.060001373291016,50.16999816894531,20.15147929965897,blocked_by_extreme,12,2009-04-03,12,False,2009
2009-03-19,43.68000030517578,49.68000030517578,12.07729461180157,blocked_by_extreme,11,2009-04-03,11,False,2009
2009-03-26,40.36000061035156,45.88999938964844,12.050553176830714,blocked_by_extreme,6,2009-04-03,6,False,2009
2009-03-27,41.040000915527344,45.88999938964844,10.568748177440867,blocked_by_extreme,5,2009-04-03,5,False,2009
2009-04-06,40.93000030517578,45.540000915527344,10.122969955364525,blocked_by_extreme,-1,2009-04-03,1,True,2009
2009-04-07,40.38999938964844,45.540000915527344,11.308742692894757,blocked_by_extreme,1,2009-04-08,1,True,2009
2010-05-21,40.099998474121094,45.790000915527344,12.426299033937728,blocked_by_extreme,1,2010-05-24,1,True,2010
2011-08-10,42.9900016784668,48.0,10.437496503194177,blocked_by_extreme,-1,2011-08-09,1,True,2011
2011-08-18,42.66999816894531,48.0,11.104170481363928,blocked_by_extreme,-1,2011-08-17,1,True,2011
2011-08-19,43.04999923706055,48.0,10.31250158945719,blocked_by_extreme,-2,2011-08-17,2,True,2011
2011-10-04,40.81999969482422,45.45000076293945,10.187020880955844,blocked_by_extreme,1,2011-10-05,1,True,2011
2020-03-10,47.29999923706055,54.459999084472656,13.147263987842283,blocked_by_extreme,-4,2020-03-04,4,False,2020
2020-03-13,57.83000183105469,75.47000122070312,23.37352471753954,blocked_by_extreme,-7,2020-03-04,7,False,2020
2020-03-19,72.0,82.69000244140625,12.92780520714235,blocked_by_extreme,-11,2020-03-04,11,False,2020
2020-03-20,66.04000091552734,82.69000244140625,20.13544689114869,blocked_by_extreme,-12,2020-03-04,12,False,2020
2020-03-23,61.59000015258789,82.69000244140625,25.516993186412982,blocked_by_extreme,-13,2020-03-04,13,False,2020
