date,year,vix_pre5,vix_day,vix_post1,vix_post5,vix_chg_pre_to_day_pct,vix_crush_day_to_post1_pct,vix_crush_day_to_post5_pct,abs_move_day_pct,abs_move_post1_pct
2002-06-26,2002,26.059999465942383,28.420000076293945,26.290000915527344,29.420000076293945,9.056027086400476,-7.4947190536544195,3.5186488294000062,0.26737817448273526,1.7575200391014123
2002-08-13,2002,42.029998779296875,35.81999969482422,32.36000061035156,29.59000015258789,-14.775158850424653,-9.659405678254673,-17.392517016510546,2.1675111844325357,4.004701627960761
2002-09-24,2002,38.0099983215332,40.52000045776367,37.33000183105469,34.119998931884766,6.603531299838328,-7.872652000668423,-15.794672886418148,1.7284435610766313,2.4862985833457474
2002-11-06,2002,31.229999542236328,30.729999542236328,31.420000076293945,31.239999771118164,-1.6010246792472316,2.245364608968692,1.6596167799510564,0.9143638212398608,2.2852239898237703
2002-12-10,2002,28.329999923706055,28.760000228881836,27.760000228881836,26.65999984741211,1.51782670784959,-3.4770514326900592,-7.301809335038978,1.3957412788151657,0.05638893899515551
2003-01-29,2003,29.010000228881836,31.260000228881836,31.31999969482422,33.040000915527344,7.755946164246974,0.19193686981149316,5.694180017954453,0.6778959015503627,2.2849276151957754
2003-03-18,2003,33.61000061035156,30.43000030517578,31.540000915527344,28.75,-9.461470536826976,3.6477180388419628,-5.520868512413502,0.4242091671087467,0.8736807914557332
2003-05-06,2003,20.760000228881836,20.799999237060547,21.0,19.90999984741211,0.192673447676861,0.9615421647857669,-4.278843376410679,0.8461526046903867,0.5104955592922011
2003-06-25,2003,19.760000228881836,20.809999465942383,19.399999618530273,19.030000686645508,5.313761259606853,-6.775588099940677,-8.553574363180639,0.8266820663886509,1.076569733128574
2003-08-12,2003,22.68000030517578,17.940000534057617,18.770000457763672,17.860000610351562,-20.899469609074274,4.626532324401933,-0.44593044216570954,0.9953138889008173,0.638152819191351
2003-09-15,2003,18.260000228881836,19.280000686645508,18.030000686645508,19.649999618530273,5.585982721677829,-6.483402258724114,1.9190815285657692,0.37501421575130145,1.4298192533948706
2003-09-16,2003,18.850000381469727,18.030000686645508,18.149999618530273,19.469999313354492,-4.350130918990914,0.6655514548795649,7.986680931052681,1.4298192533948706,0.3254552287668133
2003-10-28,2003,16.549999237060547,16.81999969482422,16.43000030517578,16.549999237060547,1.6314227807277426,-2.31866466542473,-1.6052346174938115,1.5187254861686705,0.12609465506996376
2003-12-09,2003,16.270000457763672,17.6299991607666,17.8700008392334,15.930000305175781,8.358934632690618,1.3613255240583877,-9.642648533835207,0.8528939213256703,0.10658612929541622
2004-01-28,2004,14.34000015258789,16.780000686645508,17.139999389648438,17.8700008392334,17.01534524472985,2.145403386600786,6.4958290106351235,1.360960420859536,0.49890161812828904
2004-03-16,2004,16.600000381469727,20.34000015258789,18.110000610351562,20.670000076293945,22.53011858537701,-10.963616152935973,1.622418491791744,0.5622469187051893,1.1749391736585624
2004-05-04,2004,15.069999694824219,16.549999237060547,15.770000457763672,18.56999969482422,9.820833259503203,-4.712983777970314,12.205441395068274,0.184346939279334,0.17685502053459423
2004-06-30,2004,13.979999542236328,14.34000015258789,15.199999809265137,16.200000762939453,2.5751117463482798,5.997208141745003,12.97071541534045,0.4083801133464071,1.0430932269721027
2004-08-10,2004,16.030000686645508,17.469999313354492,18.040000915527344,17.020000457763672,8.983147629610766,3.262745418296209,-2.5758378550526317,1.2973910309109993,0.30119364271447013
2004-09-21,2004,13.5600004196167,13.65999984741211,14.739999771118164,13.829999923706055,0.7374588842250063,7.90629528382214,1.2445100892600092,0.6326945255019423,1.3937828348372427
2004-11-10,2004,14.039999961853027,13.079999923706055,13.039999961853027,13.210000038146973,-6.837607127886846,-0.30581010769374917,0.9938846727767014,0.10050184859853317,0.9089220987346991
2004-12-14,2004,13.670000076293945,12.729999542236328,12.350000381469727,11.550000190734863,-6.87637548508675,-2.9850681416430436,-9.269437501442123,0.3920938833781973,0.19444945161277705
2005-02-02,2005,13.4399995803833,11.65999984741211,11.789999961853027,12.0,-13.244046045724856,1.1149238091094027,2.915953319359188,0.3177968167360712,0.2765634073250145
2005-03-22,2005,13.149999618530273,14.270000457763672,14.0600004196167,13.640000343322754,8.517116895236665,-1.471619000773905,-4.414857002321703,1.0196208806246054,0.06998902345414226
2005-05-03,2005,14.90999984741211,14.529999732971191,13.850000381469727,14.90999984741211,-2.5486258774635284,-4.679968093587938,2.6152795693356268,0.085185362192719,1.2470163645930121
2005-06-30,2005,12.130000114440918,12.039999961853027,11.399999618530273,11.449999809265137,-0.7419633284318272,-5.315617486299839,-4.900333508780896,0.7100904033514155,0.26105155299391836
2005-08-09,2005,11.75,12.399999618530273,12.380000114440918,13.520000457763672,5.531911647066168,-0.1612863282630106,9.03226511039319,0.6744990284814678,0.18272182357014222
2005-09-20,2005,12.390000343322754,12.640000343322754,13.789999961853027,12.760000228881836,2.0177561991330473,9.0980980007471,0.9493661574342616,0.7863441339177824,0.9121141500479157
2005-11-01,2005,14.529999732971191,14.850000381469727,13.479999542236328,13.079999923706055,2.2023444898790823,-9.225594640003687,-11.91919469559295,0.3521097559766928,0.9977052697601962
2005-12-13,2005,11.520000457763672,11.109999656677246,10.479999542236328,11.1899995803833,-3.5590345902296705,-5.670568262009623,0.7200713427382821,0.5553660022141527,0.4189530229214977
2006-01-31,2006,13.3100004196167,12.949999809265137,12.359999656677246,13.59000015258789,-2.7047377836366016,-4.555985801372541,4.942087666015738,0.3976054579116317,0.18592626746127827
2006-03-28,2006,11.619999885559082,11.579999923706055,10.949999809265137,11.140000343322754,-0.3442337542768681,-5.440415531879328,-3.799650978257374,0.643818423116127,0.7469695510914587
2006-05-10,2006,11.989999771118164,11.779999732971191,12.489999771118164,16.260000228881836,-1.7514599012155685,6.0271651463602804,38.03056534349074,0.17281487519698047,1.2798073820219913
2006-06-29,2006,15.880000114440918,13.029999732971191,13.079999923706055,13.970000267028809,-17.94710554742377,0.3837313258598263,7.214125505152813,2.1565004106891994,0.20976564421778532
2006-08-08,2006,15.050000190734863,15.229999542236328,15.199999809265137,13.420000076293945,1.1960089649186711,-0.19697789804914434,-11.884435458601516,0.3362705657620202,0.43492853853949187
2006-09-20,2006,11.180000305175781,11.390000343322754,12.25,11.579999923706055,1.8783544938702157,7.550479637881757,1.6681262041812417,0.5722381666218412,0.5395511646919315
2006-10-25,2006,11.34000015258789,10.65999984741211,10.5600004196167,11.510000228881836,-5.99647527359688,-0.9380809495948217,7.9737372761415015,0.3513892900401272,0.49630199946197884
2006-12-12,2006,11.270000457763672,10.649999618530273,10.180000305175781,10.300000190734863,-5.501338190330706,-4.413139250603592,-3.286379721426802,0.10473733424651854,0.11688502615989638
2007-01-31,2007,9.890000343322754,10.420000076293945,10.3100004196167,10.319999694824219,5.358945546741278,-1.0556588855263227,-0.9596965521836531,0.6592883847806208,0.5353731800087358
2007-03-21,2007,17.270000457763672,12.1899995803833,12.930000305175781,14.979999542236328,-29.4151751171302,6.0705557856074455,22.887613272299223,1.7080881296924755,0.03484223341437831
2007-05-09,2007,13.079999923706055,12.880000114440918,13.600000381469727,13.5,-1.5290505384687236,5.590064135337647,4.813663664986656,0.32234005292746115,1.3956277330703482
2007-06-28,2007,14.210000038146973,15.539999961853027,16.229999542236328,14.720000267028809,9.359605349300825,4.440151750817778,-5.276703325850196,0.04182355225962331,0.15673572021088766
2007-08-07,2007,23.520000457763672,21.559999465942383,21.450000762939453,27.68000030517578,-8.333337388070994,-0.5101980785142901,28.385904410159934,0.6159366016551537,1.4071842031649018
2007-09-18,2007,25.270000457763672,20.350000381469727,20.030000686645508,18.600000381469727,-19.469726898174155,-1.5724800433694508,-8.599508438307025,2.920800742879237,0.6086407125825533
2007-10-31,2007,20.799999237060547,18.530000686645508,23.209999084472656,26.489999771118164,-10.913454969606217,25.2563314862692,42.957359900204395,1.1991995609034412,2.6423513500588247
2007-12-11,2007,23.790000915527344,23.59000015258789,22.469999313354492,22.639999389648438,-0.8406925399019882,-4.747778007583148,-4.027133348005663,2.5271074111842595,0.6050107439882435
2008-01-30,2008,29.020000457763672,27.6200008392334,26.200000762939453,28.969999313354492,-4.824257741028859,-5.14120214752809,4.887756817890687,0.47639947161109975,1.6772253672436177
2008-03-18,2008,26.360000610351562,25.790000915527344,29.84000015258789,26.079999923706055,-2.162366015273842,15.70375763198275,1.1244629619385327,4.240953758720556,2.428719849575589
2008-04-30,2008,20.260000228881836,20.790000915527344,18.8799991607666,19.729999542236328,2.615995462280196,-9.187117222944552,-5.0986114796144015,0.38463023648085404,1.7140713043443112
