strategy,underlying,entry_date,exit_date,entry_spx,exit_spx,entry_vix,entry_credit,exit_pnl,exit_reason,dte_at_entry,dte_at_exit,spread_width,option_premium,bp_per_contract,contracts,total_bp,bp_pct_account,open_at_end
Bull Call Diagonal,SPX,2024-03-28,2024-04-15,5254.35009765625,5061.81982421875,13.010000228881836,222.7451621452808,-2726.8820067624697,trend_flip,45,34,0.0,22274.51621452808,22274.51621452808,0.6734,15000.0,10.0,False
Iron Condor,SPX,2024-04-12,2024-05-03,5123.41015625,5127.7900390625,17.309999465942383,-36.12028923004516,2922.8972744384114,50pct_profit,45,30,170,3612.028923004516,13387.971076995484,1.1204,15000.0,10.0,False
Iron Condor,SPX,2024-05-03,2024-06-07,5127.7900390625,5346.990234375,13.489999771118164,-28.389355377926563,690.5765238284702,roll_21dte,45,21,131,2838.9355377926563,10261.064462207343,1.4618,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-05-06,2024-06-10,5180.740234375,5360.7900390625,13.489999771118164,226.6197660083567,5356.232629662622,roll_21dte,45,21,0.0,22661.976600835667,22661.976600835667,0.6619,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-06-10,2024-07-16,5360.7900390625,5667.2001953125,12.739999771118164,222.43380392996505,7712.544151472237,roll_21dte,45,21,0.0,22243.380392996507,22243.380392996507,0.6744,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-07-16,2024-08-02,5667.2001953125,5346.56005859375,13.1899995803833,242.70837690080566,-3248.0756238841827,trend_flip,45,32,0.0,24270.837690080567,24270.837690080567,0.618,15000.0,10.0,False
Iron Condor (High Vol),SPX,2024-08-06,2024-08-20,5240.02978515625,5597.1201171875,27.709999084472656,-40.15101907021986,718.6930611835933,50pct_profit,45,35,430,4015.101907021986,38984.898092978015,0.2693,10500.0,7.0,False
Iron Condor (High Vol),SPX,2024-08-07,2024-08-27,5199.5,5625.7998046875,27.850000381469727,-39.10039344079749,690.574274889628,50pct_profit,45,31,416,3910.039344079749,37689.96065592025,0.2786,10500.0,7.0,False
Iron Condor,SPX,2024-08-01,2024-08-29,5446.68017578125,5591.9599609375,18.59000015258789,-40.96790551282487,2582.70042823669,50pct_profit,45,25,194,4096.790551282487,15303.209448717513,0.9802,15000.0,10.0,False
Iron Condor,SPX,2024-09-03,2024-09-24,5528.93017578125,5732.93017578125,20.719999313354492,-46.75315455573616,2386.539365268755,50pct_profit,45,30,224,4675.315455573616,17724.684544426385,0.8463,15000.0,10.0,False
