,sample,type,vix,ivp_252,vix_5d_change,ddath,ddath_change_5d,above_ma50,ma50_slope_5d,year,bk_vix,bk_ivp,bk_vix5d,bk_ddath,is_first_in_cluster,h1_cash,h2_bps_nnb_counterfactual,h3_short_dte_bps,h4_small_ic,h5_bcs,credit_est,max_loss,sigma_14d,fwd_ret,spx_fwd_5d,spx_fwd_10d,spx_fwd_20d,vix_fwd_5d,vix_fwd_10d,vix_fwd_20d,stress_in_next_5d,stress_in_next_10d,stress_in_next_20d,second_leg_in_next_20d,second_leg_in_next_60d
2024-08-26,primary,C_high_vol_controlled,16.149999618530273,77.68924302788844,1.5,-0.008886284201527705,0.001515712071916031,1,22.043798828124636,2024,1_15-17,2_70-85,3_rising,1_0_to_-2,False,3.252600708277999,30977.000003612353,1088.446215139442,633.0677290836653,860.7569721115538,1138.446215139442,1361.553784860558,213.81014331312778,0.0028930858724913744,-0.01565109036651091,-0.021599302738486648,0.020668264586612084,4.569999694824219,2.9300003051757812,-0.7599992752075195,0.0,1.0,1.0,0.0,0.0
2024-08-27,primary,C_high_vol_controlled,15.430000305175781,72.90836653386454,-0.4499998092651367,-0.007305263480764879,0.005060644853118412,1,20.925195312499454,2024,1_15-17,2_70-85,2_flat,1_0_to_-2,False,3.309705621956618,29275.26671730967,1064.5418326693227,618.7250996015937,841.6334661354582,1114.5418326693227,1385.4581673306773,204.60392266243628,0.001560715585752659,-0.018793768733230465,-0.012739508045644166,0.01714599955318863,5.8899993896484375,2.260000228881836,-0.020000457763671875,0.0,1.0,1.0,0.0,0.0
2024-08-28,primary,C_high_vol_controlled,17.110000610351562,82.47011952191235,0.8400001525878906,-0.013237580629902768,-0.00505892166977151,1,18.102998046875655,2024,2_17-19,2_70-85,3_rising,1_0_to_-2,False,3.19549579459938,22654.494234329555,1112.3505976095619,647.4103585657372,879.8804780876495,1162.3505976095619,1337.6494023904381,225.5251228587553,0.004663581827476948,-0.01587395554880322,0.000640106314752309,0.02739359902416738,2.789999008178711,-0.04000091552734375,-1.7400007247924805,0.0,1.0,1.0,0.0,0.0
2024-08-29,primary,C_high_vol_controlled,15.649999618530273,72.50996015936255,-1.8999996185302734,-0.01327643841437498,0.0037619677237419324,1,16.295195312500255,2024,1_15-17,2_70-85,1_falling,1_0_to_-2,False,3.314464364763169,24630.49035333641,1062.5498007968126,617.5298804780876,840.0398406374502,1112.5498007968126,1387.4501992031874,206.2728798156362,0.021759843888590646,-0.03282213040590676,0.006090898152289359,0.026146460625406043,6.729999542236328,0.9099998474121094,1.3099994659423828,1.0,1.0,1.0,0.0,0.0
2024-08-30,primary,C_high_vol_controlled,15.0,67.72908366533864,-0.8599996566772461,-0.003317386420246815,0.002433307204129931,1,15.52819335937511,2024,1_15-17,1_55-70,1_falling,1_0_to_-2,False,3.3715692784417883,11938.226845797908,1038.645418326693,603.1872509960159,820.9163346613545,1088.645418326693,1411.354581673307,199.70109369003492,0.009586768514970201,-0.03139828990908744,-0.002710512509462637,0.020196884090601275,4.450000762939453,2.1399993896484375,1.7299995422363281,1.0,1.0,1.0,0.0,0.0
2024-09-11,primary,C_high_vol_controlled,17.690000534057617,83.66533864541833,-3.6299991607666016,-0.01995170606352037,0.006010032718082203,1,1.3378027343751455,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,True,3.1812195661797253,19536.01402464111,1118.3266932270917,650.996015936255,884.6613545816734,1168.3266932270917,1331.6733067729083,231.58350621459556,0.027838765108100683,0.011546341941147675,0.030271147121133213,0.042834820443472754,0.5399990081787109,-2.280000686645508,3.1700000762939453,0.0,0.0,1.0,0.0,0.0
2024-09-12,primary,C_high_vol_controlled,17.06999969482422,79.2828685258964,-2.8299999237060547,-0.012605947774103732,0.016295455638109413,1,2.390595703125655,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,False,3.233565737051793,16106.196099887351,1096.414342629482,637.8486055776892,867.1314741035857,1146.414342629482,1353.585657370518,225.14189754868298,0.020333302036384282,0.021066017132810977,0.0267363785846495,0.0329338725716215,-0.7399997711181641,-1.6999998092651367,3.8600006103515625,0.0,0.0,1.0,0.0,0.0
2024-09-13,primary,C_high_vol_controlled,16.559999465942383,76.49402390438247,-5.819999694824219,-0.007266405696292777,0.03839640213102635,1,5.560195312500582,2024,1_15-17,2_70-85,1_falling,1_0_to_-2,False,3.2668769366976536,14754.476037869,1082.4701195219125,629.4820717131475,855.9760956175301,1132.4701195219125,1367.5298804780875,219.5964621790259,0.013138936871603724,0.013602828445432147,0.019934145622378052,0.03359564398435033,-0.4099998474121094,0.39999961853027344,3.8999996185302734,0.0,0.0,1.0,0.0,0.0
2024-09-16,primary,C_high_vol_controlled,17.139999389648438,79.6812749003984,-2.3100013732910156,-0.006018907112318672,0.028592608956452215,1,7.114599609374636,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,False,3.228806994245241,13827.585020824803,1098.406374501992,639.0438247011953,868.7250996015937,1148.406374501992,1351.593625498008,227.57325827011567,0.02094409706595579,0.015174616922467798,0.022969656140370276,0.0402550394536747,-1.2499990463256836,-0.4099998474121094,2.5600013732910156,0.0,0.0,1.0,0.0,0.0
2024-09-17,primary,C_high_vol_controlled,17.610000610351562,82.86852589641434,-1.4699993133544922,-0.005755949333584698,0.024537700063740564,1,7.648398437499964,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,False,3.1907370517928286,14592.75673597341,1114.3426294820717,648.6055776892431,881.4741035856574,1164.3426294820717,1335.6573705179283,233.8754703317307,0.01088987332338509,0.017454734211351797,0.01316334506682204,0.03206622055145658,-2.2200002670288086,1.6499996185302734,3.029998779296875,0.0,0.0,1.0,0.0,0.0
