sample,type,bucket_axis,bucket,n_days,avg_fwd_spx_5d_pct,avg_fwd_spx_20d_pct,avg_fwd_vix_change_5d,p_stress_10d,p_stress_20d,p_second_leg_60d,h1_cash_avg,h2_bps_counter_avg,h3_short_dte_bps_avg,h4_small_ic_avg,h5_bcs_avg,h3_hit_rate,h4_hit_rate,h5_hit_rate
secondary,B_transition_warning,ivp,2_70-85,17,0.46975296525777016,0.008156870679460242,-0.6264703975004309,52.94117647058824,58.82352941176471,35.294117647058826,3.27331523578887,-1362.0178069067208,638.5985469885165,468.5434009429407,817.0316558403056,82.35294117647058,82.35294117647058,100.0
secondary,B_transition_warning,ivp,3_85+,8,-0.40563027766107734,-1.599534164165238,0.6712502241134644,62.5,75.0,75.0,3.062845838866755,7250.688669379468,921.3739735963757,598.5589208136657,924.3027888446215,87.5,100.0,100.0
secondary,C_high_vol_controlled,vix,1_15-17,17,-1.1045901218788594,-1.2447195301679743,1.8429412280811983,47.05882352941176,58.82352941176471,29.411764705882355,3.3732488347264535,232.4437892005718,793.5554962197751,492.97015876781273,735.3549800836631,88.23529411764706,94.11764705882352,94.11764705882352
secondary,C_high_vol_controlled,vix,2_17-19,6,-0.3676319244864815,1.8923334732700432,-0.023333072662353516,50.0,66.66666666666666,33.33333333333333,3.3311199645860996,14663.218143324624,1055.5776892430279,613.3466135458167,834.4621513944224,100.0,100.0,100.0
secondary,C_high_vol_controlled,vix,3_19-22,6,-0.14153194074659575,-0.04941666814226956,0.21833324432373047,83.33333333333334,83.33333333333334,33.33333333333333,3.2192895086321376,6952.396094205028,685.7237715803452,502.54537405931825,871.9123505976095,83.33333333333334,83.33333333333334,100.0
secondary,C_high_vol_controlled,ivp,1_55-70,17,-0.8571518516952567,-1.2991602051339908,1.3382354063146256,47.05882352941176,64.70588235294117,41.17647058823529,3.42951397026274,6445.219115677291,720.2718537614247,462.26151863268416,716.5127021366277,88.23529411764706,88.23529411764706,94.11764705882352
secondary,C_high_vol_controlled,ivp,2_70-85,8,-0.7955686285580756,0.685222499256849,1.0575000047683716,50.0,50.0,25.0,3.2365399513058875,3812.29030076905,1095.1693227091632,637.101593625498,866.1354581673306,100.0,100.0,100.0
secondary,C_high_vol_controlled,ivp,3_85+,4,-0.2242211890137763,1.6253030777835327,0.32249999046325684,100.0,100.0,0.0,3.1134074811863655,-1605.454382769679,733.0690262647213,530.1465147310028,907.3705179282869,75.0,100.0,100.0
secondary,D_trend_deteriorated,vix,1_15-17,31,0.14548981926890836,1.4971672658138877,-0.0032260033392137095,35.483870967741936,41.935483870967744,25.806451612903224,3.3275125305230686,1330.7218366510883,734.5071327592855,441.12045938032065,638.8542453816767,87.09677419354838,80.64516129032258,90.32258064516128
secondary,D_trend_deteriorated,vix,2_17-19,19,0.3839423235202016,1.2284326005878763,-0.8531577963578073,57.89473684210527,63.1578947368421,36.84210526315789,3.23106113557466,5585.32654821525,965.8838330886978,594.6180191514644,867.9702243656952,94.73684210526315,94.73684210526315,100.0
secondary,D_trend_deteriorated,vix,3_19-22,13,0.4580380034811025,-1.1074011561546775,-0.6884614504300631,76.92307692307693,84.61538461538461,50.0,3.3104377362345483,7874.341543060273,871.9276739197059,536.5723586842824,787.7894021331414,92.3076923076923,92.3076923076923,100.0
secondary,D_trend_deteriorated,ivp,1_55-70,30,-0.04723363615739403,0.10242539826296378,0.39600000381469724,56.666666666666664,63.33333333333333,30.0,3.440571049136786,-493.77767614753077,676.4276228419654,435.84731561431386,681.1143240009762,86.66666666666667,83.33333333333334,93.33333333333333
secondary,D_trend_deteriorated,ivp,2_70-85,16,1.0034348952254148,1.0625254633574464,-1.6125001907348633,43.75,50.0,53.333333333333336,3.2421909583886674,12263.934149387624,936.5537848605577,537.812837905577,726.8847288561731,93.75,87.5,93.75
secondary,D_trend_deteriorated,ivp,3_85+,17,0.18362549121114727,2.0754717799871356,-0.6670588325051701,47.05882352941176,52.94117647058824,23.52941176470588,3.087444340285915,4019.435606251824,1010.5226154206701,603.9701407438109,851.3878068107629,94.11764705882352,94.11764705882352,100.0
