episode_id,start,end,length_days,path_class,peak_vix,peak_drawdown_spx,peak_combined_bp,max_concurrent_sleeves,main_pnl,aftermath_pnl,dd_overlay_pnl,hv_ladder_pnl,combined_pnl,combined_pnl_dd,worst_5d,worst_10d,worst_20d
41,2018-03-14,2018-05-10,41,second_leg_selloff,24.87,-0.1013,21.96,2,6265.0,0.0,0.0,-4696.0,1568.0,3079.0,-1079.0,-2159.0,-3173.0
42,2018-10-10,2019-04-04,121,second_leg_selloff,36.07,-0.1963,41.79,3,20474.0,3331.0,3524.0,-3291.0,24038.0,21255.0,-6941.0,-12032.0,-16918.0
43,2019-05-13,2019-06-17,25,second_leg_selloff,20.55,-0.0684,23.65,3,1905.0,0.0,3570.0,-4715.0,760.0,1314.0,-1088.0,-1658.0,-256.0
44,2019-08-05,2019-09-09,25,sideways_crush,24.59,-0.0612,23.51,3,3721.0,0.0,3414.0,-6148.0,987.0,1754.0,-1668.0,-2279.0,-1437.0
45,2019-10-02,2019-11-06,26,unclassified,20.56,-0.0457,32.08,3,7275.0,0.0,3781.0,9087.0,20144.0,0.0,1635.0,5076.0,14971.0
46,2020-02-24,2020-11-25,194,second_leg_selloff,82.69,-0.3392,43.44,4,3031.0,24724.0,3473.0,5109.0,36337.0,74121.0,-37429.0,-70635.0,-80073.0
47,2020-12-09,2021-01-21,29,unclassified,26.97,-0.0148,37.36,2,0.0,7620.0,0.0,12716.0,20336.0,0.0,2765.0,5851.0,13236.0
48,2021-01-25,2021-04-07,51,pure_vol_spike,37.21,-0.0423,52.1,4,0.0,16539.0,4552.0,33502.0,54593.0,0.0,2093.0,4667.0,15323.0
49,2021-05-12,2021-06-16,25,sideways_crush,27.59,-0.0401,38.12,3,0.0,3086.0,4969.0,11189.0,19244.0,0.0,2556.0,7059.0,16126.0
50,2021-07-19,2021-07-21,3,unclassified,22.5,-0.0288,21.53,1,0.0,0.0,0.0,1126.0,1126.0,0.0,,,
51,2021-09-20,2021-10-26,27,unclassified,25.71,-0.0521,34.93,3,4270.0,0.0,5551.0,2559.0,12381.0,0.0,1479.0,4142.0,9034.0
52,2021-11-26,2022-01-05,28,pure_vol_spike,31.12,-0.0407,50.49,4,1657.0,4069.0,5588.0,2800.0,14114.0,1087.0,-1411.0,2323.0,11994.0
53,2022-01-18,2022-08-18,148,second_leg_selloff,36.45,-0.2083,47.57,4,-3761.0,1878.0,5208.0,-94236.0,-90910.0,105391.0,-16005.0,-31247.0,-58745.0
54,2022-08-22,2022-11-23,67,second_leg_selloff,33.63,-0.1691,41.92,3,0.0,-7872.0,0.0,-63646.0,-71518.0,75310.0,-14587.0,-27638.0,-49902.0
55,2022-11-28,2022-11-30,3,unclassified,22.21,-0.0372,26.79,2,0.0,-272.0,0.0,1203.0,931.0,0.0,,,
56,2022-12-06,2023-01-11,25,second_leg_selloff,25.0,-0.0728,34.0,2,0.0,1709.0,0.0,4299.0,6008.0,0.0,754.0,1911.0,4741.0
57,2023-01-19,2023-01-23,3,unclassified,20.52,-0.0444,16.93,2,0.0,-50.0,0.0,930.0,880.0,0.0,,,
58,2023-02-21,2023-03-30,28,second_leg_selloff,26.52,-0.0775,34.43,2,0.0,7089.0,0.0,-880.0,6208.0,0.0,712.0,1622.0,4414.0
59,2023-08-16,2023-08-28,9,unclassified,17.89,-0.0478,30.09,2,-1793.0,0.0,0.0,249.0,-1544.0,885.0,-1707.0,,
60,2023-09-20,2023-11-06,34,second_leg_selloff,21.71,-0.0888,18.75,2,3739.0,0.0,0.0,-10959.0,-7220.0,7779.0,-2459.0,-4918.0,-7315.0
61,2024-04-17,2024-05-22,26,unclassified,18.71,-0.0546,39.0,3,4142.0,0.0,6888.0,7154.0,18185.0,0.0,2980.0,6626.0,13910.0
62,2024-07-24,2024-08-28,26,fast_recovery,38.57,-0.0849,48.59,4,1616.0,2819.0,7583.0,-123.0,11895.0,2194.0,-2160.0,-2604.0,6524.0
63,2024-09-06,2024-10-11,26,unclassified,22.64,-0.0457,47.33,3,2909.0,0.0,6640.0,13809.0,23358.0,0.0,3101.0,7005.0,17331.0
64,2024-10-31,2024-11-04,3,unclassified,23.16,-0.0271,36.11,1,0.0,0.0,0.0,3840.0,3840.0,0.0,,,
65,2024-12-18,2024-12-23,4,sideways_crush,27.62,-0.0366,37.64,2,248.0,0.0,0.0,-153.0,95.0,115.0,,,
66,2025-01-10,2025-02-14,25,unclassified,19.54,-0.0432,44.93,3,1949.0,0.0,8822.0,-18019.0,-7248.0,11772.0,-6191.0,-9739.0,-10011.0
67,2025-02-27,2025-07-11,93,second_leg_selloff,52.33,-0.189,45.29,4,-2205.0,7479.0,7377.0,23532.0,36183.0,28086.0,-14385.0,-22274.0,-29897.0
68,2025-10-16,2025-10-20,3,unclassified,25.31,-0.0185,33.21,1,0.0,0.0,0.0,2599.0,2599.0,0.0,,,
69,2025-11-17,2025-12-24,27,fast_recovery,26.42,-0.0511,62.78,3,7199.0,3505.0,7993.0,16522.0,35220.0,0.0,5551.0,12882.0,26355.0
70,2026-03-03,2026-04-15,31,second_leg_selloff,31.05,-0.091,44.04,4,-89.0,3188.0,8423.0,-10337.0,1185.0,3686.0,-3614.0,-4279.0,-2072.0
