sleeve,strategy,entry_date,exit_date,bp_dollar,pool,is_short_vol,cap_config,passed,blocker,realized_pnl,priority_score
Iron_Condor,Iron Condor,2016-01-29,2016-03-01,15000.0,SPX_PM,False,B_tight,True,,4123.32,30.91012514220705
Iron_Condor_High_Vol,Iron Condor (High Vol),2016-02-16,2016-03-10,14000.000000000002,SPX_PM,True,B_tight,True,,1381.01,11.54721274175199
Iron_Condor_High_Vol,Iron Condor (High Vol),2016-02-17,2016-03-10,14000.000000000002,SPX_PM,True,B_tight,True,,1372.02,11.54721274175199
Bull_Put_Spread,Bull Put Spread,2016-03-11,2016-03-24,15000.0,SPX_PM,False,B_tight,True,,2875.99,44.91467576791808
Bull_Put_Spread,Bull Put Spread,2016-03-28,2016-04-08,15000.0,SPX_PM,False,B_tight,True,,1794.79,44.91467576791808
Bull_Call_Diagonal,Bull Call Diagonal,2016-03-24,2016-04-28,15000.0,SPX_PM,False,B_tight,True,,4711.81,-8.839590443686008
Bull_Call_Diagonal,Bull Call Diagonal,2016-05-02,2016-05-19,15000.0,SPX_PM,False,B_tight,True,,-3377.49,-8.839590443686008
Iron_Condor,Iron Condor,2016-05-17,2016-06-21,15000.0,SPX_PM,False,B_tight,True,,1921.75,11.023890784982935
Iron_Condor,Iron Condor,2016-06-22,2016-07-07,15000.0,SPX_PM,False,B_tight,True,,4515.07,30.91012514220705
Iron_Condor,Iron Condor,2016-07-07,2016-08-10,15000.0,SPX_PM,False,B_tight,True,,3225.37,10.341296928327642
Bull_Call_Diagonal,Bull Call Diagonal,2016-08-10,2016-09-09,15000.0,SPX_PM,False,B_tight,True,,-2089.48,33.629124004550626
Iron_Condor,Iron Condor,2016-10-03,2016-11-04,15000.0,SPX_PM,False,B_tight,True,,-3662.2,-13.902161547212744
Bull_Call_Diagonal,Bull Call Diagonal,2016-11-09,2016-12-14,15000.0,SPX_PM,False,B_tight,True,,8923.61,-8.839590443686008
Bull_Call_Diagonal,Bull Call Diagonal,2016-12-14,2017-01-20,15000.0,SPX_PM,False,B_tight,True,,1437.72,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-01-20,2017-02-24,15000.0,SPX_PM,False,B_tight,True,,10172.92,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-02-24,2017-03-30,15000.0,SPX_PM,False,B_tight,True,,-120.06,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-03-30,2017-04-12,15000.0,SPX_PM,False,B_tight,True,,-207.27,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-04-24,2017-05-17,15000.0,SPX_PM,False,B_tight,True,,748.28,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-05-19,2017-06-23,15000.0,SPX_PM,False,B_tight,True,,6123.92,-4.004550625711036
Bull_Call_Diagonal,Bull Call Diagonal,2017-06-23,2017-07-28,15000.0,SPX_PM,False,B_tight,True,,4339.04,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-07-28,2017-08-10,15000.0,SPX_PM,False,B_tight,True,,-96.53,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-08-14,2017-08-17,15000.0,SPX_PM,False,B_tight,True,,-1631.19,-6.052332195676905
Iron_Condor,Iron Condor,2017-08-22,2017-09-21,15000.0,SPX_PM,False,B_tight,True,,3855.04,10.341296928327642
Bull_Call_Diagonal,Bull Call Diagonal,2017-09-21,2017-10-25,15000.0,SPX_PM,False,B_tight,True,,7205.94,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2017-10-25,2017-11-29,15000.0,SPX_PM,False,B_tight,True,,7333.44,38.54379977246872
Bull_Call_Diagonal,Bull Call Diagonal,2017-11-29,2018-01-04,15000.0,SPX_PM,False,B_tight,True,,9905.98,-4.004550625711036
Bull_Call_Diagonal,Bull Call Diagonal,2018-01-04,2018-02-05,15000.0,SPX_PM,False,B_tight,True,,13904.95,33.629124004550626
Iron_Condor_High_Vol,Iron Condor (High Vol),2018-02-07,2018-02-22,14000.000000000002,SPX_PM,True,B_tight,True,,1868.49,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2018-02-08,2018-02-23,14000.000000000002,SPX_PM,True,B_tight,True,,1903.03,18.156996587030715
Iron_Condor,Iron Condor,2018-02-22,2018-03-16,15000.0,SPX_PM,False,B_tight,False,R5_stress_episode_cap,3609.64,30.91012514220705
Iron_Condor,Iron Condor,2018-03-16,2018-04-20,15000.0,SPX_PM,False,B_tight,True,,1094.7,30.91012514220705
Iron_Condor,Iron Condor,2018-04-20,2018-05-09,15000.0,SPX_PM,False,B_tight,True,,3981.97,30.91012514220705
Bull_Call_Diagonal,Bull Call Diagonal,2018-05-09,2018-06-13,15000.0,SPX_PM,False,B_tight,True,,6887.78,-6.052332195676905
Bull_Call_Diagonal,Bull Call Diagonal,2018-06-13,2018-06-27,15000.0,SPX_PM,False,B_tight,True,,-3143.74,-6.052332195676905
Bull_Call_Diagonal,Bull Call Diagonal,2018-07-06,2018-08-09,15000.0,SPX_PM,False,B_tight,True,,7995.31,-6.052332195676905
Bull_Call_Diagonal,Bull Call Diagonal,2018-08-09,2018-09-13,15000.0,SPX_PM,False,B_tight,True,,5297.0,-4.004550625711036
Bull_Call_Diagonal,Bull Call Diagonal,2018-09-13,2018-10-10,15000.0,SPX_PM,False,B_tight,True,,-2136.39,38.54379977246872
Iron_Condor,Iron Condor,2018-10-18,2018-11-07,15000.0,SPX_PM,False,B_tight,True,,3654.4,30.91012514220705
Iron_Condor,Iron Condor,2018-11-07,2018-12-13,15000.0,SPX_PM,False,B_tight,True,,-3962.97,30.91012514220705
Iron_Condor_High_Vol,Iron Condor (High Vol),2018-12-26,2019-01-10,14000.000000000002,SPX_PM,True,B_tight,True,,1554.03,18.156996587030715
Iron_Condor_High_Vol,Iron Condor (High Vol),2018-12-27,2019-01-11,14000.000000000002,SPX_PM,True,B_tight,True,,1776.72,11.695108077360633
Bull_Put_Spread,Bull Put Spread,2019-01-31,2019-02-13,15000.0,SPX_PM,False,B_tight,True,,3961.28,44.91467576791808
Iron_Condor,Iron Condor,2019-01-10,2019-02-14,15000.0,SPX_PM,False,B_tight,False,R5_stress_episode_cap,1859.33,30.91012514220705
Bull_Put_Spread,Bull Put Spread,2019-02-13,2019-02-27,15000.0,SPX_PM,False,B_tight,False,R5_stress_episode_cap,3619.37,44.91467576791808
Bull_Put_Spread,Bull Put Spread,2019-03-06,2019-03-19,15000.0,SPX_PM,False,B_tight,True,,4983.81,44.91467576791808
Bull_Call_Diagonal,Bull Call Diagonal,2019-02-27,2019-04-02,15000.0,SPX_PM,False,B_tight,True,,5980.55,-8.839590443686008
Bull_Call_Diagonal,Bull Call Diagonal,2019-04-02,2019-05-07,15000.0,SPX_PM,False,B_tight,True,,4044.21,33.629124004550626
