sleeve,entry_date,exit_date,hv_bp_at_entry,hv_bucket,pnl_1d,pnl_3d,pnl_5d,pnl_10d,pnl_20d,mae_dollar,mfe_dollar,time_to_mae_days,exit_pnl,trade_days
DD_A,2016-11-03,2016-12-05,0.0,low<20,222.07,685.15,1054.97,1352.87,1416.05,222.07,1735.72,1,2688.38,22
DD_A,2018-02-06,2018-03-08,28.02,mid20-40,702.55,285.7,524.92,830.25,1140.13,138.39,1758.98,2,3456.64,22
DD_A,2018-10-11,2018-11-12,29.03,mid20-40,299.89,672.34,248.05,-305.04,534.84,-989.01,672.34,12,-3216.69,23
DD_A,2019-05-14,2019-06-13,29.13,mid20-40,655.37,755.76,829.42,-214.69,989.56,-711.54,1148.46,13,3569.81,22
DD_A,2019-08-06,2019-09-05,29.93,mid20-40,460.82,807.11,893.86,622.55,1051.07,24.97,1529.03,13,3414.02,22
DD_A,2019-10-03,2019-11-04,29.92,mid20-40,1077.63,475.89,917.94,1734.5,2303.62,475.89,2771.03,3,3781.48,23
DD_A,2020-02-25,2020-03-26,25.18,mid20-40,-548.81,-1672.89,-1015.61,-2188.55,-3416.09,-3768.96,-316.66,19,-4045.98,23
DD_A,2020-09-08,2020-10-08,33.68,mid20-40,828.27,264.09,709.78,-100.49,277.96,-759.49,982.6,11,-1684.06,23
DD_A,2020-10-20,2020-11-19,25.96,mid20-40,364.56,555.41,121.85,-19.86,1754.46,-570.47,1895.9,8,4403.46,23
DD_A,2021-03-05,2021-04-05,39.0,mid20-40,537.09,1139.84,1547.92,1315.72,2949.39,537.09,2949.39,1,4551.54,21
DD_A,2021-05-13,2021-06-14,41.78,heavy>40,1251.28,795.97,1071.29,1617.94,2280.07,687.56,2313.65,4,4968.66,22
DD_A,2021-09-22,2021-10-22,44.68,heavy>40,1239.34,1171.36,376.06,322.98,2424.47,-226.58,2644.22,8,5550.68,23
DD_A,2021-12-02,2022-01-03,46.46,heavy>40,781.36,1801.56,1671.19,1728.37,2925.22,781.36,3300.93,1,5588.13,22
DD_A,2022-01-19,2022-02-18,47.14,heavy>40,-231.99,-614.83,-978.87,468.23,-794.01,-1866.49,468.23,22,-5650.93,23
DD_A,2024-04-18,2024-05-20,51.72,heavy>40,26.23,1151.97,838.44,1000.18,4488.86,26.23,4737.94,1,6888.05,23
DD_A,2024-07-25,2024-08-26,55.36,heavy>40,1183.47,903.39,1030.75,-144.21,2421.28,-919.87,3355.98,9,7582.92,23
DD_A,2024-09-09,2024-10-09,41.76,heavy>40,1047.86,2097.38,2454.19,3424.55,2658.69,814.28,3770.39,0,6639.77,23
DD_A,2025-01-13,2025-02-12,45.42,heavy>40,1803.97,2850.48,4235.43,4304.33,4489.67,1756.42,4971.49,0,8821.47,22
DD_A,2025-02-28,2025-03-31,60.58,heavy>40,865.83,739.23,91.47,-1631.08,-2782.18,-2782.18,1817.83,20,-6966.66,22
DD_A,2025-11-21,2025-12-22,51.43,heavy>40,1889.73,3056.53,3081.27,3523.79,4511.79,1047.42,4511.79,0,7993.36,21
DD_A,2026-03-13,2026-04-13,34.66,mid20-40,903.25,323.29,-586.1,-1471.62,2633.37,-1821.68,2633.37,11,8422.7,21
DD_B,2008-01-29,2008-04-28,3.74,low<20,-10.74,511.36,-317.71,-231.92,170.57,-1908.97,511.36,28,809.81,63
DD_B,2019-01-02,2019-04-02,0.0,low<20,-517.73,1049.06,1685.18,2286.6,4209.19,-517.73,5305.48,1,6740.72,63
DD_B,2020-03-26,2020-06-24,0.0,low<20,231.26,224.99,-210.38,1155.51,1701.31,-626.38,2794.27,6,4799.31,63
DD_B,2022-05-18,2022-08-16,11.16,low<20,-2124.99,-1136.54,-1126.67,1743.34,-7133.05,-7334.16,1743.34,21,10859.29,62
DD_B,2025-04-10,2025-07-09,0.0,low<20,565.68,24.71,-1911.19,1323.27,3603.23,-3713.76,9849.35,6,14343.98,61
