entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2021-07-26,9,dte_roll,4422.3,17.58,4402.66,17.97,4325,4215,110,25.72,84.28,0.11,11.25,0.0013,True,17.1,10.0,LOW,25.21,2021
2021-07-27,9,dte_roll,4401.46,19.36,4429.1,17.28,4295,4175,120,28.38,91.62,11.92,1192.11,0.1301,True,27.9,17.0,LOW,25.21,2021
2021-07-28,9,dte_roll,4400.64,18.31,4436.52,16.15,4300,4185,115,26.95,88.05,13.01,1300.69,0.1477,True,22.3,12.9,LOW,25.21,2021
2021-07-29,11,dte_roll,4419.15,17.7,4432.35,16.72,4320,4210,110,25.59,84.41,8.75,875.49,0.1037,True,18.7,10.4,LOW,25.21,2021
2021-07-30,10,dte_roll,4395.26,18.24,4432.35,16.72,4295,4180,115,26.88,88.12,12.74,1273.54,0.1445,True,22.7,12.6,LOW,25.21,2021
2021-08-02,9,dte_roll,4387.16,19.46,4442.41,16.17,4280,4160,120,28.33,91.67,17.37,1737.1,0.1895,True,29.9,17.4,LOW,25.21,2021
2021-08-03,9,dte_roll,4423.15,18.04,4460.83,15.59,4325,4210,115,27.07,87.93,13.83,1383.17,0.1573,True,21.5,11.8,LOW,25.21,2021
2021-08-04,9,dte_roll,4402.66,17.97,4468.0,15.45,4305,4190,115,26.93,88.07,17.24,1723.55,0.1957,True,21.5,11.5,LOW,25.21,2021
2021-08-05,11,dte_roll,4429.1,17.28,4479.71,16.12,4335,4225,110,25.82,84.18,14.21,1421.39,0.1688,True,13.9,8.8,LOW,25.21,2021
2021-08-06,10,dte_roll,4436.52,16.15,4479.71,16.12,4350,4245,105,24.58,80.42,10.75,1074.73,0.1336,True,3.6,4.3,LOW,25.21,2021
2021-08-09,9,dte_roll,4432.35,16.72,4400.27,21.57,4340,4235,105,24.48,80.52,-7.35,-734.99,-0.0913,False,10.0,6.5,LOW,25.21,2021
