entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2016-03-09,9,dte_roll,1989.26,18.34,2049.58,14.02,1945,1890,55,12.88,42.12,11.54,1154.03,0.274,True,64.9,22.2,NEUTRAL,28.79,2016
2016-03-10,11,profit_target,1989.57,18.05,2051.6,13.79,1945,1895,50,11.84,38.16,10.93,1093.43,0.2865,True,62.9,21.2,NEUTRAL,28.79,2016
2016-03-14,9,dte_roll,2019.64,16.92,2036.71,14.94,1975,1930,45,10.44,34.56,5.28,527.7,0.1527,True,57.8,17.3,NEUTRAL,28.79,2016
2016-03-15,9,dte_roll,2015.93,16.84,2035.94,14.74,1975,1925,50,11.74,38.26,6.35,635.03,0.166,True,56.2,17.0,NEUTRAL,28.79,2016
2016-04-28,11,dte_roll,2075.81,15.22,2058.69,14.57,2035,1990,45,10.16,34.84,-0.55,-54.78,-0.0157,False,41.8,11.4,NEUTRAL,28.79,2016
2016-06-10,10,dte_roll,2096.07,17.03,2083.25,18.37,2050,2000,50,11.48,38.52,-0.95,-95.48,-0.0248,False,58.6,17.6,NEUTRAL,28.79,2016
2016-06-21,9,dte_roll,2088.9,18.48,2098.86,15.63,2040,1985,55,12.8,42.2,5.77,576.58,0.1366,True,63.7,22.7,NEUTRAL,28.79,2016
2016-06-23,12,dte_roll,2113.32,17.25,2088.55,15.58,2070,2015,55,12.95,42.05,-0.95,-94.88,-0.0226,False,56.2,18.4,NEUTRAL,28.79,2016
2016-06-30,11,profit_target,2098.86,15.63,2137.16,13.54,2060,2010,50,11.64,38.36,8.86,886.24,0.231,True,40.6,12.8,NEUTRAL,28.79,2016
2018-02-02,10,dte_roll,2762.13,17.31,2656.0,25.61,2700,2635,65,15.02,49.98,-19.13,-1912.92,-0.3828,False,100.0,100.0,HIGH,6.9,2018
2018-02-26,9,dte_roll,2779.6,15.8,2726.8,17.76,2725,2665,60,14.09,45.91,-8.75,-874.78,-0.1905,False,93.2,23.6,HIGH,28.18,2018
2018-03-12,9,dte_roll,2783.02,15.78,2711.93,17.86,2730,2665,65,15.13,49.87,-13.37,-1337.42,-0.2682,False,89.6,23.6,HIGH,28.18,2018
2018-05-29,9,dte_roll,2689.86,17.02,2770.37,12.13,2635,2570,65,15.51,49.49,14.48,1447.57,0.2925,True,82.9,28.0,HIGH,28.18,2018
2018-05-31,11,profit_target,2705.27,15.43,2782.0,12.35,2655,2595,60,14.09,45.91,12.91,1291.22,0.2812,True,74.5,22.3,HIGH,28.18,2018
2019-01-18,10,dte_roll,2670.71,17.8,2643.85,18.87,2610,2545,65,15.19,49.81,-2.76,-276.12,-0.0554,False,59.4,26.3,NEUTRAL,26.47,2019
2019-01-24,11,profit_target,2642.33,18.89,2724.87,15.73,2580,2510,70,16.54,53.46,14.51,1451.02,0.2714,True,65.3,30.4,NEUTRAL,26.47,2019
2019-01-25,10,profit_target,2664.76,17.42,2724.87,15.73,2605,2540,65,14.98,50.02,11.2,1120.47,0.224,True,57.0,24.8,NEUTRAL,26.47,2019
2019-01-28,9,dte_roll,2643.85,18.87,2731.61,15.38,2580,2510,70,16.3,53.7,14.36,1436.22,0.2675,True,64.9,30.3,NEUTRAL,26.47,2019
2019-01-29,9,dte_roll,2640.0,19.13,2706.05,16.37,2575,2505,70,16.33,53.67,12.62,1261.94,0.2351,True,67.7,31.3,NEUTRAL,26.47,2019
2019-01-30,9,dte_roll,2681.05,17.66,2707.88,15.72,2620,2555,65,15.08,49.92,7.89,789.0,0.158,True,56.6,25.7,NEUTRAL,26.47,2019
2019-02-04,9,dte_roll,2724.87,15.73,2753.03,15.65,2670,2610,60,13.74,46.26,6.11,610.54,0.132,True,42.6,18.4,NEUTRAL,26.47,2019
2019-02-05,9,dte_roll,2737.7,15.57,2745.73,16.22,2685,2625,60,13.98,46.02,2.76,276.36,0.0601,True,41.4,17.8,NEUTRAL,26.47,2019
2019-02-06,9,dte_roll,2731.61,15.38,2775.6,14.91,2680,2620,60,13.95,46.05,8.32,831.64,0.1806,True,40.2,18.0,NEUTRAL,26.47,2019
2019-02-12,9,dte_roll,2744.73,15.43,2774.88,14.46,2690,2630,60,13.58,46.42,7.17,717.08,0.1545,True,41.0,18.2,NEUTRAL,25.22,2019
2019-02-26,9,dte_roll,2793.9,15.17,2748.93,16.59,2740,2680,60,13.69,46.31,-7.2,-719.89,-0.1555,False,42.2,17.1,NEUTRAL,25.22,2019
2019-03-07,11,profit_target,2748.93,16.59,2832.94,13.1,2690,2625,65,14.79,50.21,13.72,1372.17,0.2733,True,59.0,22.8,NEUTRAL,25.22,2019
2019-03-22,10,profit_target,2800.71,16.48,2867.19,13.4,2745,2675,70,16.24,53.76,13.72,1371.84,0.2552,True,60.2,22.3,NEUTRAL,25.22,2019
2019-03-25,9,dte_roll,2798.36,16.33,2873.4,13.74,2740,2675,65,14.89,50.11,12.63,1262.61,0.2519,True,58.6,21.7,NEUTRAL,25.22,2019
2019-05-06,9,dte_roll,2932.47,15.44,2850.96,16.44,2875,2810,65,14.81,50.19,-14.79,-1479.1,-0.2947,False,60.2,18.2,NEUTRAL,25.22,2019
2019-05-07,9,dte_roll,2884.05,19.32,2876.32,15.29,2815,2735,80,18.89,61.11,6.1,609.81,0.0998,True,78.9,33.6,HIGH,25.22,2019
2019-05-08,9,dte_roll,2879.42,19.4,2859.53,15.96,2810,2730,80,18.88,61.12,3.07,307.44,0.0503,True,79.3,33.9,HIGH,25.22,2019
2019-05-10,10,dte_roll,2881.4,16.04,2840.23,16.31,2825,2760,65,15.31,49.69,-5.35,-534.98,-0.1077,False,62.9,20.6,NEUTRAL,25.22,2019
2019-06-25,10,profit_target,2917.38,16.28,2990.41,13.28,2860,2790,70,16.37,53.63,14.03,1403.44,0.2617,True,60.6,21.5,NEUTRAL,25.22,2019
2019-06-26,9,dte_roll,2913.78,16.21,2990.41,13.28,2855,2790,65,15.26,49.74,13.06,1306.15,0.2626,True,60.2,21.3,NEUTRAL,25.22,2019
2019-07-31,9,dte_roll,2980.38,16.12,2918.65,17.97,2920,2850,70,16.04,53.96,-10.8,-1080.08,-0.2002,False,60.2,20.9,NEUTRAL,25.22,2019
