entry_date,exit_date,pnl,hit_target,strategy_key,regime,trend,ivp252,ivp63,regime_decay,local_spike
2006-03-23,2006-04-13,1339.0094979047244,False,bull_call_diagonal,LOW_VOL,BULLISH,13.9,14.5,False,False
2006-04-28,2006-05-19,-1488.8973108908237,False,bull_call_diagonal,LOW_VOL,BULLISH,29.9,32.3,False,False
2006-08-15,2006-09-05,3967.1923471754562,False,bull_call_diagonal,LOW_VOL,BULLISH,62.2,6.5,True,False
2006-09-20,2006-10-11,6581.365242857717,False,bull_call_diagonal,LOW_VOL,BULLISH,15.1,1.6,False,False
2006-10-24,2006-11-14,1533.5414399738295,False,bull_call_diagonal,LOW_VOL,BULLISH,3.6,3.2,False,False
2006-11-29,2006-12-20,1773.7307219823967,False,bull_call_diagonal,LOW_VOL,BULLISH,9.2,25.8,False,False
2007-01-10,2007-01-31,5073.843915840223,False,bull_call_diagonal,LOW_VOL,BULLISH,27.1,75.8,False,True
2007-02-14,2007-03-07,-2290.8471611026625,False,bull_call_diagonal,LOW_VOL,BULLISH,4.4,17.7,False,False
2007-04-17,2007-05-08,5941.629327131451,False,bull_call_diagonal,LOW_VOL,BULLISH,50.2,46.8,True,False
2007-05-22,2007-06-12,-980.6684529687667,False,bull_call_diagonal,LOW_VOL,BULLISH,59.4,33.9,True,False
2011-04-21,2011-05-12,-1250.2485108988724,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2012-03-13,2012-04-03,-1705.5724460646118,False,bull_call_diagonal,LOW_VOL,BULLISH,1.2,0.0,False,False
2012-08-10,2012-08-31,5937.615235840453,False,bull_call_diagonal,LOW_VOL,BULLISH,0.8,0.0,False,False
2012-09-14,2012-10-05,-768.1715506287703,False,bull_call_diagonal,LOW_VOL,BULLISH,3.2,9.7,False,False
2013-01-03,2013-01-24,5029.305136970128,False,bull_call_diagonal,LOW_VOL,BULLISH,6.4,3.2,False,False
2013-02-07,2013-02-28,5550.032778963054,False,bull_call_diagonal,LOW_VOL,BULLISH,4.8,17.7,False,False
2013-03-14,2013-04-04,207.65974817452508,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2013-04-22,2013-05-13,7846.294378442708,True,bull_call_diagonal,LOW_VOL,BULLISH,28.7,79.0,False,True
2013-05-17,2013-06-07,-3704.475750695902,False,bull_call_diagonal,LOW_VOL,BULLISH,4.0,14.5,False,False
2013-07-12,2013-08-02,-1627.6570664425033,False,bull_call_diagonal,LOW_VOL,BULLISH,29.5,33.9,False,False
2013-09-19,2013-10-10,-2594.6800965142565,False,bull_call_diagonal,LOW_VOL,BULLISH,21.9,22.6,False,False
2013-10-17,2013-11-07,4458.942881566786,False,bull_call_diagonal,LOW_VOL,BULLISH,27.5,32.3,False,False
2013-11-21,2013-12-12,4273.994496824176,False,bull_call_diagonal,LOW_VOL,BULLISH,10.8,6.5,False,False
2013-12-27,2014-01-17,-2023.571524888595,False,bull_call_diagonal,LOW_VOL,BULLISH,7.6,6.5,False,False
2014-02-28,2014-03-21,2485.7472018880903,False,bull_call_diagonal,LOW_VOL,BULLISH,54.2,48.4,True,False
2014-04-03,2014-04-24,-3933.4757319157407,False,bull_call_diagonal,LOW_VOL,BULLISH,29.1,21.0,False,False
2014-05-23,2014-06-13,5564.823198537127,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2014-06-27,2014-07-18,-345.1777053855712,False,bull_call_diagonal,LOW_VOL,BULLISH,2.8,11.3,False,False
2014-08-18,2014-09-08,2378.4781522074104,False,bull_call_diagonal,LOW_VOL,BULLISH,19.1,64.5,False,True
2014-10-31,2014-11-21,4343.255960721405,False,bull_call_diagonal,LOW_VOL,BULLISH,61.8,45.2,True,False
2014-12-05,2014-12-26,-2270.2128490998994,False,bull_call_diagonal,LOW_VOL,BULLISH,13.9,0.0,False,False
2015-02-13,2015-03-06,-2911.443782749246,False,bull_call_diagonal,LOW_VOL,BULLISH,62.9,30.6,True,False
2015-03-18,2015-04-08,309.4386671268709,False,bull_call_diagonal,LOW_VOL,BULLISH,51.0,9.7,True,False
2015-04-23,2015-05-14,879.6279182909849,False,bull_call_diagonal,LOW_VOL,BULLISH,25.9,0.0,False,False
2015-06-22,2015-07-13,-1995.0558544740932,False,bull_call_diagonal,LOW_VOL,BULLISH,24.3,17.7,False,False
2015-07-16,2015-08-06,-2717.328211649232,False,bull_call_diagonal,LOW_VOL,BULLISH,6.0,0.0,False,False
2015-10-19,2015-11-09,4141.459836324096,False,bull_call_diagonal,LOW_VOL,BULLISH,51.8,30.6,True,False
2016-03-18,2016-04-08,3212.492056596915,False,bull_call_diagonal,LOW_VOL,BULLISH,28.7,0.0,False,False
2016-04-22,2016-05-13,-2696.53267881692,False,bull_call_diagonal,LOW_VOL,BULLISH,13.1,1.6,False,False
2016-05-24,2016-06-14,1348.7732625980298,False,bull_call_diagonal,LOW_VOL,BULLISH,27.1,35.5,False,False
2016-07-01,2016-07-22,5561.437785747721,False,bull_call_diagonal,LOW_VOL,BULLISH,29.9,50.0,False,True
2016-08-05,2016-08-26,-1694.9378047572775,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2016-11-15,2016-12-06,6280.633234973891,False,bull_call_diagonal,LOW_VOL,BULLISH,20.7,32.3,False,False
2016-12-20,2017-01-10,1937.5436533124957,False,bull_call_diagonal,LOW_VOL,BULLISH,1.2,0.0,False,False
2017-01-26,2017-02-16,6472.607772302992,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2017-03-02,2017-03-23,-2057.8902351408938,False,bull_call_diagonal,LOW_VOL,BULLISH,16.7,54.8,False,True
2017-04-24,2017-05-15,498.8528066753463,False,bull_call_diagonal,LOW_VOL,BULLISH,1.6,6.5,False,False
2017-05-22,2017-06-12,3488.089942950191,False,bull_call_diagonal,LOW_VOL,BULLISH,9.2,27.4,False,False
2017-06-26,2017-07-17,2717.340113330188,False,bull_call_diagonal,LOW_VOL,BULLISH,1.6,6.5,False,False
2017-07-31,2017-08-21,34.019110402867966,False,bull_call_diagonal,LOW_VOL,BULLISH,10.0,38.7,False,False
2017-08-31,2017-09-21,5984.7306868040705,False,bull_call_diagonal,LOW_VOL,BULLISH,18.7,48.4,False,False
2017-10-05,2017-10-26,3686.5044964524836,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2017-11-08,2017-11-29,5273.45534681059,False,bull_call_diagonal,LOW_VOL,BULLISH,8.0,19.4,False,False
2017-12-13,2018-01-03,7804.515405053758,True,bull_call_diagonal,LOW_VOL,BULLISH,25.9,59.7,False,True
2018-05-09,2018-05-30,4591.850641481713,False,bull_call_diagonal,LOW_VOL,BULLISH,69.7,0.0,True,False
2018-06-13,2018-07-04,-2095.8275952012605,False,bull_call_diagonal,LOW_VOL,BULLISH,64.5,17.7,True,False
2018-07-06,2018-07-27,5330.204766899976,False,bull_call_diagonal,LOW_VOL,BULLISH,62.9,33.9,True,False
2018-08-17,2018-09-07,4631.437149806435,False,bull_call_diagonal,LOW_VOL,BULLISH,53.0,40.3,True,False
2019-03-13,2019-04-03,5311.990722648362,False,bull_call_diagonal,LOW_VOL,BULLISH,29.1,0.0,False,False
2019-04-16,2019-05-07,-1456.737385395007,False,bull_call_diagonal,LOW_VOL,BULLISH,9.2,1.6,False,False
2019-07-02,2019-07-23,-1274.118921940677,False,bull_call_diagonal,LOW_VOL,BULLISH,21.9,16.1,False,False
2019-09-12,2019-10-03,-3043.1324959500707,False,bull_call_diagonal,LOW_VOL,BULLISH,27.5,32.3,False,False
2019-10-14,2019-11-04,7085.952694712778,False,bull_call_diagonal,LOW_VOL,BULLISH,25.9,24.2,False,False
2019-11-15,2019-12-06,5435.832830969847,False,bull_call_diagonal,LOW_VOL,BULLISH,0.4,0.0,False,False
2019-12-20,2020-01-10,3747.9593708238426,False,bull_call_diagonal,LOW_VOL,BULLISH,8.4,19.4,False,False
2023-06-02,2023-06-23,4513.636347899856,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2023-07-11,2023-08-01,1829.7185161806094,False,bull_call_diagonal,LOW_VOL,BULLISH,8.8,35.5,False,False
2023-08-14,2023-09-04,-2390.980499580703,False,bull_call_diagonal,LOW_VOL,BULLISH,14.3,58.1,False,True
2023-11-08,2023-11-29,7644.0361664157135,True,bull_call_diagonal,LOW_VOL,BULLISH,17.9,21.0,False,False
2023-12-12,2024-01-02,5180.736209173609,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2024-01-19,2024-02-09,7104.12455227318,False,bull_call_diagonal,LOW_VOL,BULLISH,13.9,48.4,False,False
2024-02-23,2024-03-15,5010.359315489301,False,bull_call_diagonal,LOW_VOL,BULLISH,28.3,74.2,False,True
2024-03-28,2024-04-18,-2726.8820067624697,False,bull_call_diagonal,LOW_VOL,BULLISH,13.1,19.4,False,False
2024-05-06,2024-05-27,5356.232629662622,False,bull_call_diagonal,LOW_VOL,BULLISH,26.3,22.6,False,False
2024-06-10,2024-07-01,7712.544151472237,True,bull_call_diagonal,LOW_VOL,BULLISH,12.4,19.4,False,False
2024-11-08,2024-11-29,1255.2287963969954,False,bull_call_diagonal,LOW_VOL,BULLISH,60.6,3.2,True,False
2024-12-16,2025-01-06,-1108.280433539694,False,bull_call_diagonal,LOW_VOL,BULLISH,55.0,25.8,True,False
2025-07-25,2025-08-15,2704.1257582017784,False,bull_call_diagonal,LOW_VOL,BULLISH,9.6,0.0,False,False
2025-08-28,2025-09-18,5061.189327751963,False,bull_call_diagonal,LOW_VOL,BULLISH,6.8,1.6,False,False
2025-12-11,2026-01-01,-2442.308089554629,False,bull_call_diagonal,LOW_VOL,BULLISH,6.8,0.0,False,False
