policy,entry,exit,pnl
MA10/20,2020-12-31,2021-01-20,9543.65122241673
MA10/20,2021-01-04,2021-02-03,12090.406340878653
MA10/20,2021-01-25,2021-02-11,8967.716326203983
MA10/20,2021-02-18,2021-03-10,3665.6580960890224
MA10/20,2021-03-10,2021-04-14,-1039.0010734182108
MA10/20,2021-04-01,2021-05-06,8310.392208131656
MA10/20,2021-05-07,2021-05-20,-1420.5887616413104
MA10/20,2021-05-19,2021-06-04,11372.308364487448
MA10/20,2021-06-01,2021-07-06,6286.734833814754
MA10/20,2021-07-06,2021-08-09,4424.7376104812065
MA10/20,2021-08-18,2021-08-31,18951.71375692652
MA10/20,2021-08-09,2021-09-13,2737.5447778041007
MA10/20,2021-09-17,2021-10-14,14983.742549481696
MA10/20,2021-10-18,2021-11-19,8891.38070370697
MA10/20,2021-11-19,2021-12-02,-254.49178882281612
MA10/20,2021-11-22,2021-12-06,-13362.883186619143
MA10/20,2021-12-02,2021-12-16,5368.221666932471
MA10/20,2021-12-06,2021-12-20,4518.620176156505
MA10/20,2021-12-20,2021-12-23,11007.58396340797
MA10/20,2021-12-22,2022-01-05,2423.6049860881294
MA10/20,2021-12-23,2022-01-18,-3181.815190479367
MA10/20,2022-01-28,2022-02-16,4308.756662681636
MA10/20,2022-02-10,2022-03-03,-9237.74314173128
MA10/20,2022-01-31,2022-03-07,-1031.0519362949042
MA10/20,2022-02-25,2022-03-18,4566.936322714782
MA10/20,2022-03-09,2022-03-23,4671.34985923024
MA10/20,2022-03-18,2022-04-04,4760.729259130485
MA10/20,2022-03-22,2022-04-11,-2860.3586538374843
MA10/20,2022-04-04,2022-04-18,-24606.489571918384
MA10/20,2022-04-21,2022-05-25,-16802.64939463503
MA10/20,2022-04-22,2022-05-26,5984.262444175864
MA10/20,2022-07-29,2022-08-11,12069.348068375706
MA10/20,2022-08-01,2022-09-02,1534.9390068919495
MA10/20,2022-08-02,2022-09-06,2540.766458744678
MA10/20,2022-09-07,2022-09-22,6796.091530424303
MA10/20,2022-11-28,2022-12-16,-4532.654566028397
MA10/20,2022-12-16,2023-01-24,1324.2506171069526
MA10/20,2023-02-01,2023-02-24,-4460.06162379908
MA10/20,2023-02-21,2023-03-13,-9421.406210106534
MA10/20,2023-02-22,2023-03-27,12520.868984224195
MA10/20,2023-04-13,2023-05-17,476.98218203539477
MA10/20,2023-05-18,2023-06-23,7183.199291332856
MA10/20,2023-06-23,2023-07-28,10713.902788388452
MA10/20,2023-07-28,2023-08-10,-3971.523261871706
MA10/20,2023-09-05,2023-09-22,-6334.139871817366
MA10/20,2023-10-17,2023-10-30,-29239.22759643857
MA10/20,2023-10-04,2023-11-01,12547.505284106466
MA10/20,2023-11-09,2023-12-14,12966.629611414857
MA10/20,2023-12-14,2024-01-22,6938.402784804738
MA10/20,2024-01-16,2024-02-20,-1646.8672144606335
MA10/20,2024-02-13,2024-02-27,17805.883637899427
MA10/20,2024-02-27,2024-04-02,6182.230305799172
MA10/20,2024-04-02,2024-04-15,-3033.3999180649407
MA10/20,2024-04-12,2024-05-03,14614.486372192056
MA10/20,2024-05-03,2024-06-07,3452.8826191423514
MA10/20,2024-06-07,2024-07-15,10991.707715811835
MA10/20,2024-07-15,2024-07-29,-4446.352675421311
MA10/20,2024-08-06,2024-08-20,4791.287074557288
MA10/20,2024-08-07,2024-08-27,4603.828499264187
MA10/20,2024-08-01,2024-08-29,12913.502141183455
MA10/20,2024-09-12,2024-10-16,1858.586461267354
MA10/20,2024-11-06,2024-11-29,12658.148236375078
MA10/20,2024-11-29,2024-12-23,-593.6566707033518
MA10/20,2024-12-30,2025-02-05,13122.198116181755
MA10/20,2025-02-06,2025-02-20,6120.520704637537
MA10/20,2025-02-20,2025-03-05,-31266.15936322497
MA10/20,2025-02-13,2025-03-20,-25734.10031654655
MA10/20,2025-03-20,2025-04-24,-734.0703545995581
MA10/20,2025-04-09,2025-04-24,4883.309239084326
MA10/20,2025-04-14,2025-04-29,4504.510039527016
MA10/20,2025-04-29,2025-05-12,13122.367540209447
MA10/20,2025-04-25,2025-05-30,4131.08386213494
MA10/20,2025-05-16,2025-05-30,-2905.285609578617
MA10/20,2025-06-03,2025-06-16,6552.971856523121
MA10/20,2025-07-07,2025-07-18,10435.746604064294
MA10/20,2025-06-25,2025-07-30,8363.859795370257
MA10/20,2025-07-30,2025-09-03,3320.800656077996
MA10/20,2025-09-02,2025-09-15,17611.266166606823
MA10/20,2025-09-03,2025-10-07,8043.131813071119
MA10/20,2025-09-25,2025-10-08,14047.164671794346
MA10/20,2025-10-08,2025-11-11,3324.9222023115303
MA10/20,2025-10-29,2025-11-11,-969.47117613927
MA10/20,2025-11-14,2025-12-04,12444.482840677847
MA10/20,2025-12-09,2025-12-22,10560.957008777268
MA10/20,2025-12-04,2026-01-09,3256.776460156354
MA10/20,2026-01-14,2026-01-28,7746.825274244654
MA10/20,2026-01-09,2026-02-13,-794.2577827575038
MA10/20,2026-01-29,2026-03-05,-988.3925189474465
MA10/20,2026-03-10,2026-04-08,6082.771518043519
MA10/20,2026-03-11,2026-04-08,5783.72923925978
MA10/20,2026-04-17,2026-04-30,9794.791461516932
MA10/20,2026-04-08,2026-05-12,-7994.041805759629
MA10/20,2026-04-30,2026-05-13,15294.019039089915
MA10/20,2026-05-14,2026-05-28,9703.128021627048
MA10/20,2026-05-22,2026-06-17,-577.6807973542209
MA10/20,2026-06-23,2026-07-10,10889.59720464701
MA10/20,2026-07-08,2026-07-10,9366.571880739453
MA50/200,2000-01-11,2000-02-01,-2073.9298111326902
MA50/200,2000-02-03,2000-02-24,-15632.659803406836
MA50/200,2000-01-24,2000-02-28,6061.288962221597
MA50/200,2000-02-10,2000-03-03,11211.139149053899
MA50/200,2000-02-28,2000-03-31,-10934.733744086525
MA50/200,2000-03-07,2000-04-10,-12069.921211683331
MA50/200,2000-04-12,2000-05-03,-5505.645057780616
MA50/200,2000-04-17,2000-05-12,4883.9635575372
MA50/200,2000-04-18,2000-05-15,4435.344941582582
MA50/200,2000-06-06,2000-06-29,11157.876781863353
MA50/200,2000-06-05,2000-06-30,12226.752046951371
MA50/200,2000-08-18,2000-09-22,-3749.3756625689707
