strategy_key,regime,iv_signal,trend,entry_date,exit_date,entry_year,entry_vix,exit_reason,entry_credit,contracts,pnl,hold_days
bull_call_diagonal,LOW_VOL,LOW,BULLISH,2015-04-15,2015-05-19,2015,12.84000015258789,roll_21dte,88.24600329140128,2.493,2584.274011311893,34
bull_call_diagonal,LOW_VOL,LOW,BULLISH,2015-05-19,2015-06-08,2015,12.850000381469727,trend_flip,88.97668233117656,2.4726,-3879.0744779377746,20
bull_call_diagonal,NORMAL,NEUTRAL,BEARISH,2015-06-08,2015-06-15,2015,15.289999961853027,trend_flip,102.64218584895934,2.1434,510.84565278315637,7
bull_call_diagonal,NORMAL,HIGH,BEARISH,2015-06-15,2015-06-29,2015,15.390000343322754,trend_flip,103.1984712762719,2.1318,-983.0616519402693,14
bull_call_diagonal,NORMAL,HIGH,BEARISH,2015-06-29,2015-07-02,2015,18.850000381469727,trend_flip,122.84088929291738,1.7909,1079.1513427263603,3
bull_call_diagonal,NORMAL,HIGH,BEARISH,2015-07-02,2015-07-08,2015,16.790000915527344,trend_flip,111.46353895340303,1.9737,-1395.5717032802945,6
bull_call_diagonal,NORMAL,HIGH,BEARISH,2015-07-08,2015-07-24,2015,19.65999984741211,trend_flip,126.9238504451514,1.7333,1855.3476303721347,16
bull_call_diagonal,LOW_VOL,LOW,BEARISH,2015-07-24,2015-08-06,2015,13.739999771118164,trend_flip,92.68867914924908,2.3735,418.1691460598352,13
bull_call_diagonal,LOW_VOL,LOW,BEARISH,2015-08-06,2015-08-13,2015,13.770000457763672,trend_flip,92.76172272960628,2.3717,-104.71674663848167,7
bull_call_diagonal,LOW_VOL,LOW,BEARISH,2015-08-13,2015-08-19,2015,13.489999771118164,trend_flip,91.12169335665021,2.4144,242.5334536769137,6
bull_call_diagonal,NORMAL,NEUTRAL,BEARISH,2015-08-19,2015-08-24,2015,15.25,trend_flip,102.0664887381248,2.1555,-791.7697473408849,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-08-24,2015-08-27,2015,40.7400016784668,trend_flip,220.10282203273113,0.9541,3322.3516804447904,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-08-27,2015-09-01,2015,26.100000381469727,trend_flip,157.87407699619985,1.3302,-2603.3776205467784,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-09-01,2015-09-04,2015,31.399999618530273,trend_flip,179.16632598800254,1.1721,-69.7046416865074,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-09-04,2015-09-10,2015,27.799999237060547,trend_flip,162.0720883805866,1.2957,1321.021236489826,6
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-09-10,2015-09-15,2015,24.3700008392334,trend_flip,147.13235299723328,1.4273,1316.0929808483222,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-09-15,2015-09-18,2015,22.540000915527344,trend_flip,138.665194497269,1.5144,-1282.5898788661395,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-09-18,2015-09-23,2015,22.280000686645508,trend_flip,135.76428041364557,1.5468,-1231.4120977575128,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2015-09-23,2015-09-28,2015,22.1299991607666,trend_flip,133.2045554792379,1.5765,-2024.8540513733915,5
