strategy_key,regime,iv_signal,trend,entry_date,exit_date,entry_year,entry_vix,exit_reason,entry_credit,contracts,pnl,hold_days
bear_call_spread_hv,NORMAL,HIGH,BEARISH,2018-12-11,2018-12-26,2018,21.760000228881836,50pct_profit,-10.85142350646197,2.2693,1596.8625708595303,15
bear_call_spread_hv,HIGH_VOL,HIGH,BEARISH,2018-12-26,2019-01-31,2018,30.40999984741211,roll_21dte,-15.402271304524106,1.5152,-2202.859554464249,36
bear_call_spread_hv,NORMAL,NEUTRAL,BULLISH,2019-01-31,2019-03-07,2019,16.56999969482422,roll_21dte,-8.031392850827899,2.9617,117.23376791631877,35
bear_call_spread_hv,NORMAL,NEUTRAL,BULLISH,2019-03-07,2019-03-21,2019,16.59000015258789,stop_loss,-7.903461502402706,2.9568,-4963.585910909701,14
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2019-03-21,2019-04-25,2019,13.630000114440918,roll_21dte,-6.554313228975559,3.5463,-2916.4034079294406,35
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2019-04-25,2019-05-13,2019,13.25,50pct_profit,-6.3953191573756385,3.594,1466.0822718553793,18
bear_call_spread_hv,NORMAL,HIGH,BEARISH,2019-05-13,2019-05-28,2019,20.549999237060547,50pct_profit,-10.791503684295321,2.2453,1712.5934376409816,15
bear_call_spread_hv,NORMAL,NEUTRAL,BEARISH,2019-05-28,2019-06-19,2019,17.5,stop_loss,-8.654714845238118,2.7324,-5074.113251511051,22
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2019-06-19,2019-07-24,2019,14.329999923706055,roll_21dte,-7.1312507897486626,3.2671,-3649.4070556175443,35
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2019-07-24,2019-08-07,2019,12.069999694824219,50pct_profit,-5.980470973244394,3.878,1753.2285815495666,14
bear_call_spread_hv,NORMAL,HIGH,BEARISH,2019-08-07,2019-08-23,2019,19.489999771118164,50pct_profit,-10.35726666933698,2.3282,1464.3394567584878,16
bear_call_spread_hv,NORMAL,HIGH,BEARISH,2019-08-23,2019-09-11,2019,19.8700008392334,stop_loss,-10.418136122144915,2.3296,-5249.0402720184165,19
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2019-09-11,2019-10-02,2019,14.609999656677246,50pct_profit,-7.463753364799572,3.1019,1720.3763353612871,21
bear_call_spread_hv,NORMAL,HIGH,BEARISH,2019-10-02,2019-11-04,2019,20.559999465942383,stop_loss,-11.259265348620772,2.1689,-5980.731639866413,33
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2019-11-04,2019-12-09,2019,12.829999923706055,roll_21dte,-6.573522546478614,3.5474,-3223.9242004865964,35
bear_call_spread_hv,NORMAL,NEUTRAL,BULLISH,2019-12-09,2020-01-02,2019,15.859999656677246,stop_loss,-8.481932950821204,2.7267,-4979.174320957246,24
bear_call_spread_hv,LOW_VOL,LOW,BULLISH,2020-01-02,2020-02-05,2020,12.470000267028809,stop_loss,-6.519289191331438,3.4894,-4822.103733624972,34
bear_call_spread_hv,NORMAL,NEUTRAL,BULLISH,2020-02-05,2020-02-26,2020,15.149999618530273,50pct_profit,-8.617136637663691,2.6984,1538.074737549692,21
bear_call_spread_hv,HIGH_VOL,HIGH,BEARISH,2020-02-26,2020-03-18,2020,27.559999465942383,50pct_profit,-17.166132438152772,1.3563,1470.1260286676215,21
bear_call_spread_hv,HIGH_VOL,HIGH,BEARISH,2020-03-18,2020-04-02,2020,76.44999694824219,50pct_profit,-29.41628345441154,0.6633,1329.3526404987576,15
bear_call_spread_hv,HIGH_VOL,HIGH,BEARISH,2020-04-02,2020-05-07,2020,50.90999984741211,roll_21dte,-27.419249830642656,0.7819,-119.80826571526705,35
bear_call_spread_hv,HIGH_VOL,HIGH,BULLISH,2020-05-07,2020-06-05,2020,31.440000534057617,stop_loss,-18.779081021670493,1.2337,-5518.927767683858,29
bear_call_spread_hv,HIGH_VOL,HIGH,BULLISH,2020-06-05,2020-06-29,2020,24.520000457763672,50pct_profit,-15.526957781743192,1.4949,1399.5350982483174,24
bear_call_spread_hv,HIGH_VOL,HIGH,BULLISH,2020-06-29,2020-08-03,2020,31.780000686645508,roll_21dte,-20.32409090907032,1.1496,-1400.6833490483202,35
