id,entry_date,expiry_dte,strike,entry_spx,entry_vix,entry_premium,contracts,bp_per,bp_used,stop_premium,profit_premium,prev_val,ivp252_entry,vix5_avg_prior,n_active_at_entry,exit_date,exit_spx,exit_premium,exit_reason,pnl,ivp_bucket,vix_bucket,vix_trend_bucket,slots_bucket,hold_days,pnl_pct_premium,pnl_pct_nlv,dollar_per_bp_day,is_stop,is_win
169,2007-01-03,28,1369,1416.5999755859375,12.039999961853027,8.713751492430731,1.0,17360.377224438387,17360.377224438387,130.70627238646097,0.8713751492430731,0.872749893548523,50.59760956175299,11.16200008392334,3,2007-02-02,1448.3900146484375,0.6299428068823119,profit_target,808.380868554842,3_43-55,1_<15,3_rising,3,30,0.9277070493197429,0.001616761737109684,0.001552156880202802,0,1
170,2007-01-17,21,1389,1430.6199951171875,10.59000015258789,7.608475006665003,1.0,18058.147915705562,18058.147915705562,114.12712509997505,0.7608475006665003,1.670764539470099,5.9760956175298805,11.027999877929688,3,2007-02-27,1399.0400390625,22.34487167502732,ladder_exit,-1473.6396668362318,1_<30,1_<15,1_falling,3,41,-1.9368397287831365,-0.0029472793336724635,-0.0019903719399255097,0,0
171,2007-01-24,21,1402,1440.1300048828125,9.890000343322754,7.20945760288339,1.0,18509.895345249275,18509.895345249275,108.14186404325085,0.720945760288339,44.476749501667086,0.0,10.59000015258789,3,2007-03-06,1395.4100341796875,26.33484778375589,ladder_exit,-1912.53901808725,1_<30,1_<15,1_falling,3,41,-2.6528195648481776,-0.0038250780361745,-0.0025201273294098714,0,0
172,2007-01-31,21,1398,1438.239990234375,10.420000076293945,7.686660791638133,1.0,18318.26690924194,18318.26690924194,115.29991187457199,0.7686660791638134,16.717560402759204,5.9760956175298805,10.930000114440919,3,2007-03-13,1377.949951171875,36.9325134906004,ladder_exit,-2924.5852698962267,1_<30,1_<15,1_falling,3,41,-3.8047539096270664,-0.005849170539792454,-0.0038940009117489887,0,0
173,2007-02-07,21,1409,1450.02001953125,10.319999694824219,7.474550475220951,1.0,18395.753387365847,18395.753387365847,112.11825712831427,0.7474550475220951,24.837176718508204,5.9760956175298805,10.402000045776367,3,2007-03-20,1410.93994140625,18.09137720252113,ladder_exit,-1061.6826727300179,1_<30,1_<15,2_flat,3,41,-1.4203966863955575,-0.002123365345460036,-0.0014076454923918958,0,0
174,2007-02-22,21,1416,1456.3800048828125,10.180000305175781,7.42859067104223,1.0,18550.55865206516,18550.55865206516,111.42886006563344,0.742859067104223,17.87374376027742,4.382470119521913,10.181999969482423,4,2007-04-03,1437.77001953125,11.130347393126044,ladder_exit,-370.17567220838146,1_<30,1_<15,2_flat,4,40,-0.49831211410178006,-0.0007403513444167629,-0.0004988740220057622,0,0
175,2007-03-23,30,1383,1436.1099853515625,12.949999809265137,9.40856032434857,1.0,17171.507277552046,17171.507277552046,141.12840486522856,0.9408560324348572,1.734005299485176,65.33864541832669,13.954000282287598,1,2007-04-20,1484.3499755859375,0.7936983635250741,profit_target,861.4861960823497,4_55-70,1_<15,1_falling,1,28,0.9156408274844081,0.0017229723921646993,0.0017917684014856247,0,1
176,2007-04-03,33,1382,1437.77001953125,13.460000038146973,9.766438720452072,1.0,16966.192211888956,16966.192211888956,146.49658080678108,0.9766438720452073,1.122663535027641,67.33067729083665,14.553999900817871,1,2007-04-26,1494.25,0.9123019654343238,profit_target,885.4136755017748,4_55-70,1_<15,1_falling,1,23,0.9065880622868338,0.0017708273510035496,0.002268997443867854,0,1
177,2007-04-11,33,1383,1438.8699951171875,13.489999771118164,9.814826762037967,1.0,16977.533091242858,16977.533091242858,147.2224014305695,0.9814826762037967,1.0868320836253034,67.72908366533864,13.15,2,2007-05-03,1502.3900146484375,0.8080578807219396,profit_target,900.6768881316027,4_55-70,1_<15,2_flat,2,22,0.9176696746347713,0.0018013537762632055,0.00241141385685495,0,1
178,2007-04-18,25,1421,1472.5,12.420000076293945,9.3165825920197,1.0,17869.15825920197,17869.15825920197,139.7487388802955,0.93165825920197,0.980972238487503,57.37051792828686,12.50399990081787,3,2007-05-22,1524.1199951171875,0.8372684510966479,profit_target,847.9314140923052,4_55-70,1_<15,2_flat,3,34,0.9101313767331568,0.0016958628281846103,0.0013956538341791344,0,1
