report_date,noncomm_long,noncomm_short,open_interest,net_spec
2010-09-07,418696,423337,3025949,-4641
2010-09-14,407018,427551,3460098,-20533
2010-09-21,193882,360525,2480461,-166643
2010-09-28,231338,386811,2570715,-155473
2010-10-05,290958,418617,2643979,-127659
2010-10-12,273851,433501,2687051,-159650
2010-10-19,273142,443011,2689641,-169869
2010-10-26,307859,460496,2696003,-152637
2010-11-02,337198,476205,2709889,-139007
2010-11-09,344847,530891,2801910,-186044
2010-11-16,365436,509247,2859310,-143811
2010-11-23,340245,550299,2836389,-210054
2010-11-30,330645,504968,2882495,-174323
2010-12-07,333297,559426,2979326,-226129
2010-12-14,359983,551402,3391166,-191419
2010-12-21,282613,293737,2435858,-11124
2010-12-28,272250,308872,2479708,-36622
2011-01-04,290361,311076,2499724,-20715
2011-01-11,345122,309459,2533574,35663
2011-01-18,328029,321994,2575471,6035
2011-01-25,366784,346876,2649692,19908
2011-02-01,401779,342334,2707779,59445
2011-02-08,403660,406925,2775873,-3265
2011-02-15,443832,408673,2837103,35159
2011-02-22,504311,448145,2899999,56166
2011-03-01,498715,440053,2970595,58662
2011-03-08,534578,447932,3037799,86646
2011-03-15,696413,470915,3595592,225498
2011-03-22,336705,388753,2571151,-52048
2011-03-29,356283,375794,2655711,-19511
2011-04-05,378362,370868,2682037,7494
2011-04-12,385592,399646,2695345,-14054
2011-04-19,375629,430177,2708468,-54548
2011-04-26,385750,392028,2745754,-6278
2011-05-03,438683,421121,2816881,17562
2011-05-10,382180,371415,2707707,10765
2011-05-17,394409,361364,2725544,33045
2011-05-24,414291,424621,2803618,-10330
2011-05-31,427011,466885,2866938,-39874
2011-06-07,523960,481892,3009071,42068
2011-06-14,499928,432308,3425322,67620
2011-06-21,282047,363500,2537969,-81453
2011-06-28,289179,333946,2516434,-44767
2011-07-05,309913,400113,2494190,-90200
2011-07-12,361033,342757,2601431,18276
2011-07-19,301786,346296,2599222,-44510
2011-07-26,324025,374910,2581474,-50885
2011-08-02,392835,319141,2811337,73694
2011-08-09,501568,481877,3386290,19691
2011-08-16,344568,529599,3229005,-185031
2011-08-23,446890,576947,3438382,-130057
2011-08-30,337825,661121,3569848,-323296
2011-09-06,400409,672677,3762716,-272268
2011-09-13,448289,663485,4089537,-215196
2011-09-20,222419,529735,2920552,-307316
2011-09-27,271244,558278,2976793,-287034
2011-10-04,268305,563504,3143543,-295199
2011-10-11,244950,544415,3011932,-299465
2011-10-18,225605,594173,3003811,-368568
2011-10-25,235710,618694,3004309,-382984
2011-11-01,243818,541626,2848461,-297808
2011-11-08,238790,570000,2891815,-331210
2011-11-15,266741,556884,2962579,-290143
2011-11-22,231750,535165,3035521,-303415
2011-11-29,207632,527102,3015865,-319470
2011-12-06,235240,513531,3017064,-278291
2011-12-13,259751,521421,3406086,-261670
2011-12-20,264668,449566,2561308,-184898
2011-12-27,244844,501597,2610560,-256753
2012-01-03,276017,523666,2671088,-247649
2012-01-10,298308,448218,2592195,-149910
2012-01-17,281816,488637,2624154,-206821
2012-01-24,314258,511020,2683566,-196762
2012-01-31,379103,484499,2730177,-105396
2012-02-07,374660,454588,2724897,-79928
2012-02-14,335508,505260,2756775,-169752
2012-02-21,353640,492064,2802676,-138424
2012-02-28,370112,466168,2827921,-96056
2012-03-06,386231,490981,2970409,-104750
2012-03-13,419953,495986,3318585,-76033
2012-03-20,347648,535583,2694315,-187935
2012-03-27,368550,533461,2732746,-164911
2012-04-03,373721,563115,2753427,-189394
2012-04-10,411521,553166,2775438,-141645
2012-04-17,417430,536676,2804377,-119246
2012-04-24,385332,530932,2819711,-145600
2012-05-01,426954,497789,2858768,-70835
2012-05-08,418535,529108,2867529,-110573
2012-05-15,408713,481129,2967815,-72416
2012-05-22,344174,519091,3000650,-174917
2012-05-29,324205,543544,3040378,-219339
2012-06-05,318787,515182,3166379,-196395
2012-06-12,309900,514499,3420267,-204599
2012-06-19,284119,407885,2590421,-123766
2012-06-26,357516,435713,2741979,-78197
2012-07-03,330128,450827,2730453,-120699
2012-07-10,337532,468348,2795931,-130816
2012-07-17,321426,426280,2808514,-104854
2012-07-24,326532,433843,2860141,-107311
2012-07-31,344098,389127,2756499,-45029
2012-08-07,384863,390071,2831826,-5208
2012-08-14,385616,403203,2922565,-17587
2012-08-21,365785,407216,2998239,-41431
2012-08-28,389887,408716,3056383,-18829
2012-09-04,407084,429935,3099775,-22851
2012-09-11,436041,399560,3193602,36481
2012-09-18,452811,402604,3584406,50207
2012-09-25,461514,329114,2831321,132400
2012-10-02,489300,367679,2926111,121621
2012-10-09,452432,359959,2902097,92473
2012-10-16,465125,329991,2927011,135134
2012-10-23,458269,387584,2989251,70685
2012-10-30,454062,400620,3015873,53442
2012-11-06,432116,360487,2996323,71629
2012-11-13,456518,361925,3075902,94593
2012-11-20,392852,406486,3123365,-13634
2012-11-27,425812,408978,3117207,16834
2012-12-04,441953,352628,3156565,89325
2012-12-11,500530,367112,3226043,133418
2012-12-18,496608,368506,3395668,128102
2012-12-24,400228,321154,2763921,79074
2012-12-31,430146,353491,2765033,76655
2013-01-08,424728,338385,2799680,86343
2013-01-15,401472,355240,2843412,46232
2013-01-22,378360,357986,2946116,20374
2013-01-29,419392,382970,2989252,36422
2013-02-05,434689,345642,3001463,89047
2013-02-12,414474,389092,3087242,25382
