report_date,noncomm_long,noncomm_short,open_interest,net_spec
2026-03-03,208740,376956,2060733,-168216
2026-03-10,198229,332734,1996720,-134505
2026-03-17,208531,321588,2330659,-113057
2026-03-24,214137,295028,1879423,-80891
2026-03-31,241389,283868,1947769,-42479
2026-04-07,233095,278761,1929090,-45666
2026-04-14,236683,352445,1959076,-115762
2026-04-21,235119,345225,1963317,-110106
2026-04-28,244296,345736,1959933,-101440
2026-05-05,256838,360723,1987685,-103885
2026-05-12,265505,409340,2056229,-143835
2026-05-19,270382,410987,2068443,-140605
2026-05-26,254188,420019,2093621,-165831
2026-06-02,269402,490170,2149231,-220768
2026-06-09,267483,473127,2203164,-205644
2026-06-16,262370,456348,2579920,-193978
2026-06-23,251385,286833,1980254,-35448
