entry_date,exit_date,strategy,strategy_key,type,entry_spx,exit_spx,entry_vix,exit_vix,entry_vix3m,backwardation,ivr,ivp,iv_signal,ivp63,ivp252,regime,trend,trend_gap_pct,hv_spell_age,bearish_streak,starting_dte,dte_at_entry,dte_at_exit,hold_days_dte,hold_days_calendar,legs,net_option_px_enter,net_option_px_exit,option_premium_enter_usd,option_premium_exit_usd,entry_reason,exit_reason,exit_pnl_usd,contracts,total_bp,bp_pct_account,open_at_end,short_call_delta,long_call_delta,short_put_delta,long_put_delta,short_call_dte,long_call_dte,short_put_dte,long_put_dte,short_call_strike,long_call_strike,short_put_strike,long_put_strike
2024-07-16,2024-08-02,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,5667.2,5346.56,13.19,23.39,14.91,False,13.5,32.7,LOW,62.9,32.7,LOW_VOL,BULLISH,5.2,0,0,45,45,32,13,17,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,242.7084,190.1505,24270.84,19015.05,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,trend_flip,-3248.08,0.618,15000.0,10.0,False,0.3,0.7,,,45,90,,,5891.0,5543.0,,
2024-08-01,2024-08-15,Iron Condor,iron_condor,Credit — Iron Condor,5446.68,5543.22,18.59,15.23,19.14,False,68.3,94.4,HIGH,100.0,94.4,NORMAL,NEUTRAL,-0.05,0,0,45,45,35,10,14,SELL CALL δ0.16 45DTE | BUY CALL δ0.08 45DTE | SELL PUT δ0.16 45DTE | BUY PUT δ0.08 45DTE,-40.9679,-19.6768,4096.79,1967.68,NORMAL + IV HIGH + NEUTRAL — rich premium + no directional edge: Iron Condor,50pct_profit,2086.95,0.9802,15000.0,10.0,False,0.16,0.08,0.16,0.08,45,45,45,45,5955.0,6149.0,5093.0,4931.0
2024-08-06,2024-08-20,Iron Condor (High Vol),iron_condor_hv,Credit — Iron Condor (Reduced Size),5240.03,5597.12,27.71,15.88,26.76,False,59.3,99.6,HIGH,98.4,99.6,HIGH_VOL,BEARISH,-3.79,0,3,45,45,35,10,14,SELL CALL δ0.12 45DTE | BUY CALL δ0.04 45DTE | SELL PUT δ0.12 45DTE | BUY PUT δ0.08 45DTE,-40.151,-13.4636,4015.1,1346.36,"HIGH_VOL + BEARISH + IV HIGH + aftermath (VIX peak=38.6 → now=27.7, -28.2% off peak) — bypass VIX_RISING / ivp63 gates per SPEC-064",50pct_profit,718.69,0.2693,10500.0,7.0,False,0.12,0.04,0.12,0.08,45,45,45,45,6100.0,6530.0,4636.0,4513.0
2024-08-07,2024-08-22,Iron Condor (High Vol),iron_condor_hv,Credit — Iron Condor (Reduced Size),5199.5,5570.64,27.85,17.55,27.01,False,59.9,99.6,HIGH,98.4,99.6,HIGH_VOL,BEARISH,-4.5,1,4,45,45,34,11,15,SELL CALL δ0.12 45DTE | BUY CALL δ0.04 45DTE | SELL PUT δ0.12 45DTE | BUY PUT δ0.08 45DTE,-39.1004,-18.5531,3910.04,1855.31,"HIGH_VOL + BEARISH + IV HIGH + aftermath (VIX peak=38.6 → now=27.9, -27.8% off peak) — bypass VIX_RISING / ivp63 gates per SPEC-064",50pct_profit,572.45,0.2786,10500.0,7.0,False,0.12,0.04,0.12,0.08,45,45,45,45,6063.0,6479.0,4595.0,4473.0
2024-08-16,2024-09-06,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,5554.25,5408.42,14.8,22.38,17.81,False,11.0,65.3,NEUTRAL,67.7,65.3,LOW_VOL,BULLISH,1.65,0,0,45,45,31,14,21,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,264.013,248.5343,26401.3,24853.43,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,trend_flip,-879.5,0.5682,15000.0,10.0,False,0.3,0.7,,,45,90,,,5797.0,5411.0,,
2024-09-03,2024-09-19,Iron Condor,iron_condor,Credit — Iron Condor,5528.93,5713.64,20.72,16.33,21.7,False,33.2,96.8,HIGH,91.9,96.8,NORMAL,NEUTRAL,0.44,0,0,45,45,33,12,16,SELL CALL δ0.16 45DTE | BUY CALL δ0.08 45DTE | SELL PUT δ0.16 45DTE | BUY PUT δ0.08 45DTE,-46.7532,-23.0132,4675.32,2301.32,NORMAL + IV HIGH + NEUTRAL — rich premium + no directional edge: Iron Condor,50pct_profit,2009.11,0.8463,15000.0,10.0,False,0.16,0.08,0.16,0.08,45,45,45,45,6104.0,6328.0,5129.0,4946.0
2024-11-08,2024-12-13,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,5995.54,6051.09,14.94,13.81,16.83,False,11.5,60.6,NEUTRAL,3.2,60.6,LOW_VOL,BULLISH,4.66,0,0,45,45,21,24,35,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,288.4633,312.6023,28846.33,31260.23,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,roll_21dte,1255.23,0.52,15000.0,10.0,False,0.3,0.7,,,45,90,,,6259.0,5837.0,,
2024-12-13,2024-12-18,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,6051.09,5872.16,13.81,27.62,17.15,False,7.3,40.2,NEUTRAL,11.3,40.2,LOW_VOL,BULLISH,2.45,0,0,45,45,42,3,5,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,270.1839,282.106,27018.39,28210.6,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,trend_flip,661.91,0.5552,15000.0,10.0,False,0.3,0.7,,,45,90,,,6299.0,5909.0,,
2024-12-24,2024-12-31,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,6040.04,5881.63,14.27,17.35,17.2,False,9.0,45.0,NEUTRAL,22.6,45.0,LOW_VOL,BULLISH,1.79,0,0,45,45,41,4,7,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,279.4325,234.0429,27943.25,23404.29,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,trend_flip,-2436.51,0.5368,15000.0,10.0,False,0.3,0.7,,,45,90,,,6297.0,5890.0,,
2024-12-30,2025-01-30,Iron Condor,iron_condor,Credit — Iron Condor,5906.94,6071.17,17.4,15.84,18.94,False,20.7,77.7,HIGH,53.2,77.7,NORMAL,NEUTRAL,-0.59,0,0,45,45,25,20,31,SELL CALL δ0.16 45DTE | BUY CALL δ0.08 45DTE | SELL PUT δ0.16 45DTE | BUY PUT δ0.08 45DTE,-41.9961,-20.2016,4199.61,2020.16,NORMAL + IV HIGH + NEUTRAL — rich premium + no directional edge: Iron Condor,50pct_profit,2082.25,0.9554,15000.0,10.0,False,0.16,0.08,0.16,0.08,45,45,45,45,6423.0,6622.0,5549.0,5382.0
2025-01-21,2025-02-03,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6049.24,5994.57,15.06,18.62,17.5,False,12.0,52.2,NEUTRAL,35.5,52.2,NORMAL,BULLISH,1.27,0,0,30,30,21,9,13,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-36.5337,-47.9607,3653.37,4796.07,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,-1446.89,1.2662,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,5927.0,5772.0
2025-02-06,2025-02-20,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6083.57,6117.52,15.5,15.66,17.94,False,13.6,54.2,NEUTRAL,45.2,54.2,NORMAL,BULLISH,1.39,0,0,30,30,21,9,14,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-37.9084,-27.8633,3790.84,2786.33,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,1224.1,1.2186,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,5956.0,5795.0
2025-02-14,2025-02-25,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,6114.63,5955.25,14.77,19.43,17.81,False,10.9,42.2,NEUTRAL,30.6,42.2,LOW_VOL,BULLISH,1.78,0,0,45,45,39,6,11,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,290.629,255.2813,29062.9,25528.13,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,trend_flip,-1824.29,0.5161,15000.0,10.0,False,0.3,0.7,,,45,90,,,6380.0,5956.0,,
2025-02-20,2025-03-05,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6117.52,5842.63,15.66,21.93,18.01,False,14.2,54.2,NEUTRAL,45.2,54.2,NORMAL,BULLISH,1.76,0,0,30,30,21,9,13,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-38.4928,-90.3998,3849.28,9039.98,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,-6253.23,1.2047,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,5988.0,5825.0
2025-02-21,2025-03-27,Iron Condor,iron_condor,Credit — Iron Condor,6013.13,5693.31,18.21,18.69,19.48,False,23.8,79.7,HIGH,88.7,79.7,NORMAL,NEUTRAL,0.05,0,0,45,45,21,24,34,SELL CALL δ0.16 45DTE | BUY CALL δ0.08 45DTE | SELL PUT δ0.16 45DTE | BUY PUT δ0.08 45DTE,-44.3856,-52.625,4438.56,5262.5,NORMAL + IV HIGH + NEUTRAL — rich premium + no directional edge: Iron Condor,roll_21dte,-737.34,0.8949,15000.0,10.0,False,0.16,0.08,0.16,0.08,45,45,45,45,6565.0,6777.0,5631.0,5455.0
2025-04-09,2025-04-24,Iron Condor (High Vol),iron_condor_hv,Credit — Iron Condor (Reduced Size),5456.9,5484.77,33.62,26.47,29.92,False,53.8,98.4,HIGH,95.2,98.4,HIGH_VOL,BEARISH,-5.76,0,32,45,45,35,10,15,SELL CALL δ0.12 45DTE | BUY CALL δ0.04 45DTE | SELL PUT δ0.12 45DTE | BUY PUT δ0.08 45DTE,-49.756,-14.506,4975.6,1450.6,"HIGH_VOL + BEARISH + IV HIGH + aftermath (VIX peak=52.3 → now=33.6, -35.8% off peak) — bypass VIX_RISING / ivp63 gates per SPEC-064",50pct_profit,732.5,0.2078,10500.0,7.0,False,0.12,0.04,0.12,0.08,45,45,45,45,6565.0,7120.0,4700.0,4551.0
2025-04-14,2025-04-29,Iron Condor (High Vol),iron_condor_hv,Credit — Iron Condor (Reduced Size),5405.97,5560.83,30.89,24.17,29.63,False,47.0,97.2,HIGH,90.3,97.2,HIGH_VOL,BEARISH,-5.95,0,35,45,45,35,10,15,SELL CALL δ0.12 45DTE | BUY CALL δ0.04 45DTE | SELL PUT δ0.12 45DTE | BUY PUT δ0.08 45DTE,-45.68,-16.7059,4568.0,1670.59,"HIGH_VOL + BEARISH + IV HIGH + aftermath (VIX peak=52.3 → now=30.9, -41.0% off peak) — bypass VIX_RISING / ivp63 gates per SPEC-064",50pct_profit,675.68,0.2332,10500.0,7.0,False,0.12,0.04,0.12,0.08,45,45,45,45,6409.0,6905.0,4714.0,4572.0
2025-03-27,2025-05-01,Iron Condor,iron_condor,Credit — Iron Condor,5693.31,5604.14,18.69,24.6,19.89,False,25.6,74.9,HIGH,62.9,74.9,NORMAL,BEARISH,-3.63,0,23,45,45,21,24,35,SELL CALL δ0.16 45DTE | BUY CALL δ0.08 45DTE | SELL PUT δ0.16 45DTE | BUY PUT δ0.08 45DTE,-42.8878,-37.4192,4288.78,3741.92,NORMAL + IV HIGH + BEARISH + VIX stable — MA50 lag means downtrend confirmed; IC collects from both sides without directional bet,roll_21dte,502.9,0.9196,15000.0,10.0,False,0.16,0.08,0.16,0.08,45,45,45,45,6227.0,6433.0,5321.0,5154.0
2025-04-24,2025-05-09,Iron Condor (High Vol),iron_condor_hv,Credit — Iron Condor (Reduced Size),5484.77,5659.91,26.47,21.9,26.44,False,36.1,92.0,HIGH,74.2,92.0,HIGH_VOL,BEARISH,-2.87,10,42,45,45,34,11,15,SELL CALL δ0.12 45DTE | BUY CALL δ0.04 45DTE | SELL PUT δ0.12 45DTE | BUY PUT δ0.08 45DTE,-40.2656,-19.9411,4026.56,1994.11,"HIGH_VOL + BEARISH + IV HIGH + aftermath (VIX peak=40.7 → now=26.5, -35.0% off peak) — bypass VIX_RISING / ivp63 gates per SPEC-064",50pct_profit,550.39,0.2708,10500.0,7.0,False,0.12,0.04,0.12,0.08,45,45,45,45,6342.0,6770.0,4880.0,4756.0
2025-05-02,2025-05-13,Bull Put Spread (High Vol),bull_put_spread_hv,Credit — Vertical Spread (Reduced Size),5686.67,5886.55,22.68,18.22,24.0,False,26.7,85.7,HIGH,54.8,85.7,HIGH_VOL,BULLISH,1.86,18,0,35,35,28,7,11,SELL PUT δ0.20 35DTE | BUY PUT δ0.10 35DTE,-32.1202,-5.4786,3212.02,547.86,"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)",roll_up,1727.97,0.6486,10500.0,7.0,False,,,0.2,0.1,,,35,35,,,5348.0,5154.0
2025-05-16,2025-05-30,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,5958.38,5911.69,17.24,18.57,20.08,False,13.3,52.6,NEUTRAL,6.5,52.6,NORMAL,BULLISH,7.2,0,0,30,30,21,9,14,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-41.3302,-46.5081,4133.02,4650.81,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,-581.06,1.1222,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,5816.0,5641.0
2025-06-03,2025-06-16,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,5970.37,6033.11,17.69,19.11,20.72,False,14.2,50.6,NEUTRAL,4.8,50.6,NORMAL,BULLISH,6.3,0,0,30,30,21,9,13,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-42.9782,-30.919,4297.82,3091.9,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,1310.59,1.0868,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,5825.0,5644.0
2025-07-07,2025-07-18,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6229.98,6296.79,17.79,16.41,20.21,False,14.2,48.6,NEUTRAL,24.2,48.6,NORMAL,BULLISH,5.51,0,0,30,30,21,9,11,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-44.4297,-24.5918,4442.97,2459.18,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,2087.15,1.0521,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,6076.0,5889.0
2025-07-25,2025-08-28,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,6388.64,6501.86,14.93,14.43,18.32,False,5.5,9.6,LOW,0.0,9.6,LOW_VOL,BULLISH,4.92,0,0,45,45,21,24,34,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,307.0404,362.3961,30704.04,36239.61,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,roll_21dte,2704.13,0.4885,15000.0,10.0,False,0.3,0.7,,,45,90,,,6669.0,6220.0,,
2025-09-02,2025-09-15,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6415.54,6615.28,17.17,15.69,19.38,False,11.1,45.8,NEUTRAL,71.0,45.8,NORMAL,BULLISH,1.43,0,0,30,30,21,9,13,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-44.3659,-10.8717,4436.59,1087.17,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,3522.25,1.0516,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,6264.0,6077.0
2025-08-28,2025-10-02,Bull Call Diagonal,bull_call_diagonal,Debit — Diagonal Spread,6501.86,6715.35,14.43,16.63,17.72,False,4.2,6.8,LOW,1.6,6.8,LOW_VOL,BULLISH,3.1,0,0,45,45,21,24,35,BUY CALL δ0.70 90DTE | SELL CALL δ0.30 45DTE,302.0858,404.0231,30208.58,40402.31,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,roll_21dte,5061.19,0.4965,15000.0,10.0,False,0.3,0.7,,,45,90,,,6780.0,6340.0,,
2025-09-25,2025-10-08,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6604.72,6753.72,16.74,16.3,19.46,False,10.0,43.8,NEUTRAL,82.3,43.8,NORMAL,BULLISH,2.35,0,0,30,30,21,9,13,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-44.3197,-17.5963,4431.97,1759.63,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,2809.43,1.0513,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,6453.0,6266.0
2025-10-23,2025-11-05,Bull Put Spread,bull_put_spread,Credit — Bull Put Spread,6738.44,6796.29,17.3,18.01,19.65,False,11.5,53.4,NEUTRAL,80.6,53.4,NORMAL,BULLISH,2.27,0,0,30,30,21,9,13,SELL PUT δ0.30 30DTE | BUY PUT δ0.15 30DTE,-46.687,-33.3539,4668.7,3335.39,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,roll_21dte,1330.5,0.9979,15000.0,10.0,False,,,0.3,0.15,,,30,30,,,6577.0,6380.0
2025-11-13,2025-11-28,Iron Condor,iron_condor,Credit — Iron Condor,6737.49,6849.09,20.0,16.35,21.85,False,18.3,76.9,HIGH,91.9,76.9,NORMAL,NEUTRAL,0.57,0,0,45,45,35,10,15,SELL CALL δ0.16 45DTE | BUY CALL δ0.08 45DTE | SELL PUT δ0.16 45DTE | BUY PUT δ0.08 45DTE,-54.3155,-25.135,5431.55,2513.5,NORMAL + IV HIGH + NEUTRAL — rich premium + no directional edge: Iron Condor,50pct_profit,2159.65,0.7401,15000.0,10.0,False,0.16,0.08,0.16,0.08,45,45,45,45,7415.0,7672.0,6267.0,6053.0
