,j0_bp_pct,j0_n_open,j3_bp_pct,j3_n_open
2023-04-26,0.0,0,0.0,0
2023-04-27,0.0,0,0.0,0
2023-04-28,0.0,0,0.0,0
2023-05-01,0.0,0,0.0,0
2023-05-02,0.0,0,0.0,0
2023-05-03,0.0,0,0.0,0
2023-05-04,0.0,0,0.0,0
2023-05-05,0.0,0,0.0,0
2023-05-08,0.0,0,0.0,0
2023-05-09,0.0,0,0.0,0
2023-05-10,0.0,0,0.0,0
2023-05-11,0.0,0,0.0,0
2023-05-12,0.0,0,0.0,0
2023-05-15,0.0,0,0.0,0
2023-05-16,0.0,0,0.0,0
2023-05-17,0.0,0,0.0,0
2023-05-18,0.0,0,0.0,0
2023-05-19,0.0,0,0.0,0
2023-05-22,0.0,0,0.0,0
2023-05-23,0.0,0,0.0,0
2023-05-24,0.0,0,0.0,0
2023-05-25,0.0,0,0.0,0
2023-05-26,0.0,0,0.0,0
2023-05-29,0.0,0,0.0,0
2023-05-30,0.0,0,0.0,0
2023-05-31,0.0,0,0.0,0
2023-06-01,0.0,0,0.0,0
2023-06-02,10.0,1,15.0,1
2023-06-05,10.0,1,15.0,1
2023-06-06,10.0,1,15.0,1
2023-06-07,10.0,1,15.0,1
2023-06-08,10.0,1,15.0,1
2023-06-09,10.0,1,15.0,1
2023-06-12,10.0,1,15.0,1
2023-06-13,10.0,1,15.0,1
2023-06-14,10.0,1,15.0,1
2023-06-15,10.0,1,15.0,1
2023-06-16,10.0,1,15.0,1
2023-06-19,10.0,1,15.0,1
2023-06-20,10.0,1,15.0,1
2023-06-21,10.0,1,15.0,1
2023-06-22,10.0,1,15.0,1
2023-06-23,10.0,1,15.0,1
2023-06-26,10.0,1,15.0,1
2023-06-27,10.0,1,15.0,1
2023-06-28,10.0,1,15.0,1
2023-06-29,10.0,1,15.0,1
2023-06-30,10.0,1,15.0,1
2023-07-03,10.0,1,15.0,1
2023-07-04,10.0,1,15.0,1
2023-07-05,10.0,1,15.0,1
2023-07-06,10.0,1,15.0,1
2023-07-07,10.0,1,15.0,1
2023-07-10,10.0,1,15.0,1
2023-07-11,10.0,1,15.0,1
2023-07-12,10.0,1,15.0,1
2023-07-13,10.0,1,15.0,1
2023-07-14,10.0,1,15.0,1
2023-07-17,10.0,1,15.0,1
2023-07-18,10.0,1,15.0,1
2023-07-19,10.0,1,15.0,1
2023-07-20,10.0,1,15.0,1
2023-07-21,10.0,1,15.0,1
2023-07-24,10.0,1,15.0,1
2023-07-25,10.0,1,15.0,1
2023-07-26,10.0,1,15.0,1
2023-07-27,10.0,1,15.0,1
2023-07-28,10.0,1,15.0,1
2023-07-31,10.0,1,15.0,1
2023-08-01,10.0,1,15.0,1
2023-08-02,10.0,1,15.0,1
2023-08-03,10.0,1,15.0,1
2023-08-04,10.0,1,15.0,1
2023-08-07,10.0,1,15.0,1
2023-08-08,10.0,1,15.0,1
2023-08-09,10.0,1,15.0,1
2023-08-10,10.0,1,15.0,1
2023-08-11,10.0,1,15.0,1
2023-08-14,20.0,2,30.0,2
2023-08-15,10.0,1,15.0,1
2023-08-16,10.0,1,15.0,1
2023-08-17,10.0,1,15.0,1
2023-08-18,0.0,0,0.0,0
2023-08-21,0.0,0,0.0,0
2023-08-22,0.0,0,0.0,0
2023-08-23,0.0,0,0.0,0
2023-08-24,0.0,0,0.0,0
2023-08-25,0.0,0,0.0,0
2023-08-28,0.0,0,0.0,0
2023-08-29,10.0,1,15.0,1
2023-08-30,10.0,1,15.0,1
2023-08-31,10.0,1,15.0,1
2023-09-01,10.0,1,15.0,1
2023-09-04,10.0,1,15.0,1
2023-09-05,10.0,1,15.0,1
2023-09-06,10.0,1,15.0,1
2023-09-07,10.0,1,15.0,1
2023-09-08,10.0,1,15.0,1
2023-09-11,10.0,1,15.0,1
2023-09-12,10.0,1,15.0,1
2023-09-13,10.0,1,15.0,1
2023-09-14,10.0,1,15.0,1
2023-09-15,10.0,1,15.0,1
2023-09-18,0.0,0,0.0,0
2023-09-19,0.0,0,0.0,0
2023-09-20,0.0,0,0.0,0
2023-09-21,0.0,0,0.0,0
2023-09-22,0.0,0,0.0,0
2023-09-25,0.0,0,0.0,0
2023-09-26,0.0,0,0.0,0
2023-09-27,0.0,0,0.0,0
2023-09-28,0.0,0,0.0,0
2023-09-29,0.0,0,0.0,0
2023-10-02,0.0,0,0.0,0
