date,bp_used,max_conc_pct,eff_expiry_count,variant
2009-08-10,47511.03494847678,23.7380547507593,4.622375902404416,V3_daily_cluster
2009-08-17,51768.59718998193,21.785785400621826,5.291519600558564,V3_daily_cluster
2009-08-24,40016.11085643629,28.184136957197058,4.253029635330525,V3_daily_cluster
2009-08-31,33817.221436150096,33.350449888427505,3.9028119365934613,V3_daily_cluster
2009-09-07,33817.221436150096,33.350449888427505,3.9028119365934613,V3_daily_cluster
2009-09-14,18289.251263953804,23.27904067837024,4.949480689343864,V3_daily_cluster
2009-09-21,25366.497680083456,44.68416886157029,3.616295777488829,V3_daily_cluster
2009-09-28,31920.324844144005,35.50969080978588,3.7944660509669372,V3_daily_cluster
2009-10-05,28285.912147928986,40.072275549596185,3.1337410176628273,V3_daily_cluster
2009-10-12,38465.75605698905,29.467271203097333,4.122122636272979,V3_daily_cluster
2009-10-19,35041.31287718027,32.346986248384255,3.5380640990170105,V3_daily_cluster
2009-10-26,30878.505807353624,32.99460124087115,3.8950371329324054,V3_daily_cluster
2009-11-02,20690.265947078056,49.20112643838534,3.036210726199323,V3_daily_cluster
2009-11-09,32292.47589182944,35.92852398068041,3.7836884042585406,V3_daily_cluster
2009-11-16,28049.631546350225,41.363145628417506,4.147782563213858,V3_daily_cluster
2009-11-23,24711.211096140374,46.95119919299917,3.420164304109301,V3_daily_cluster
2009-11-30,20951.125217766985,55.377502755376916,2.67711224333394,V3_daily_cluster
2009-12-07,31320.471455175637,37.043535444081385,3.613326667103952,V3_daily_cluster
2009-12-14,19718.261510424254,52.58752771854047,2.840600671681965,V3_daily_cluster
2009-12-21,16871.76967311273,61.45974274372355,2.211513477338488,V3_daily_cluster
2009-12-28,16871.76967311273,61.45974274372355,2.211513477338488,V3_daily_cluster
2010-01-04,13459.853963677968,77.03906940885695,1.5474552174865586,V3_daily_cluster
2010-01-11,3090.5077262693158,100.0,1.0,V3_daily_cluster
2010-01-18,3090.5077262693158,100.0,1.0,V3_daily_cluster
2010-01-25,3898.925010675628,100.0,1.0,V3_daily_cluster
2010-02-01,3898.925010675628,100.0,1.0,V3_daily_cluster
2010-02-08,3898.925010675628,100.0,1.0,V3_daily_cluster
2010-02-15,3898.925010675628,100.0,1.0,V3_daily_cluster
2010-02-22,8366.344756670904,53.39750961652854,1.9908079843623177,V3_daily_cluster
2010-03-01,4467.419745995277,100.0,1.0,V3_daily_cluster
2010-03-08,4467.419745995277,100.0,1.0,V3_daily_cluster
2010-03-15,4467.419745995277,100.0,1.0,V3_daily_cluster
2010-03-22,4467.419745995277,100.0,1.0,V3_daily_cluster
2010-03-29,0.0,0.0,0.0,V3_daily_cluster
2010-04-05,0.0,0.0,0.0,V3_daily_cluster
2010-04-12,0.0,0.0,0.0,V3_daily_cluster
2010-04-19,0.0,0.0,0.0,V3_daily_cluster
2010-04-26,0.0,0.0,0.0,V3_daily_cluster
2010-05-03,0.0,0.0,0.0,V3_daily_cluster
2010-05-10,9084.616715694758,100.0,1.0,V3_daily_cluster
2010-05-17,23380.055789894894,61.143733798867906,1.9053550668505195,V3_daily_cluster
2010-05-24,23380.055789894894,61.143733798867906,1.9053550668505195,V3_daily_cluster
2010-05-31,30269.819569422452,47.226707253454876,2.7403564502637274,V3_daily_cluster
2010-06-07,35288.70012006535,40.509962184953565,3.4634955253413526,V3_daily_cluster
2010-06-14,31222.96395501348,45.78501610160144,3.2258494791644394,V3_daily_cluster
2010-06-21,30227.87704923979,24.52771334496155,4.874124614344081,V3_daily_cluster
2010-06-28,30227.87704923979,24.52771334496155,4.874124614344081,V3_daily_cluster
2010-07-05,33312.46493685387,29.941800122112628,4.633813089078344,V3_daily_cluster
2010-07-12,40726.07306043155,24.491317030102937,5.646970473202181,V3_daily_cluster
2010-07-19,42270.71806065597,23.596362032054987,5.734170704292736,V3_daily_cluster
2010-07-26,52203.02437214987,44.504430077263656,3.577506407126934,V3_daily_cluster
2010-08-02,62382.86828120993,37.242049171564226,4.497027909359039,V3_daily_cluster
2010-08-09,55585.80956047796,41.79602431559976,3.981760246249093,V3_daily_cluster
2010-08-16,43153.32088625739,53.837475315414295,2.673434064004343,V3_daily_cluster
2010-08-23,75363.79828959983,51.44910929941883,2.6332658895579946,V3_daily_cluster
2010-08-30,60315.08369120714,64.28574840867263,2.1601187951341174,V3_daily_cluster
2010-09-06,55624.57478842061,69.70660558160591,1.9210474889552562,V3_daily_cluster
2010-09-13,56502.823449936644,68.62312462768307,1.9744017559766665,V3_daily_cluster
2010-09-20,67837.63210757145,57.15707012403538,2.636524864346613,V3_daily_cluster
2010-09-27,40779.24368495588,27.795534280142615,5.23223073178943,V3_daily_cluster
2010-10-04,37926.73751446429,29.886062974206514,5.150617108037017,V3_daily_cluster
2010-10-11,32437.402508190764,34.94363845801973,4.223234921131202,V3_daily_cluster
2010-10-18,28381.86090026508,39.9368057558514,3.4617484994274057,V3_daily_cluster
2010-10-25,17047.052242630278,45.465382304171136,2.7884406144390534,V3_daily_cluster
2010-11-01,5331.4377110360765,100.0,1.0,V3_daily_cluster
2010-11-08,0.0,0.0,0.0,V3_daily_cluster
2010-11-15,0.0,0.0,0.0,V3_daily_cluster
2010-11-22,0.0,0.0,0.0,V3_daily_cluster
2010-11-29,3256.1976294881256,100.0,1.0,V3_daily_cluster
2010-12-06,3256.1976294881256,100.0,1.0,V3_daily_cluster
2010-12-13,3256.1976294881256,100.0,1.0,V3_daily_cluster
2010-12-20,3256.1976294881256,100.0,1.0,V3_daily_cluster
2010-12-27,3256.1976294881256,100.0,1.0,V3_daily_cluster
2011-01-03,0.0,0.0,0.0,V3_daily_cluster
2011-01-10,0.0,0.0,0.0,V3_daily_cluster
2011-01-17,0.0,0.0,0.0,V3_daily_cluster
2011-01-24,0.0,0.0,0.0,V3_daily_cluster
2011-01-31,0.0,0.0,0.0,V3_daily_cluster
2011-02-07,0.0,0.0,0.0,V3_daily_cluster
2011-02-14,0.0,0.0,0.0,V3_daily_cluster
2011-02-21,0.0,0.0,0.0,V3_daily_cluster
2011-02-28,0.0,0.0,0.0,V3_daily_cluster
2011-03-07,3496.938236299773,100.0,1.0,V3_daily_cluster
2011-03-14,3496.938236299773,100.0,1.0,V3_daily_cluster
2011-03-21,12482.433080337256,71.98512330253733,1.675970736294589,V3_daily_cluster
2011-03-28,12482.433080337256,71.98512330253733,1.675970736294589,V3_daily_cluster
2011-04-04,12482.433080337256,71.98512330253733,1.675970736294589,V3_daily_cluster
2011-04-11,8985.494844037483,100.0,1.0,V3_daily_cluster
2011-04-18,8985.494844037483,100.0,1.0,V3_daily_cluster
2011-04-25,6317.740214522379,100.0,1.0,V3_daily_cluster
2011-05-02,14348.005391723564,55.96781544167335,1.9719083349341047,V3_daily_cluster
2011-05-09,14348.005391723564,55.96781544167335,1.9719083349341047,V3_daily_cluster
2011-05-16,14348.005391723564,55.96781544167335,1.9719083349341047,V3_daily_cluster
2011-05-23,14348.005391723564,55.96781544167335,1.9719083349341047,V3_daily_cluster
2011-05-30,14348.005391723564,55.96781544167335,1.9719083349341047,V3_daily_cluster
2011-06-06,11764.766994658736,68.25689944260661,1.7647176889843854,V3_daily_cluster
2011-06-13,3734.501817457551,100.0,1.0,V3_daily_cluster
2011-06-20,3734.501817457551,100.0,1.0,V3_daily_cluster
2011-06-27,3734.501817457551,100.0,1.0,V3_daily_cluster
2011-07-04,3734.501817457551,100.0,1.0,V3_daily_cluster
2011-07-11,3708.709698687941,100.0,1.0,V3_daily_cluster
2011-07-18,3708.709698687941,100.0,1.0,V3_daily_cluster
2011-07-25,3708.709698687941,100.0,1.0,V3_daily_cluster
2011-08-01,3708.709698687941,100.0,1.0,V3_daily_cluster
2011-08-08,3708.709698687941,100.0,1.0,V3_daily_cluster
2011-08-15,10740.03989157674,100.0,1.0,V3_daily_cluster
2011-08-22,10740.03989157674,100.0,1.0,V3_daily_cluster
2011-08-29,40234.42191404865,73.30633974431073,1.6430152041500328,V3_daily_cluster
2011-09-05,40234.42191404865,73.30633974431073,1.6430152041500328,V3_daily_cluster
2011-09-12,74593.06065750416,46.06144115900273,2.5691052530591616,V3_daily_cluster
2011-09-19,113478.36796997456,34.35257037458697,3.4960912471529535,V3_daily_cluster
2011-09-26,113478.36796997456,34.35257037458697,3.4960912471529535,V3_daily_cluster
2011-10-03,83983.98594750263,46.41686837915254,2.507010123318539,V3_daily_cluster
2011-10-10,88424.38938987254,44.08595466228128,2.7597786064841,V3_daily_cluster
2011-10-17,64253.9905066926,60.66975126277625,2.350540855083666,V3_daily_cluster
2011-10-24,19179.712803978287,53.119877051351395,2.5505254216880986,V3_daily_cluster
2011-10-31,30514.52146161309,37.14562154249694,3.41441251234522,V3_daily_cluster
2011-11-07,30514.52146161309,37.14562154249694,3.41441251234522,V3_daily_cluster
2011-11-14,48711.22115752518,24.57039580148317,4.6520183145574165,V3_daily_cluster
2011-11-21,66103.75355887294,41.72345861882034,3.7445424798476203,V3_daily_cluster
2011-11-28,65442.65349349456,42.14494796480867,3.68765343200357,V3_daily_cluster
2011-12-05,60997.60861538731,45.21615336681539,3.44393983909491,V3_daily_cluster
2011-12-12,65053.150223313,42.39728924263416,3.8583777419055267,V3_daily_cluster
2011-12-19,47673.67063918452,57.85325923478148,2.6202510781142974,V3_daily_cluster
2011-12-26,20092.8983775612,34.289546734689715,3.78406412624346,V3_daily_cluster
2012-01-02,20898.184497659175,32.968240759379306,3.844345177110059,V3_daily_cluster
2012-01-09,22609.017405485658,23.25454246798827,4.882115341326798,V3_daily_cluster
2012-01-16,18553.475797559968,28.337674360967828,3.90043342489613,V3_daily_cluster
2012-01-23,25401.691869854825,47.657611502700135,3.114671295399334,V3_daily_cluster
2012-01-30,25401.691869854825,47.657611502700135,3.114671295399334,V3_daily_cluster
2012-02-06,20706.436313802413,58.464138603990094,2.3161255072316163,V3_daily_cluster
2012-02-13,15679.650738618397,77.20732960353604,1.5430961521878162,V3_daily_cluster
2012-02-20,15679.650738618397,77.20732960353604,1.5430961521878162,V3_daily_cluster
2012-02-27,3573.811112170018,100.0,1.0,V3_daily_cluster
2012-03-05,3573.811112170018,100.0,1.0,V3_daily_cluster
2012-03-12,3564.695258163152,100.0,1.0,V3_daily_cluster
2012-03-19,12254.973733308954,70.91225704976969,1.7022305207054214,V3_daily_cluster
2012-03-26,18925.593359754253,45.91812954000108,2.6986449907088974,V3_daily_cluster
2012-04-02,18925.593359754253,45.91812954000108,2.6986449907088974,V3_daily_cluster
2012-04-09,15360.898101591101,56.57402593046075,1.966013279203536,V3_daily_cluster
2012-04-16,15360.898101591101,56.57402593046075,1.966013279203536,V3_daily_cluster
2012-04-23,15360.898101591101,56.57402593046075,1.966013279203536,V3_daily_cluster
2012-04-30,6670.6196264453,100.0,1.0,V3_daily_cluster
2012-05-07,3927.249877818893,100.0,1.0,V3_daily_cluster
2012-05-14,3927.249877818893,100.0,1.0,V3_daily_cluster
2012-05-21,3927.249877818893,100.0,1.0,V3_daily_cluster
2012-05-28,3927.249877818893,100.0,1.0,V3_daily_cluster
2012-06-04,6396.770341729687,100.0,1.0,V3_daily_cluster
2012-06-11,10760.787565050996,59.44518747405802,1.9310897822510134,V3_daily_cluster
2012-06-18,18625.170647889165,42.22448873900362,2.847810083226367,V3_daily_cluster
2012-06-25,18625.170647889165,42.22448873900362,2.847810083226367,V3_daily_cluster
2012-07-02,12228.400306159476,64.31244386787746,1.8485340416980887,V3_daily_cluster
2012-07-09,7864.383082838168,100.0,1.0,V3_daily_cluster
2012-07-16,0.0,0.0,0.0,V3_daily_cluster
2012-07-23,0.0,0.0,0.0,V3_daily_cluster
2012-07-30,4191.50521609538,100.0,1.0,V3_daily_cluster
2012-08-06,4191.50521609538,100.0,1.0,V3_daily_cluster
2012-08-13,12768.815371630604,67.17389128040845,1.7889455419497091,V3_daily_cluster
2012-08-20,25673.964906406796,33.40859188210078,3.672537935080312,V3_daily_cluster
2012-08-27,21482.459690311414,39.92703945071797,2.8502763905090465,V3_daily_cluster
2012-09-03,21482.459690311414,39.92703945071797,2.8502763905090465,V3_daily_cluster
2012-09-10,28155.057555080097,30.46454491792575,3.8399605016194167,V3_daily_cluster
2012-09-17,49469.949559627275,43.086544850537685,3.7037236982375985,V3_daily_cluster
2012-09-24,54137.87235113093,39.37149924603919,4.310275284978143,V3_daily_cluster
2012-10-01,46092.963884311706,46.24326623483189,3.4531037767916293,V3_daily_cluster
2012-10-08,53545.97187233898,39.80671422934452,3.85758468950729,V3_daily_cluster
2012-10-15,53545.97187233898,39.80671422934452,3.85758468950729,V3_daily_cluster
2012-10-22,46873.374007570295,45.47334698181682,3.1444292409467387,V3_daily_cluster
