variant,entry_date,strategy,pnl,bp_per_contract,pnl_source,expiry_proxy
V1b_weekly_catchup,2001-10-22,Iron Condor (High Vol),-4066.392784427388,14961.527500712455,bootstrap,2001-11-26
V1b_weekly_catchup,2001-10-29,Iron Condor (High Vol),825.6490423333646,5156.664374815833,bootstrap,2001-12-03
V1b_weekly_catchup,2001-11-06,Bull Put Spread (High Vol),576.6938113308023,11012.638313493104,bootstrap,2001-12-11
V1b_weekly_catchup,2001-11-12,Bull Put Spread (High Vol),1622.9275483835168,10668.563300142248,bootstrap,2001-12-17
V1b_weekly_catchup,2001-11-19,Iron Condor (High Vol),692.0367346390753,10062.77253342278,bootstrap,2001-12-24
V1b_weekly_catchup,2001-11-26,Bull Put Spread (High Vol),1313.1385526651907,9964.412811387901,bootstrap,2001-12-31
V1b_weekly_catchup,2001-12-03,Iron Condor (High Vol),786.6262454007067,5048.805116122518,bootstrap,2002-01-07
V1b_weekly_catchup,2001-12-10,Iron Condor (High Vol),2430.686095568319,15283.842794759825,bootstrap,2002-01-14
V1b_weekly_catchup,2001-12-17,Iron Condor (High Vol),-7.2244900106930015,12105.839626448378,bootstrap,2002-01-21
V1b_weekly_catchup,2001-12-24,Bull Put Spread (High Vol),553.9943331800376,3548.256285482563,bootstrap,2002-01-28
V1b_weekly_catchup,2001-12-31,Iron Condor (High Vol),708.1265673881245,4286.414108425865,engine_exact_d+0,2002-02-04
V1b_weekly_catchup,2002-01-09,Bull Put Spread (High Vol),-417.49494902537407,5308.123957332794,bootstrap,2002-02-13
V1b_weekly_catchup,2002-01-14,Iron Condor (High Vol),687.7986937111416,4314.418375313309,engine_exact_d+0,2002-02-18
V1b_weekly_catchup,2002-01-22,Bear Call Spread (High Vol),-308.54565543891437,15681.003584229391,bootstrap,2002-02-26
V1b_weekly_catchup,2002-01-29,Bear Call Spread (High Vol),435.71038751165935,4917.687281923987,engine_exact_d+0,2002-03-05
V1b_weekly_catchup,2002-02-20,Bear Call Spread (High Vol),-11.330252822181645,4735.8094851498545,engine_exact_d+1,2002-03-27
V1b_weekly_catchup,2002-05-07,Iron Condor,220.65419031190595,3567.06882064778,engine_exact_d+0,2002-06-06
V1b_weekly_catchup,2002-07-29,Iron Condor (High Vol),496.49199278151787,7627.765064836003,engine_exact_d+0,2002-09-02
V1b_weekly_catchup,2002-08-14,Iron Condor (High Vol),319.84868962058283,8183.306055646482,engine_exact_d+0,2002-09-18
V1b_weekly_catchup,2002-08-19,Bull Put Spread (High Vol),-614.0214172083215,3319.9481455718214,engine_exact_d+0,2002-09-23
V1b_weekly_catchup,2002-08-26,Bull Put Spread (High Vol),488.16988458942603,3411.9157094347597,bootstrap,2002-09-30
V1b_weekly_catchup,2002-09-11,Iron Condor (High Vol),632.0794029355718,9111.024339450736,engine_exact_d+0,2002-10-16
V1b_weekly_catchup,2002-10-01,Iron Condor (High Vol),2255.5346863700242,13746.154349675982,bootstrap,2002-11-05
V1b_weekly_catchup,2002-10-15,Iron Condor (High Vol),602.6085905092735,8183.94388152767,engine_exact_d+0,2002-11-19
V1b_weekly_catchup,2002-10-21,Bull Put Spread (High Vol),487.50290535872546,3634.4126962150185,engine_exact_d+0,2002-11-25
V1b_weekly_catchup,2002-10-28,Iron Condor (High Vol),464.69150487378766,7750.507473703636,engine_exact_d+0,2002-12-02
V1b_weekly_catchup,2002-11-04,Bull Put Spread (High Vol),505.09418723216515,3470.730175519783,engine_exact_d+2,2002-12-09
