variant,entry_date,exit_date,exit_reason,strategy,kind,credit,max_loss,pnl,spx_entry,vix_entry,ivp_entry
BaselineB_cluster_30d,2004-09-07,2004-09-21,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1121.300048828125,14.069999694824219,1.6
BaselineB_cluster_30d,2004-10-07,2004-10-21,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1130.6500244140625,14.5,12.7
BaselineB_cluster_30d,2004-10-07,2004-10-21,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1130.6500244140625,14.5,12.7
BaselineB_cluster_30d,2004-10-07,2004-10-21,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1130.6500244140625,14.5,12.7
BaselineB_cluster_30d,2004-10-07,2004-10-21,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1130.6500244140625,14.5,12.7
BaselineB_cluster_30d,2004-11-08,2004-11-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1164.8900146484375,13.800000190734863,4.0
BaselineB_cluster_30d,2004-11-08,2004-11-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1164.8900146484375,13.800000190734863,4.0
BaselineB_cluster_30d,2004-11-08,2004-11-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1164.8900146484375,13.800000190734863,4.0
BaselineB_cluster_30d,2004-11-08,2004-11-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1164.8900146484375,13.800000190734863,4.0
BaselineB_cluster_30d,2004-12-08,2004-12-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1182.81005859375,13.1899995803833,4.8
BaselineB_cluster_30d,2004-12-08,2004-12-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1182.81005859375,13.1899995803833,4.8
BaselineB_cluster_30d,2004-12-08,2004-12-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1182.81005859375,13.1899995803833,4.8
