entry_date,exit_date,strategy,exit_pnl,contracts,total_bp,entry_spx,entry_vix,dte_at_entry,hold_days,exit_reason,spread_width,pnl_per_contract,bp_per_contract
2008-07-21,2008-08-21,Bear Call Spread (High Vol),1838.0997225505753,3.9914,21000.0,1260.0,23.049999237060547,45,23,50pct_profit,60.0,460.5150379692778,5261.31182041389
2008-09-02,2008-10-06,Iron Condor,-11125.947845903474,5.0443,22500.0,1277.5799560546875,21.989999771118164,45,24,roll_21dte,56.0,-2205.6475320467607,4460.480145907261
2009-04-17,2009-05-18,Iron Condor (High Vol),3101.4412450508858,4.1991,21000.0,869.5999755859375,33.939998626708984,45,21,50pct_profit,62.0,738.5966623921521,5001.071658212474
2009-05-04,2009-05-22,Bull Put Spread (High Vol),663.4351336764314,5.6721,21000.0,907.239990234375,34.529998779296875,35,14,roll_21dte,45.0,116.96463984704631,3702.332469455757
2009-05-22,2009-06-01,Bull Put Spread (High Vol),3278.760061492735,5.9184,21000.0,887.0,32.630001068115234,35,5,roll_up,43.0,553.9943331800376,3548.256285482563
2009-06-01,2009-06-19,Bull Put Spread (High Vol),464.8605546994618,6.0418,21000.0,942.8699951171876,30.040000915527344,35,14,roll_21dte,42.0,76.94073863740304,3475.785361978218
2009-10-21,2009-11-10,Bull Put Spread (High Vol),1954.7039765,6.8058,21000.0,1081.4000244140625,22.219999313354492,35,14,roll_21dte,37.0,287.2114926239384,3085.6034558758706
2009-11-10,2009-11-25,Bull Put Spread (High Vol),2594.226378509737,6.6088,21000.0,1093.010009765625,22.84000015258789,35,11,50pct_profit,38.0,392.541214518481,3177.5814066093694
2009-11-27,2009-12-14,Bull Put Spread (High Vol),3004.636822659458,6.1549,21000.0,1091.489990234375,24.739999771118164,35,11,50pct_profit,41.0,488.16988458942603,3411.9157094347597
2009-12-17,2010-01-04,Bull Put Spread (High Vol),3235.3092663016705,6.795,21000.0,1096.0799560546875,22.510000228881836,35,10,50pct_profit,37.0,476.1308706845726,3090.5077262693158
2010-01-21,2010-02-19,Iron Condor (High Vol),3467.528323471822,5.3861,21000.0,1116.47998046875,22.270000457763672,45,20,50pct_profit,49.0,643.7920431243056,3898.925010675628
2010-02-16,2010-03-22,Bear Call Spread (High Vol),-1157.1090601235176,4.7007,21000.0,1094.8699951171875,22.25,45,24,roll_21dte,51.0,-246.15675540313518,4467.419745995277
2010-05-10,2010-06-14,Iron Condor (High Vol),1012.5685129675768,2.3116,21000.0,1159.72998046875,28.84000015258789,45,24,roll_21dte,100.0,438.037944699592,9084.616715694758
2010-05-11,2010-06-15,Iron Condor (High Vol),1565.04506152851,2.3846,21000.0,1155.7900390625,28.31999969482422,45,24,50pct_profit,97.0,656.3134536310115,8806.50842908664
2010-06-17,2010-07-01,Bear Call Spread (High Vol),1869.2238034159725,4.0526,21000.0,1116.0400390625,25.049999237060547,45,10,50pct_profit,59.0,461.24063648422555,5181.858559936831
2010-06-14,2010-07-08,Iron Condor (High Vol),1458.1491903980643,2.5448,21000.0,1089.6300048828125,28.579999923706055,45,17,50pct_profit,91.0,572.9916655132287,8252.121974221944
2010-06-15,2010-07-13,Iron Condor (High Vol),1445.8224348739725,2.8324,21000.0,1115.22998046875,25.8700008392334,45,19,50pct_profit,82.0,510.45842214163696,7414.2070329049575
2010-07-08,2010-08-10,Iron Condor (High Vol),1359.4354740328065,2.8963,21000.0,1070.25,25.709999084472656,45,23,50pct_profit,80.0,469.3697041165647,7250.630114283741
2010-08-09,2010-08-27,Bull Put Spread (High Vol),-5392.194185006093,6.6094,21000.0,1127.7900390625,22.13999938964844,35,14,roll_21dte,38.0,-815.8371690329067,3177.292946409659
2010-08-11,2010-09-03,Iron Condor (High Vol),3578.764344335131,4.6992,21000.0,1089.469970703125,25.38999938964844,45,17,50pct_profit,56.0,761.5688509395495,4468.845760980592
2010-08-10,2010-09-13,Iron Condor (High Vol),3669.408748324935,5.3985,21000.0,1121.06005859375,22.3700008392334,45,23,50pct_profit,49.0,679.7089466194193,3889.9694359544314
2010-08-27,2010-10-01,Bear Call Spread (High Vol),-2680.0115877037097,4.3502,21000.0,1064.5899658203125,24.450000762939453,45,24,roll_21dte,55.0,-616.0662929758884,4827.3642591145235
2010-09-07,2010-10-11,Iron Condor (High Vol),2309.468818040631,5.1781,21000.0,1091.8399658203125,23.799999237060547,45,24,roll_21dte,51.0,446.0069944652732,4055.5416079256875
2010-09-21,2010-10-21,Iron Condor (High Vol),3496.803486187903,5.2962,21000.0,1139.780029296875,22.350000381469727,45,22,50pct_profit,50.0,660.2476277685705,3965.1070578905633
2010-11-29,2010-12-10,Bull Put Spread,6222.570992164717,6.9099,22500.0,1187.760009765625,21.530000686645508,30,9,roll_21dte,43.0,900.52981840037,3256.1976294881256
2011-03-07,2011-03-18,Bull Put Spread,-3573.5473038674554,6.4342,22500.0,1310.1300048828125,20.65999984741211,30,9,roll_21dte,46.0,-555.3988536053364,3496.938236299773
2011-03-17,2011-03-31,Iron Condor (High Vol),1521.2092755002602,2.3371,21000.0,1273.719970703125,26.3700008392334,45,10,50pct_profit,99.0,650.8961000814087,8985.494844037483
2011-03-18,2011-04-04,Iron Condor (High Vol),1319.9635021701104,2.5754,21000.0,1279.2099609375,24.440000534057617,45,11,50pct_profit,90.0,512.5275693756738,8154.073153684864
2011-04-21,2011-05-24,Bull Call Diagonal,-1875.3727663483087,3.5614,22500.0,1337.3800048828125,14.6899995803833,45,22,trend_flip,0.0,-526.5830196968352,6317.740214522379
2011-06-06,2011-07-11,Iron Condor,3203.083916722974,6.0249,22500.0,1286.1700439453125,18.489999771118164,45,24,roll_21dte,47.0,531.6410092653778,3734.501817457551
2011-07-11,2011-08-10,Iron Condor,-12043.68891208844,6.0668,22500.0,1319.489990234375,18.38999938964844,45,22,stop_loss,47.0,-1985.179816721903,3708.709698687941
2011-08-15,2011-09-15,Iron Condor (High Vol),1386.7307521216662,1.9553,21000.0,1204.489990234375,31.8700008392334,45,22,50pct_profit,118.0,709.216361745853,10740.03989157674
2011-08-16,2011-09-15,Iron Condor (High Vol),1396.216315182961,1.9587,21000.0,1192.760009765625,32.849998474121094,45,21,50pct_profit,118.0,712.8280569678668,10721.396844846071
2011-09-15,2011-10-12,Iron Condor (High Vol),1297.0081188199515,1.9732,21000.0,1209.1099853515625,31.969999313354492,45,19,50pct_profit,117.0,657.3120407561075,10642.610987228867
2011-09-16,2011-10-13,Iron Condor (High Vol),1295.5855848245217,2.0854,21000.0,1216.010009765625,30.979999542236328,45,19,50pct_profit,111.0,621.2647860480108,10070.010549534862
2011-10-11,2011-10-21,Bull Put Spread (High Vol),2615.251328797835,4.5491,21000.0,1195.5400390625,32.86000061035156,35,8,roll_up,56.0,574.894227165337,4616.297729221164
2011-10-24,2011-11-11,Bull Put Spread (High Vol),1754.1696728085474,4.6143,21000.0,1254.18994140625,29.260000228881836,35,14,roll_21dte,55.0,380.15943324199714,4551.069501332813
2011-11-11,2011-12-02,Bull Put Spread (High Vol),1102.8671591956193,4.4502,21000.0,1263.8499755859375,30.040000915527344,35,14,roll_21dte,57.0,247.82417850784668,4718.889038694891
2011-11-17,2011-12-09,Iron Condor (High Vol),3577.4473477163347,2.957,21000.0,1216.1300048828125,34.5099983215332,45,15,50pct_profit,88.0,1209.8232491431636,7101.792357118702
2011-11-18,2011-12-09,Iron Condor (High Vol),1322.6565791545313,1.9732,21000.0,1215.6500244140625,32.0,45,14,50pct_profit,117.0,670.3104496019315,10642.610987228867
2011-12-08,2011-12-22,Bull Put Spread (High Vol),3576.730514769352,4.5342,21000.0,1234.3499755859375,30.59000015258789,35,10,50pct_profit,56.0,788.8338659012288,4631.467513563583
2011-12-09,2011-12-23,Iron Condor (High Vol),3374.0556221696693,4.0059,21000.0,1255.18994140625,26.3799991607666,45,10,50pct_profit,66.0,842.2715549987942,5242.267655208568
2011-12-22,2012-01-06,Bull Put Spread,3467.0983653659946,6.5962,22500.0,1254.0,21.15999984741211,30,9,roll_21dte,45.0,525.6205641681566,3411.0548497619843
