variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2004-11-29,2004-12-13,Bull Call Diagonal,6066.317355117419,94936.54883945937,3,bootstrap
V1b_weekly_catchup,2004-12-06,2004-12-20,Bull Call Diagonal,22832.151753839404,71291.64199463805,3,bootstrap
V1b_weekly_catchup,2004-12-13,2004-12-27,Bull Call Diagonal,-16363.348901352241,94716.40364007888,3,bootstrap
V1b_weekly_catchup,2004-12-20,2005-01-03,Bull Call Diagonal,-13027.184180649514,85668.58243839347,3,engine_d+0
V1b_weekly_catchup,2004-12-27,2005-01-10,Bull Call Diagonal,-6543.9931921299985,87764.10541587253,3,bootstrap
V1b_weekly_catchup,2005-01-03,2005-01-17,Bull Call Diagonal,-19529.212656640226,81749.94754743222,3,bootstrap
V1b_weekly_catchup,2005-01-10,2005-01-24,Bull Call Diagonal,-7266.571607447226,106569.02016005473,3,bootstrap
V1b_weekly_catchup,2005-01-18,2005-02-01,Bull Call Diagonal,-16946.395887278053,90216.68712745147,3,engine_d+0
V1b_weekly_catchup,2005-02-07,2005-02-21,Bull Call Diagonal,14125.328030407374,73246.50961198253,3,bootstrap
V1b_weekly_catchup,2005-02-14,2005-02-28,Bull Call Diagonal,42053.9253734782,68048.65769004067,3,bootstrap
V1b_weekly_catchup,2005-02-28,2005-03-14,Bull Call Diagonal,-11032.06042193236,81782.5062161113,3,bootstrap
V1b_weekly_catchup,2005-03-07,2005-03-21,Bull Call Diagonal,40723.49087974686,97434.03773196552,3,bootstrap
V1b_weekly_catchup,2005-03-14,2005-03-28,Bull Call Diagonal,17319.046401947984,96354.72609016663,3,bootstrap
V1b_weekly_catchup,2005-05-04,2005-05-18,Iron Condor,-696.5034490832172,49257.686591797596,3,bootstrap
V1b_weekly_catchup,2005-05-09,2005-05-23,Iron Condor,6807.286527816379,49721.93779372555,3,bootstrap
V1b_weekly_catchup,2005-05-18,2005-06-01,Bull Call Diagonal,49212.30169361469,104175.76255554467,3,bootstrap
V1b_weekly_catchup,2005-05-23,2005-06-06,Bull Call Diagonal,31349.001312582313,104180.97149264798,3,bootstrap
V1b_weekly_catchup,2005-05-31,2005-06-14,Bull Call Diagonal,26112.102734391287,96093.66785869258,3,bootstrap
V1b_weekly_catchup,2005-06-06,2005-06-20,Bull Call Diagonal,41836.673119250685,99416.911446821,3,bootstrap
V1b_weekly_catchup,2005-06-13,2005-06-27,Bull Call Diagonal,-12207.031286600408,105995.77503543612,3,bootstrap
V1b_weekly_catchup,2005-06-20,2005-07-04,Bull Call Diagonal,23513.622949919252,86914.84496522018,3,bootstrap
V1b_weekly_catchup,2005-06-27,2005-07-11,Bull Call Diagonal,34305.0914368955,77919.04340521764,3,bootstrap
V1b_weekly_catchup,2005-07-05,2005-07-19,Bull Call Diagonal,14125.328030407374,73246.50961198253,3,bootstrap
V1b_weekly_catchup,2005-07-11,2005-07-25,Bull Call Diagonal,29860.530815852086,93802.1502589811,3,bootstrap
V1b_weekly_catchup,2005-07-18,2005-08-01,Bull Call Diagonal,-7266.571607447226,106569.02016005473,3,bootstrap
V1b_weekly_catchup,2005-07-25,2005-08-08,Bull Call Diagonal,25433.377418481345,96163.89322510148,3,bootstrap
V1b_weekly_catchup,2005-08-01,2005-08-15,Bull Call Diagonal,49212.30169361469,104175.76255554467,3,bootstrap
V1b_weekly_catchup,2005-08-08,2005-08-22,Bull Call Diagonal,-2443.061377866178,102703.83994556451,3,bootstrap
V1b_weekly_catchup,2005-08-15,2005-08-29,Bull Call Diagonal,-18532.36514978054,100288.15099442427,3,bootstrap
V1b_weekly_catchup,2005-08-31,2005-09-14,Iron Condor,7031.846564603804,41492.95242195255,3,engine_d+0
V1b_weekly_catchup,2005-09-06,2005-09-20,Bull Call Diagonal,-9633.676895505536,100773.57948309567,3,bootstrap
V1b_weekly_catchup,2005-09-12,2005-09-26,Bull Call Diagonal,-9633.676895505536,100773.57948309567,3,bootstrap
V1b_weekly_catchup,2005-09-19,2005-10-03,Iron Condor,6308.415604392556,36819.16507076575,3,bootstrap
V1b_weekly_catchup,2005-10-03,2005-10-17,Iron Condor,9765.886388707857,55837.74496944909,3,bootstrap
V1b_weekly_catchup,2005-10-18,2005-11-01,Iron Condor,9957.219977955021,56263.00049870403,3,bootstrap
V1b_weekly_catchup,2005-10-31,2005-11-14,Iron Condor,3481.8340796062566,63680.482683718285,3,bootstrap
V1b_weekly_catchup,2005-11-07,2005-11-21,Bull Call Diagonal,-9633.676895505536,100773.57948309567,3,bootstrap
V1b_weekly_catchup,2005-11-14,2005-11-28,Bull Call Diagonal,40898.88067350922,103122.46380959282,3,bootstrap
V1b_weekly_catchup,2005-11-21,2005-12-05,Bull Call Diagonal,-4807.858393060698,92885.01765902407,3,bootstrap
V1b_weekly_catchup,2005-11-28,2005-12-12,Bull Call Diagonal,8778.992224731519,91521.74885828247,3,bootstrap
V1b_weekly_catchup,2005-12-05,2005-12-19,Bull Call Diagonal,6066.317355117419,94936.54883945937,3,bootstrap
V1b_weekly_catchup,2005-12-12,2005-12-26,Bull Call Diagonal,-18357.78686067425,105873.89281779103,3,bootstrap
