candidate,trigger_date,lookback_days,booster_active_in_window,vix_20_22_booster_days,incremental_pnl_usd,incremental_pct_nlv,has_second_leg_next_20d,severity,failed_benign,window_type
B2_moderate_85,2001-09-28,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-01,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-02,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-03,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-04,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-05,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-08,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-09,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-10,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-11,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-12,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-15,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-16,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-17,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-18,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-19,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-22,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-23,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-25,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-26,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-29,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-30,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-10-31,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-11-01,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-11-02,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-11-05,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2001-11-06,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-07,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-08,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-09,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-12,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-13,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-14,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-15,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-16,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-19,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-20,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-21,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-23,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-26,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-27,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-28,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-29,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-11-30,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-03,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-04,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-05,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-06,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-07,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-10,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-11,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-12,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-13,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-14,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-17,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-18,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-19,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-20,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-21,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-24,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-26,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-27,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-28,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2001-12-31,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-02,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-03,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-04,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-09,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-10,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-11,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-14,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-15,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-16,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-17,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-18,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-22,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-23,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-24,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-29,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-30,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-01-31,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-01,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-04,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-05,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-06,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-07,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-08,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-11,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-12,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-13,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-14,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-15,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-19,10,0,0,0.0,0.0,False,mild,False,10d_primary
