strategy,underlying,entry_date,exit_date,entry_spx,exit_spx,entry_vix,entry_credit,exit_pnl,exit_reason,dte_at_entry,dte_at_exit,spread_width,option_premium,bp_per_contract,contracts,total_bp,bp_pct_account
Iron Condor,SPX,2024-12-30,2025-01-30,5906.93994140625,6071.169921875,17.399999618530273,-26.72945218322957,2761.760246130917,50pct_profit,45,25,100,2672.945218322957,7327.054781677043,2.0472,15000.0,10.0
Bull Put Spread,SPX,2025-01-21,2025-02-03,6049.240234375,5994.56982421875,15.0600004196167,-36.53365443744144,-1446.8871887652726,roll_21dte,30,21,155,3653.365443744144,11846.634556255856,1.2662,15000.0,10.0
Bull Put Spread,SPX,2025-02-06,2025-02-20,6083.56982421875,6117.52001953125,15.5,-37.908441640884234,1224.1041409275074,roll_21dte,30,21,161,3790.8441640884234,12309.155835911577,1.2186,15000.0,10.0
Bull Call Diagonal,SPX,2025-02-14,2025-02-25,6114.6298828125,5955.25,14.770000457763672,290.62900572428407,-1824.2947416728878,trend_flip,45,39,0.0,29062.900572428407,29062.900572428407,0.5161,15000.0,10.0
Bull Put Spread,SPX,2025-02-20,2025-03-05,6117.52001953125,5842.6298828125,15.65999984741211,-38.49281686059999,-6253.231872644994,roll_21dte,30,21,163,3849.2816860599987,12450.71831394,1.2047,15000.0,10.0
Iron Condor,SPX,2025-02-21,2025-03-27,6013.1298828125,5693.31005859375,18.209999084472656,-26.929854741878557,-1507.3236380562698,roll_21dte,45,21,100,2692.9854741878557,7307.014525812145,2.0528,15000.0,10.0
Iron Condor (High Vol),SPX,2025-04-09,2025-04-24,5456.89990234375,5484.77001953125,33.619998931884766,-29.14103094519021,2410.6438405404583,50pct_profit,45,35,100,2914.103094519021,7085.896905480979,1.4818,10500.0,7.0
Iron Condor (High Vol),SPX,2025-04-14,2025-04-29,5405.97021484375,5560.830078125,30.889999389648438,-28.698188657101014,2361.0817902629956,50pct_profit,45,35,100,2869.8188657101014,7130.181134289898,1.4726,10500.0,7.0
Iron Condor,SPX,2025-03-27,2025-05-01,5693.31005859375,5604.14013671875,18.690000534057617,-26.87011761903318,453.4808498766612,roll_21dte,45,21,100,2687.011761903318,7312.988238096682,2.0511,15000.0,10.0
Iron Condor (High Vol),SPX,2025-04-24,2025-05-29,5484.77001953125,5912.169921875,26.469999313354492,-28.187377510134752,1855.1399523191965,roll_21dte,45,21,100,2818.737751013475,7181.262248986524,1.4621,10500.0,7.0
Bull Put Spread,SPX,2025-05-16,2025-05-30,5958.3798828125,5911.68994140625,17.239999771118164,-41.330231267703994,-581.0571219157233,roll_21dte,30,21,175,4133.023126770399,13366.9768732296,1.1222,15000.0,10.0
Bull Put Spread,SPX,2025-06-03,2025-06-16,5970.3701171875,6033.10986328125,17.690000534057617,-42.97823130875622,1310.594371304624,roll_21dte,30,21,181,4297.823130875622,13802.176869124378,1.0868,15000.0,10.0
Bull Put Spread,SPX,2025-07-07,2025-07-18,6229.97998046875,6296.7900390625,17.790000915527344,-44.429723795616496,2087.1493208128586,roll_21dte,30,21,187,4442.97237956165,14257.02762043835,1.0521,15000.0,10.0
Bull Call Diagonal,SPX,2025-07-25,2025-08-28,6388.64013671875,6501.85986328125,14.930000305175781,307.0403655325806,2704.1257582017784,roll_21dte,45,21,0.0,30704.03655325806,30704.03655325806,0.4885,15000.0,10.0
Bull Put Spread,SPX,2025-09-02,2025-09-15,6415.5400390625,6615.27978515625,17.170000076293945,-44.36588519031886,3522.253233321365,roll_21dte,30,21,187,4436.588519031886,14263.411480968114,1.0516,15000.0,10.0
Bull Call Diagonal,SPX,2025-08-28,2025-10-02,6501.85986328125,6715.35009765625,14.430000305175781,302.0857967656855,5061.189327751963,roll_21dte,45,21,0.0,30208.579676568548,30208.579676568548,0.4965,15000.0,10.0
Bull Put Spread,SPX,2025-09-25,2025-10-08,6604.72021484375,6753.72021484375,16.739999771118164,-44.31968307518616,2809.432934358869,roll_21dte,30,21,187,4431.968307518617,14268.031692481383,1.0513,15000.0,10.0
Bull Put Spread,SPX,2025-10-23,2025-11-05,6738.43994140625,6796.2900390625,17.299999237060547,-46.686958315412085,1330.5044557373672,roll_21dte,30,21,197,4668.6958315412085,15031.304168458792,0.9979,15000.0,10.0
Iron Condor,SPX,2025-11-13,2025-11-28,6737.490234375,6849.08984375,20.0,-27.894538389650393,2924.9990574306516,50pct_profit,45,35,100,2789.4538389650393,7210.546161034961,2.0803,15000.0,10.0
Iron Condor (High Vol),SPX,2025-11-17,2025-12-02,6672.41015625,6829.3701171875,22.3799991607666,-28.38801194794621,2515.7579073623265,50pct_profit,45,35,100,2838.801194794621,7161.198805205378,1.4662,10500.0,7.0
Bull Put Spread,SPX,2025-11-26,2025-12-10,6812.60986328125,6886.68017578125,17.190000534057617,-46.96405487165089,2148.9345801010004,roll_21dte,30,21,198,4696.405487165089,15103.594512834912,0.9931,15000.0,10.0
Bull Call Diagonal,SPX,2025-12-11,2025-12-17,6901.0,6721.43017578125,14.850000381469727,331.26421156325523,-2442.308089554629,trend_flip,45,41,0.0,33126.42115632552,33126.42115632552,0.4528,15000.0,10.0
Bull Call Diagonal,SPX,2025-12-19,2026-01-20,6834.5,6796.85986328125,14.90999984741211,328.6040124394947,775.6055581536586,trend_flip,45,26,0.0,32860.40124394947,32860.40124394947,0.4565,15000.0,10.0
Iron Condor,SPX,2025-12-18,2026-01-22,6774.759765625,6913.35009765625,16.8700008392334,-27.19806825867488,3303.806186809848,50pct_profit,45,23,100,2719.806825867488,7280.193174132512,2.0604,15000.0,10.0
Bull Put Spread,SPX,2026-01-14,2026-01-28,6926.60009765625,6978.02978515625,16.75,-46.73190468116127,1549.3650548489309,roll_21dte,30,21,197,4673.190468116127,15026.809531883873,0.9982,15000.0,10.0
Bull Put Spread,SPX,2026-01-29,2026-02-11,6969.009765625,6941.47021484375,16.8799991607666,-47.125683975616084,-12.023219509092323,roll_21dte,30,21,199,4712.568397561608,15187.431602438392,0.9877,15000.0,10.0
Iron Condor,SPX,2026-02-12,2026-03-19,6832.759765625,6606.490234375,20.81999969482422,-28.153856099929044,576.274189712509,roll_21dte,45,21,100,2815.3856099929044,7184.614390007096,2.0878,15000.0,10.0
Iron Condor (High Vol),SPX,2026-03-09,2026-04-08,6795.990234375,6782.81005859375,25.5,-28.869715261483975,3018.302989254371,50pct_profit,45,24,100,2886.9715261483975,7113.028473851602,1.4762,10500.0,7.0
Iron Condor (High Vol),SPX,2026-03-10,2026-04-08,6781.47998046875,6782.81005859375,24.93000030517578,-28.767092282184194,2839.38729134944,50pct_profit,45,25,100,2876.7092282184194,7123.290771781581,1.474,10500.0,7.0
Iron Condor,SPX,2026-04-08,2026-04-24,6782.81005859375,7165.080078125,21.040000915527344,-28.149470404780345,583.9675891498715,end_of_backtest,45,33,100,2814.9470404780345,7185.052959521965,2.0877,15000.0,10.0
Bull Put Spread,SPX,2026-04-17,2026-04-24,7126.06005859375,7165.080078125,17.479999542236328,-50.107544892465285,548.7288594033652,end_of_backtest,30,25,211,5010.7544892465285,16089.245510753472,0.9323,15000.0,10.0
