date,year,spx,vix,cal_dte,K_target_bs,K_market,actual_price,bs_price,bias_pct,market_iv,iv_skew_pp
2022-06-24,2022,3911.74,27.23,68,3598.5,3600.0,72.24,54.83,31.76,30.77,3.54
2022-06-27,2022,3900.11,26.95,65,3595.4,3600.0,65.0,53.3,21.95,29.4,2.45
2022-06-28,2022,3821.55,28.36,64,3509.9,3510.0,50.6,53.64,-5.67,27.68,-0.68
2022-06-30,2022,3785.38,28.71,78,3449.0,3450.0,72.8,60.24,20.85,31.21,2.5
2022-07-01,2022,3825.33,26.7,77,3509.7,3510.0,86.1,55.73,54.51,32.54,5.84
2022-07-05,2022,3831.39,27.54,73,3513.4,3515.0,72.5,56.66,27.96,30.72,3.18
2022-07-06,2022,3845.08,26.73,72,3535.3,3530.0,75.62,52.76,43.33,31.34,4.61
2022-07-07,2022,3902.62,26.08,71,3597.7,3600.0,72.7,53.6,35.64,29.88,3.8
2022-07-08,2022,3899.38,24.64,70,3613.8,3615.0,70.6,50.03,41.13,28.74,4.1
2022-07-11,2022,3854.43,26.17,67,3558.9,3560.0,69.4,51.24,35.45,29.94,3.77
2022-07-12,2022,3818.8,27.29,66,3516.7,3515.0,65.9,52.26,26.11,30.21,2.92
2022-07-13,2022,3801.78,26.82,65,3506.6,3505.0,63.05,50.39,25.13,29.57,2.75
2022-07-14,2022,3790.38,26.4,64,3501.7,3500.0,63.0,48.82,29.05,29.5,3.1
2022-07-15,2022,3863.16,24.23,77,3572.7,3575.0,76.08,51.03,49.08,29.01,4.78
2022-07-18,2022,3830.85,25.3,74,3535.3,3530.0,58.77,50.25,16.95,27.05,1.75
2022-07-19,2022,3936.69,24.5,73,3644.5,3645.0,73.53,50.97,44.26,28.86,4.36
2022-07-20,2022,3959.9,23.88,72,3673.7,3675.0,77.0,49.44,55.75,29.17,5.29
2022-07-21,2022,3998.95,23.11,71,3721.7,3720.0,72.85,47.4,53.68,28.0,4.89
2022-07-22,2022,3961.63,23.03,70,3690.8,3685.0,63.11,45.82,37.73,26.48,3.45
2022-07-25,2022,3966.84,23.36,67,3695.7,3700.0,66.16,47.65,38.86,27.05,3.69
2022-07-26,2022,3921.05,24.69,66,3637.7,3650.0,69.65,50.97,36.64,28.45,3.76
2022-07-27,2022,4023.61,23.24,65,3752.5,3750.0,62.88,45.59,37.91,26.75,3.51
2022-07-28,2022,4072.43,22.33,64,3809.9,3810.0,61.82,44.32,39.47,25.85,3.52
2022-08-04,2022,4151.94,21.44,78,3876.2,3875.0,75.37,48.07,56.79,26.24,4.8
2022-08-05,2022,4145.19,21.15,77,3874.0,3875.0,73.5,47.24,55.59,25.8,4.65
2022-08-08,2022,4140.06,21.29,74,3873.2,3875.0,73.1,47.11,55.17,25.97,4.68
2022-08-09,2022,4122.47,21.77,73,3850.7,3850.0,70.6,46.81,50.82,26.15,4.38
2022-08-10,2022,4210.24,19.74,72,3961.5,3960.0,67.2,42.81,56.99,24.14,4.4
2022-08-11,2022,4207.27,20.2,71,3952.5,3955.0,67.9,44.06,54.1,24.52,4.32
2022-08-12,2022,4280.15,19.53,70,4031.4,4030.0,65.1,42.12,54.57,23.69,4.16
2022-08-15,2022,4297.14,19.95,67,4047.5,4045.0,62.5,42.33,47.65,23.68,3.73
