signal,stratum,n_cond,n_strat,mean_diff_pp,p,is_diff_pp,oos_diff_pp,sign_consistent,p10_diff_pp,bh_pass,survive
F3_rsi2_os,A_all,664,6531,0.86862,0.00450,0.65053,1.21573,True,-0.86205,False,False
F3_rsi2_os,B_norm_bull,71,1497,1.57941,0.00250,0.86154,1.78560,True,4.19284,False,False
F3_rsi14_os,A_all,126,6531,3.11144,0.00650,3.60981,2.68337,True,1.38113,False,False
F3_rsi14_os,B_norm_bull,0,0,,,,,False,,False,False
F3_ibs_low,A_all,1367,6531,0.28949,0.08646,0.18141,0.56332,True,-0.51156,False,False
F3_ibs_low,B_norm_bull,217,1497,0.44280,0.12144,0.25941,0.52305,True,0.25377,False,False
F3_pctb_low,A_all,331,6531,1.34988,0.00750,0.64235,2.03327,True,0.01049,False,False
F3_pctb_low,B_norm_bull,0,0,,,,,False,,False,False
F3_down3,A_all,555,6531,0.76031,0.00850,0.72734,0.82099,True,-0.23388,False,False
F3_down3,B_norm_bull,73,1497,1.19607,0.02649,0.64333,1.53931,True,1.91357,False,False
F3_z5_low,A_all,905,6531,0.59134,0.14693,0.45677,0.76688,True,-1.50688,False,False
F3_z5_low,B_norm_bull,52,1497,-1.05040,0.09545,0.76276,-2.13837,False,-2.63560,False,False
F4_engulf,A_all,177,6531,-0.18649,0.68466,0.34536,-0.74265,False,0.34573,False,False
F4_engulf,B_norm_bull,44,1497,-1.18153,0.14593,-0.31561,-1.90482,True,-4.42313,False,False
F4_hammer,A_all,110,6531,-0.10139,0.85857,-0.19534,0.71401,False,-1.64831,False,False
F4_hammer,B_norm_bull,0,0,,,,,False,,False,False
F4_rev3,A_all,745,6531,0.04438,0.73513,0.05845,0.03907,True,-0.46221,False,False
F4_rev3,B_norm_bull,153,1497,0.19625,0.52474,0.51818,-0.13234,False,-0.01338,False,False
F5_vrp_rich,A_all,3313,6633,0.31726,0.18741,0.49882,0.13217,True,0.92255,False,False
F5_vrp_rich,B_norm_bull,900,1509,0.51787,0.17391,0.31844,0.78932,True,1.74726,False,False
F5_atrp_low,A_all,3339,6531,-0.28762,0.35732,-0.07523,-0.39633,True,0.41247,False,False
F5_atrp_low,B_norm_bull,1049,1497,0.27689,0.64068,0.23300,0.55503,True,0.84358,False,False
F5_vix5d_dn,A_all,3492,6531,-0.16914,0.12194,-0.24402,-0.10474,True,-0.12320,False,False
F5_vix5d_dn,B_norm_bull,888,1497,-0.35645,0.08796,-0.41312,-0.24426,True,-0.65291,False,False
F5_skew_high,A_all,3329,6278,-0.02407,0.94603,0.13355,-0.20772,False,0.68702,False,False
F5_skew_high,B_norm_bull,924,1478,-0.01798,0.96952,-0.03937,-0.01219,True,0.27931,False,False
F5_vixts_cont,A_all,4436,4991,-0.14814,0.62619,-0.06310,-0.25990,True,0.28496,False,False
F5_vixts_cont,B_norm_bull,1188,1196,-0.00556,0.98351,-0.03802,0.02513,False,0.01409,False,False
F5_vvix_low,A_all,2236,4874,0.06208,0.90905,0.37162,-0.24896,False,1.04700,False,False
F5_vvix_low,B_norm_bull,628,1192,0.56323,0.41229,0.85591,0.26979,True,0.96257,False,False
F6_xlu_weak,A_all,3432,6633,-0.03397,0.90255,0.11287,-0.26613,False,0.63898,False,False
F6_xlu_weak,B_norm_bull,968,1509,0.35436,0.35032,0.51969,0.19088,True,0.89374,False,False
F6_rsp_strong,A_all,2891,5736,0.44091,0.16892,0.30204,0.90361,True,1.44339,False,False
F6_rsp_strong,B_norm_bull,737,1339,0.58356,0.33833,0.67340,0.62275,True,1.56685,False,False
F6_tlt_up,A_all,3212,5968,0.14898,0.61569,0.29146,0.01889,True,0.29920,False,False
F6_tlt_up,B_norm_bull,698,1406,0.13433,0.73913,0.77229,-0.40359,False,0.58675,False,False
F6_hyg_strong,A_all,2978,4744,0.13799,0.74913,0.89856,-0.57635,False,0.99134,False,False
F6_hyg_strong,B_norm_bull,809,1190,-0.06659,0.91604,0.23453,-0.36832,False,-0.03866,False,False
F6_dxy_dn,A_all,3274,6633,0.33427,0.31584,0.10835,0.76570,True,0.91163,False,False
F6_dxy_dn,B_norm_bull,817,1509,1.07756,0.03098,0.32874,1.98166,True,1.67890,False,False
F6_gld_up,A_all,3359,5344,0.18880,0.59720,0.24581,0.09151,True,0.73087,False,False
F6_gld_up,B_norm_bull,815,1196,0.03408,0.95352,-0.09461,0.12354,False,0.30597,False,False
F7_tom,A_all,2182,6531,0.00949,0.95602,-0.05902,0.07688,False,-0.27115,False,False
F7_tom,B_norm_bull,506,1497,-0.22648,0.46877,-0.13168,-0.30053,True,-0.22494,False,False
F7_opex_wk,A_all,1506,6531,-0.02867,0.85857,-0.09628,0.05255,False,0.18818,False,False
F7_opex_wk,B_norm_bull,341,1497,0.27057,0.44028,0.11045,0.43455,True,1.53997,False,False
F7_halloween,A_all,3209,6531,0.14127,0.48176,0.63222,-0.34918,False,-0.07854,False,False
F7_halloween,B_norm_bull,759,1497,-0.34974,0.19640,0.82421,-1.54162,False,-0.40136,False,False
F7_monday,A_all,1226,6531,0.08592,0.15492,0.12230,0.04973,True,0.37841,False,False
F7_monday,B_norm_bull,286,1497,0.01337,0.94903,0.22246,-0.19243,False,0.60472,False,False
F10_spyvol_hi,A_all,1109,6633,0.12372,0.55222,0.03751,0.21962,True,-0.52810,False,False
F10_spyvol_hi,B_norm_bull,201,1509,0.89649,0.02349,0.67952,1.03142,True,2.00472,False,False
