signal,stratum,endpoint,n_on,mean_diff_bp,p,sign_consistent
F6_rsp_strong,A_all,fwd21,2891,23.04862,0.30435,True
F6_rsp_strong,B_norm_bull,fwd5,737,7.20564,0.49175,True
F6_rsp_strong,B_norm_bull,fwd21,737,34.86844,0.38531,True
F6_tlt_up,A_all,fwd5,3227,7.28718,0.24288,True
F6_tlt_up,A_all,fwd21,3215,15.19119,0.48276,True
F6_tlt_up,B_norm_bull,fwd5,698,9.62255,0.28636,True
F6_tlt_up,B_norm_bull,fwd21,698,2.10340,0.95552,False
F6_hyg_strong,A_all,fwd5,3004,-3.71342,0.64368,False
F6_hyg_strong,A_all,fwd21,2988,12.21628,0.69165,False
F6_hyg_strong,B_norm_bull,fwd5,815,-4.34136,0.64268,False
F6_hyg_strong,B_norm_bull,fwd21,815,6.04849,0.88856,False
F6_dxy_dn,A_all,fwd5,3277,-0.55536,0.91804,False
F6_dxy_dn,A_all,fwd21,3274,14.25851,0.53973,True
F6_dxy_dn,B_norm_bull,fwd5,817,7.59784,0.38081,True
F6_dxy_dn,B_norm_bull,fwd21,817,71.66501,0.04048,True
F6_gld_up,A_all,fwd5,3359,3.06785,0.62319,True
F6_gld_up,A_all,fwd21,3359,15.70942,0.51874,True
F6_gld_up,B_norm_bull,fwd5,815,-4.56154,0.69365,True
F6_gld_up,B_norm_bull,fwd21,815,-6.49763,0.88856,True
F7_tom,A_all,fwd5,2190,2.11505,0.83908,False
F7_tom,A_all,fwd21,2188,-2.44179,0.35332,True
F7_tom,B_norm_bull,fwd5,508,18.83472,0.13993,True
F7_tom,B_norm_bull,fwd21,508,-1.09265,0.94503,True
F7_opex_wk,A_all,fwd5,1506,-13.03434,0.19090,True
F7_opex_wk,A_all,fwd21,1506,2.86625,0.67766,False
F7_opex_wk,B_norm_bull,fwd5,341,-38.12386,0.00400,True
F7_opex_wk,B_norm_bull,fwd21,341,11.27391,0.54423,True
F7_halloween,A_all,fwd5,3209,3.55637,0.35882,False
F7_halloween,A_all,fwd21,3209,12.52037,0.40330,False
F7_halloween,B_norm_bull,fwd5,759,3.64994,0.75462,False
F7_halloween,B_norm_bull,fwd21,759,-10.35448,0.38731,False
F7_monday,A_all,fwd5,1230,-0.23713,0.91704,True
F7_monday,A_all,fwd21,1227,10.02996,0.04598,True
F7_monday,B_norm_bull,fwd5,286,0.96843,0.87656,True
F7_monday,B_norm_bull,fwd21,286,4.84549,0.72064,True
F10_spyvol_hi,A_all,fwd5,1115,0.33699,0.97601,False
F10_spyvol_hi,A_all,fwd21,1110,1.77230,0.90705,False
F10_spyvol_hi,B_norm_bull,fwd5,201,4.53916,0.71264,False
F10_spyvol_hi,B_norm_bull,fwd21,201,35.80716,0.23388,True
