signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
F1_sma5_10,B_norm_bull,fwd21,1129,34.56356,1.45607,0.45727,True,False,False
F1_sma10_20,A_all,fwd21,4070,-31.62383,-2.41725,0.42829,False,False,False
F1_sma10_20,B_norm_bull,fwd21,1286,53.94709,1.68791,0.50325,False,False,False
F1_sma20_50,A_all,fwd21,4242,-48.40381,-3.58956,0.33883,True,False,False
F1_sma20_50,B_norm_bull,fwd21,1318,-26.50948,-0.83887,0.80260,False,False,False
F1_sma200,A_all,fwd21,4684,46.53387,2.82293,0.58521,False,False,False
F1_sma200,B_norm_bull,fwd21,1372,239.13193,5.31044,0.12194,True,False,False
F1_sma50_200,A_all,fwd21,4666,63.17171,4.00720,0.41179,False,False,False
F1_sma50_200,B_norm_bull,fwd21,1198,53.73064,1.81521,0.63168,True,False,False
F1_tsmom_12_1,A_all,fwd21,4887,57.61348,3.44527,0.53073,False,False,False
F1_tsmom_12_1,B_norm_bull,fwd21,1183,54.45270,2.07648,0.64368,True,False,False
F1_tsmom_3m,A_all,fwd21,4377,-7.99696,-0.54867,0.89605,False,False,False
F1_tsmom_3m,B_norm_bull,fwd21,1342,27.26595,0.70152,0.81859,True,False,False
F1_tsmom_6m,A_all,fwd21,4587,20.68884,1.32481,0.81409,False,False,False
F1_tsmom_6m,B_norm_bull,fwd21,1271,83.76769,2.55722,0.46827,True,False,False
F1_donchian55,A_all,fwd21,609,-56.99556,-3.61153,0.06447,True,False,False
F1_donchian55,B_norm_bull,fwd21,224,-26.23319,-0.89578,0.59070,True,False,False
F1_adx25,A_all,fwd21,2216,83.78744,6.65581,0.07396,True,False,False
F1_adx25,B_norm_bull,fwd21,415,64.93661,3.02144,0.32134,False,False,False
F1_macd_pos,A_all,fwd21,3315,-5.39660,-0.46290,0.84408,False,False,False
F1_macd_pos,B_norm_bull,fwd21,892,-4.57322,-0.21636,0.90355,False,False,False
F2_d63low_near,A_all,fwd21,3284,21.16939,1.82170,0.67016,False,False,False
F2_d63low_near,B_norm_bull,fwd21,341,-69.01945,-2.70858,0.40030,True,False,False
F2_d126low_near,A_all,fwd21,3305,9.67211,0.83358,0.84108,False,False,False
F2_d126low_near,B_norm_bull,fwd21,329,-17.43146,-0.61074,0.84108,True,False,False
F2_swing_near,A_all,fwd21,3286,24.05065,2.06961,0.47776,True,False,False
F2_swing_near,B_norm_bull,fwd21,429,-10.86336,-0.48613,0.84358,False,False,False
F2_near52wh,A_all,fwd21,2854,-52.18092,-4.72535,0.22089,True,False,False
F2_near52wh,B_norm_bull,fwd21,965,-3.95679,-0.17661,0.96052,False,False,False
F2_pmhigh_brk,A_all,fwd21,2242,-19.97306,-1.84522,0.53723,False,False,False
