entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err
2012-11-02,2012-11-28,Iron Condor,IC,nonHV,pre2020,0.0014,19.8688,12273.3,8139.0,4134.3,0.0
2012-12-11,2012-12-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,3.0864,-185.84,-2849.58,2663.74,0.0
2012-12-19,2013-01-03,Bull Put Spread,BPS,nonHV,pre2020,0.1486,23.3806,14847.17,10541.91,4305.26,0.0
2012-12-04,2013-01-08,Iron Condor,IC,nonHV,pre2020,-0.0029,20.133,12443.02,2357.7,10085.32,0.0
2013-01-08,2013-02-12,Bull Call Diagonal,BCD,nonHV,pre2020,0.3971,3.44,9195.11,8376.48,818.63,0.0
2013-02-12,2013-03-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3991,3.5117,5252.74,3558.17,1694.58,0.0
2013-03-19,2013-04-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.3976,3.0724,4421.22,4080.29,340.94,0.0
2013-04-23,2013-05-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.3983,3.1923,10324.52,9868.63,455.89,0.0
2013-05-28,2013-06-20,Bull Call Diagonal,BCD,nonHV,pre2020,0.3995,2.8335,-5226.89,-8998.73,3771.84,0.0
2013-06-12,2013-07-05,Iron Condor,IC,nonHV,pre2020,0.001,16.7111,14223.24,6270.92,7952.32,0.0
2013-07-05,2013-08-08,Iron Condor,IC,nonHV,pre2020,-0.001,20.6996,8252.4,-5012.21,13264.61,0.0
2013-08-08,2013-08-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3993,3.1429,-5298.83,-6607.17,1308.34,0.0
2013-08-28,2013-10-02,Iron Condor,IC,nonHV,pre2020,0.0018,18.7366,7835.13,-1548.07,9383.2,0.0
2013-10-16,2013-11-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3989,2.6957,8091.77,7868.83,222.93,0.0
2013-11-19,2013-12-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.3976,2.8428,5978.19,5562.99,415.2,0.0
