entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err,in_ep,pos,tercile
2012-06-29,2012-08-03,Bull Call Diagonal,BCD,nonHV,pre2020,0.4004,2.9656,4138.96,4454.74,-315.77,0.0,True,1.0,top
2012-08-03,2012-09-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.4001,3.1535,6936.26,6300.05,636.21,0.0,True,1.0,top
2012-09-07,2012-10-11,Bull Call Diagonal,BCD,nonHV,pre2020,0.3991,3.2971,-238.15,-1324.57,1086.41,0.0,True,1.0,top
2012-10-15,2012-10-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,3.1115,-1934.09,-3280.42,1346.33,0.0,True,0.3517225984076196,mid
2012-12-11,2012-12-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,3.0864,-185.84,-2849.58,2663.74,0.0,True,1.0,top
2012-12-19,2013-01-03,Bull Put Spread,BPS,nonHV,pre2020,0.1486,23.3806,14847.17,10541.91,4305.26,0.0,True,0.7237045000767931,top
2013-01-08,2013-02-12,Bull Call Diagonal,BCD,nonHV,pre2020,0.3971,3.44,9195.11,8376.48,818.63,0.0,True,0.8544666088464874,top
2013-02-12,2013-03-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3991,3.5117,5252.74,3558.17,1694.58,0.0,True,1.0,top
2013-03-19,2013-04-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.3976,3.0724,4421.22,4080.29,340.94,0.0,True,0.6933051058405264,top
2013-04-23,2013-05-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.3983,3.1923,10324.52,9868.63,455.89,0.0,True,0.7181228155408497,top
2013-05-28,2013-06-20,Bull Call Diagonal,BCD,nonHV,pre2020,0.3995,2.8335,-5226.89,-8998.73,3771.84,0.0,True,0.7893527741279193,top
2013-08-08,2013-08-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3993,3.1429,-5298.83,-6607.17,1308.34,0.0,True,0.4991775078487818,mid
2013-10-16,2013-11-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3989,2.6957,8091.77,7868.83,222.93,0.0,True,1.0,top
2013-11-19,2013-12-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.3976,2.8428,5978.19,5562.99,415.2,0.0,True,0.7979609509183375,top
2013-12-24,2014-01-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.9566,-2153.34,-5721.36,3568.02,0.0,True,1.0,top
2014-03-18,2014-04-11,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.5087,-5121.8,-6781.53,1659.74,0.0,True,0.8431310295104956,top
2014-05-02,2014-06-06,Bull Call Diagonal,BCD,nonHV,pre2020,0.3974,2.8038,8509.01,8552.86,-43.85,0.0,True,0.9588348063077402,top
2014-06-10,2014-07-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.4005,3.115,3592.32,2938.18,654.14,0.0,True,0.9938809270737853,top
2014-07-15,2014-07-31,Bull Call Diagonal,BCD,nonHV,pre2020,0.3977,2.869,-2101.46,-5462.03,3360.57,0.0,True,0.6570804990223348,mid
2014-09-17,2014-10-01,Bull Call Diagonal,BCD,nonHV,pre2020,0.3988,2.6779,-3757.98,-5929.03,2171.06,0.0,True,0.7396087323404101,top
2014-11-11,2014-12-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.3987,2.578,-1138.75,-4752.93,3614.18,0.0,True,1.0,top
2014-12-24,2015-01-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.3983,2.2816,-2825.7,-5069.99,2244.29,0.0,True,0.997349545429193,top
2015-02-27,2015-03-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.4023,2.4012,-4158.45,-5777.82,1619.38,0.0,True,0.8402679367379483,top
2015-03-18,2015-04-22,Bull Call Diagonal,BCD,nonHV,pre2020,0.4011,2.3121,453.84,1098.81,-644.96,0.0,True,0.7681151623703347,top
2015-04-22,2015-05-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,2.5315,2110.29,1291.84,818.45,0.0,True,1.0,top
2015-07-16,2015-07-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.4008,2.6196,-3985.41,-4873.83,888.42,0.0,True,1.0,top
2015-10-16,2015-10-29,Bull Put Spread,BPS,nonHV,pre2020,0.1496,18.8686,16430.27,14968.95,1461.32,0.0,True,1.0,top
2015-10-30,2015-11-12,Bull Put Spread,BPS,nonHV,pre2020,0.1488,18.5039,-11655.71,-9031.61,-2624.1,0.0,True,0.8856520866620773,top
2015-11-25,2015-12-09,Bull Put Spread,BPS,nonHV,pre2020,0.1496,18.1588,-14849.11,-10939.3,-3909.82,0.0,True,0.8561603601944491,top
2016-03-11,2016-03-24,Bull Put Spread,BPS,nonHV,pre2020,0.151,17.2546,9586.65,4293.81,5292.83,0.0,True,1.0,top
2016-03-28,2016-04-08,Bull Put Spread,BPS,nonHV,pre2020,0.15,18.4912,5982.64,5713.83,268.8,0.0,True,0.7988660333102715,top
2016-03-24,2016-04-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.3988,2.2744,4607.1,3592.14,1014.96,0.0,True,0.7835203590894517,top
2016-05-02,2016-05-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.2333,-3302.44,-3960.49,658.05,0.0,True,0.4845131282820705,mid
2016-08-10,2016-09-09,Bull Call Diagonal,BCD,nonHV,pre2020,0.3998,2.5649,-2043.05,-5856.92,3813.87,0.0,True,0.7143923432318289,top
2016-11-09,2016-12-14,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,2.1893,8725.31,8967.1,-241.79,0.0,True,1.0,top
2016-12-14,2017-01-20,Bull Call Diagonal,BCD,nonHV,pre2020,0.3986,2.2831,1405.77,1754.94,-349.17,0.0,True,0.7713297870730031,top
2017-01-20,2017-02-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.4018,2.5523,9946.86,9446.99,499.87,0.0,True,0.8513778141838707,top
2017-02-24,2017-03-30,Bull Call Diagonal,BCD,nonHV,pre2020,0.4012,2.4673,-117.39,-59.21,-58.18,0.0,True,1.0,top
2017-03-30,2017-04-12,Bull Call Diagonal,BCD,nonHV,pre2020,0.4013,2.4489,-202.66,-2159.17,1956.51,0.0,True,0.6061373496131311,mid
2017-04-24,2017-05-17,Bull Call Diagonal,BCD,nonHV,pre2020,0.3996,2.6034,731.65,-2071.16,2802.81,0.0,True,1.0,top
2017-05-19,2017-06-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.4014,2.3366,5987.83,5985.59,2.24,0.0,True,0.5453727062983806,mid
