signal,stratum,vix,pricing,cs_pnl,cs_n,cs_debit,bps_pnl,bps_n,bps_credit,bps_maxloss,hold_td
2024-04-17,episode,18.0,FLAT,100263.0,14,5338.0,21796.0,7,3114.0,10086.0,22
2024-04-17,episode,18.0,HAIRCUT,100263.0,14,5338.0,14689.0,7,2098.0,11102.0,22
2024-07-24,episode,18.459999084472656,FLAT,100828.0,13,5744.0,23898.0,7,3414.0,11086.0,22
2024-07-24,episode,18.459999084472656,HAIRCUT,100828.0,13,5744.0,13933.0,6,2322.0,12178.0,22
2024-09-06,episode,19.450000762939453,FLAT,104050.0,13,5996.0,21783.0,6,3631.0,11769.0,22
2024-09-06,episode,19.450000762939453,HAIRCUT,104050.0,13,5996.0,15149.0,6,2525.0,12875.0,22
2025-01-10,episode,19.190000534057617,FLAT,99519.0,12,6207.0,22528.0,6,3755.0,12145.0,21
2025-01-10,episode,19.190000534057617,HAIRCUT,99519.0,12,6207.0,13000.0,5,2600.0,13300.0,21
2025-02-27,sudden,19.6299991607666,FLAT,-76673.0,12,6389.0,-75960.0,6,3940.0,12660.0,21
2025-02-27,sudden,19.6299991607666,HAIRCUT,-76673.0,12,6389.0,-69203.0,5,2759.0,13841.0,21
2025-11-20,episode,23.43000030517578,FLAT,103294.0,11,7110.0,20463.0,4,5116.0,16184.0,20
2025-11-20,episode,23.43000030517578,HAIRCUT,103294.0,11,7110.0,15341.0,4,3835.0,17465.0,20
2026-03-12,episode,27.190000534057617,FLAT,95578.0,10,7442.0,23870.0,4,5968.0,18632.0,20
2026-03-12,episode,27.190000534057617,HAIRCUT,95578.0,10,7442.0,14044.0,3,4681.0,19919.0,20
