entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,gate
2001-05-23,2001-06-13,-2177.2528274225388,roll_21dte,-7.27671804268445,5.7184,-52.32374074239831,14,hv_bullish_vix_rising
2001-10-26,2001-11-13,3035.5297936216984,profit_target,-8.069797371505246,5.3943,69.73274704799525,12,hv_bullish_vix_rising
2002-01-02,2002-01-23,-366.93922521152376,roll_21dte,-6.61578783015878,6.2904,-8.81727341639188,14,hv_bullish_vix_rising
2002-08-19,2002-09-09,-3883.931072409517,roll_21dte,-6.8006465551410855,6.3254,-90.2886824406629,14,hv_bullish_vix_rising
2002-10-21,2002-11-06,2816.8405374532517,profit_target,-7.65582885809566,5.7781,63.67735151801561,12,hv_bullish_vix_rising
2002-11-06,2002-11-21,3056.1228892669387,profit_target,-7.292485720791447,6.0506,69.26227990986698,11,hv_bullish_vix_rising
2003-06-09,2003-06-26,2614.4583464730113,profit_target,-5.405946760123044,7.6103,63.548921674113636,13,hv_bullish_vix_rising
2009-05-04,2009-05-22,663.4351336764314,roll_21dte,-7.976766323103888,5.6721,14.663164885283173,14,hv_bullish_vix_rising
2009-05-22,2009-06-01,3278.760061492735,roll_up,-7.5176330550877,5.9184,73.69265420651406,5,hv_bullish_vix_rising
2009-06-01,2009-06-19,464.8605546994618,roll_21dte,-7.242342231548847,6.0418,10.62373693171201,14,hv_bullish_vix_rising
2009-10-21,2009-11-10,1954.7039765000002,roll_21dte,-6.143844057175926,6.8058,46.747848732989794,14,hv_bullish_vix_rising
2009-11-10,2009-11-25,2594.226378509737,profit_target,-6.224358541669659,6.6088,63.065328240744854,11,hv_bullish_vix_rising
2009-11-27,2009-12-14,3004.6368226594586,profit_target,-6.880638487183859,6.1549,70.94834084056444,11,hv_bullish_vix_rising
2009-12-17,2010-01-04,3235.3092663016705,profit_target,-6.0950152217536555,6.795,78.1180773733294,10,hv_bullish_vix_rising
2010-08-09,2010-08-27,-5392.194185006093,roll_21dte,-6.227271975016961,6.6094,-131.0103641379313,14,hv_bullish_vix_rising
2011-10-11,2011-10-21,2615.251328797835,roll_up,-9.836992211448717,4.5491,58.44207404131624,8,hv_bullish_vix_rising
2011-12-08,2011-12-22,3576.730514769352,profit_target,-9.685546218494736,4.5342,81.44443773289063,10,hv_bullish_vix_rising
2020-04-27,2020-05-11,2917.8037891187714,profit_target,-24.498738359551567,1.834,64.9401119601356,10,hv_bullish_vix_rising
2020-05-11,2020-05-27,2767.4394997418894,profit_target,-20.353584780309404,2.1075,64.5163280492759,11,hv_bullish_vix_rising
