entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,gate
2019-12-10,2019-12-23,5910.753547868564,roll_21dte,-19.628424214247104,3.5505,84.81406897822986,9,nnb_vix_rising
2021-09-10,2021-09-23,1580.1758929251143,roll_21dte,-38.33237484600443,1.8646,22.108232627000902,9,nnb_vix_rising
2021-11-10,2021-11-23,2093.1478667090078,roll_21dte,-34.86298569553651,2.0245,29.65633989591438,9,nnb_vix_rising
2021-11-23,2021-12-07,38.88760574238589,roll_21dte,-37.05367508375241,1.9076,0.5501645490547026,9,nnb_vix_rising
2021-12-10,2021-12-23,1731.1665033101146,roll_21dte,-35.6539452618415,1.9851,24.459572232733432,9,nnb_vix_rising
2025-06-24,2025-07-03,4848.898645681112,roll_up,-42.761238382960414,1.6395,69.16420849166411,7,nnb_vix_rising
2025-08-04,2025-08-15,4540.747375958326,roll_21dte,-45.01417186243964,1.5519,65.00014759465353,9,nnb_vix_rising
2026-01-21,2026-02-03,1495.7142582451675,roll_21dte,-46.52735359818689,1.5053,21.355867654202303,9,nnb_vix_rising
2026-02-09,2026-02-23,-3404.129461263446,roll_21dte,-48.48900166144199,1.4468,-48.52374654544881,9,nnb_vix_rising
2026-07-21,2026-07-21,0.0,open_at_end,-51.28486717059218,1.366,0.0,1,nnb_vix_rising
2000-09-26,2000-10-30,1862.1910687799161,roll_21dte,-12.745619862456962,4.6628,31.334046968701447,24,nnbe_vix_rising
2002-04-30,2002-05-23,3954.9984343613005,profit_target,-9.406938688521706,6.3215,66.50860828934883,17,nnbe_vix_rising
2004-03-10,2004-04-02,3931.886296904199,profit_target,-8.636108964010091,6.9522,65.48782694760793,17,nnbe_vix_rising
2004-07-23,2004-08-24,4113.864459225379,profit_target,-7.288929909112383,8.4235,67.00290376495552,22,nnbe_vix_rising
2012-04-10,2012-05-08,3642.0925047212168,profit_target,-11.252542651519818,5.2635,61.49299944085433,20,nnbe_vix_rising
2012-05-09,2012-06-13,899.495901558963,roll_21dte,-10.901080044753385,5.3446,15.43883241031364,24,nnbe_vix_rising
2012-06-14,2012-07-06,4047.0523027453696,profit_target,-11.681951406007059,5.0769,68.23776793770658,15,nnbe_vix_rising
2012-10-24,2012-11-20,3687.5533197125883,profit_target,-10.51905552158722,5.699,61.51243289723733,17,nnbe_vix_rising
2023-09-27,2023-10-31,3011.9288778422797,roll_21dte,-31.52647822911257,1.8992,50.303540353408216,24,nnbe_vix_rising
2023-10-31,2023-12-05,-3978.424494043942,roll_21dte,-31.005529698742123,1.9397,-66.15115007269013,24,nnbe_vix_rising
