entry,exit,hold_days,entry_spx,exit_spx,entry_vix,ivp,iv_signal,regime,trend,debit_usd,pnl_usd,period_roe,qqq_in,qqq_out,qqq_return,spx_in,spx_out,spx_return,bcd_minus_qqq
2024-01-29,2024-02-22,24,4927.93,5087.03,13.6,22.7,LOW,LOW_VOL,BULLISH,18210.41,7107.41,0.3903,422.94,432.74,0.0232,4927.93,5087.03,0.0323,0.3671
2024-02-23,2024-03-18,24,5088.8,5149.42,13.75,28.3,LOW,LOW_VOL,BULLISH,19095.68,3397.19,0.1779,431.46,432.73,0.0029,5088.8,5149.42,0.0119,0.175
2024-03-19,2024-04-12,24,5178.51,5123.41,13.82,32.7,LOW,LOW_VOL,BULLISH,19547.35,-748.85,-0.0383,433.81,433.51,-0.0007,5178.51,5123.41,-0.0106,-0.0376
2024-05-06,2024-05-30,24,5180.74,5235.48,13.49,26.3,LOW,LOW_VOL,BULLISH,19217.3,3233.12,0.1682,435.47,446.64,0.0257,5180.74,5235.48,0.0106,0.1425
2024-05-31,2024-06-24,24,5277.51,5447.87,12.92,14.7,LOW,LOW_VOL,BULLISH,18583.43,7501.9,0.4037,445.81,469.56,0.0533,5277.51,5447.87,0.0323,0.3504
2024-06-25,2024-07-19,24,5469.3,5505.0,12.84,17.1,LOW,LOW_VOL,BULLISH,19334.95,3232.03,0.1672,474.93,470.82,-0.0086,5469.3,5505.0,0.0065,0.1758
2024-07-22,2024-08-15,24,5564.41,5543.22,14.91,69.7,NEUTRAL,LOW_VOL,BULLISH,22542.2,-601.87,-0.0267,477.84,470.01,-0.0164,5564.41,5543.22,-0.0038,-0.0103
2024-08-16,2024-09-09,24,5554.25,5471.05,14.8,65.3,NEUTRAL,LOW_VOL,BULLISH,22352.26,-1208.08,-0.054,470.62,450.24,-0.0433,5554.25,5471.05,-0.015,-0.0107
2024-11-08,2024-12-02,24,5995.54,6047.15,14.94,60.6,NEUTRAL,LOW_VOL,BULLISH,24243.03,2486.11,0.1025,510.08,511.22,0.0022,5995.54,6047.15,0.0086,0.1003
2024-12-03,2024-12-27,24,6049.88,5970.84,13.3,32.7,LOW,LOW_VOL,BULLISH,21893.81,-2094.72,-0.0957,512.79,519.27,0.0126,6049.88,5970.84,-0.0131,-0.1083
2025-01-24,2025-02-18,25,6101.24,6129.58,14.85,48.2,NEUTRAL,LOW_VOL,BULLISH,24713.78,2109.3,0.0853,526.29,535.97,0.0184,6101.24,6129.58,0.0046,0.0669
2025-07-25,2025-08-18,24,6388.64,6449.15,14.93,9.6,LOW,LOW_VOL,BULLISH,25958.85,3493.46,0.1346,564.27,574.98,0.019,6388.64,6449.15,0.0095,0.1156
2025-08-22,2025-09-15,24,6466.91,6615.28,14.22,5.6,LOW,LOW_VOL,BULLISH,25150.37,7506.81,0.2985,569.85,589.49,0.0345,6466.91,6615.28,0.0229,0.264
2025-12-11,2026-01-05,25,6901.0,6902.05,14.85,6.8,LOW,LOW_VOL,BULLISH,27916.84,544.25,0.0195,623.99,617.21,-0.0109,6901.0,6902.05,0.0002,0.0304
2026-01-06,2026-01-30,24,6944.82,6939.03,14.75,5.2,LOW,LOW_VOL,BULLISH,27893.24,1607.89,0.0576,622.63,621.09,-0.0025,6944.82,6939.03,-0.0008,0.0601
