date,ivp,vix,trend,anchor_spx,fwd_21d_ret,fwd_21d_dir,fwd_34d_ret,fwd_34d_dir,fwd_60d_ret,fwd_60d_dir
2014-07-15,LOW,11.96,BULLISH,1973.28,-0.0269,DOWN,-0.0008,FLAT,0.0055,FLAT
2014-07-16,LOW,11.0,BULLISH,1981.57,-0.031,DOWN,0.0,FLAT,0.0013,FLAT
2014-07-18,LOW,12.06,BULLISH,1978.22,-0.0236,DOWN,0.0072,FLAT,0.0105,UP
2014-07-21,LOW,12.81,BULLISH,1973.63,-0.0186,DOWN,0.0123,UP,0.0186,UP
2014-07-22,LOW,12.24,BULLISH,1983.53,-0.0251,DOWN,0.0073,FLAT,0.0054,FLAT
2014-07-23,LOW,11.52,BULLISH,1987.01,-0.0203,DOWN,0.0065,FLAT,0.0037,FLAT
2014-07-24,LOW,11.84,BULLISH,1987.98,-0.0165,DOWN,0.0061,FLAT,0.0032,FLAT
2014-07-25,LOW,12.69,BULLISH,1978.34,-0.0118,DOWN,0.0093,FLAT,0.0022,FLAT
2014-07-28,LOW,12.56,BULLISH,1978.91,-0.0036,FLAT,0.0118,UP,0.002,FLAT
2014-07-29,MID,13.28,BULLISH,1969.95,0.0059,FLAT,0.0164,UP,0.004,FLAT
2014-07-30,MID,13.33,BULLISH,1970.07,0.0083,FLAT,0.0163,UP,0.0039,FLAT
2014-08-18,LOW,12.32,BULLISH,1971.74,0.0151,UP,0.0114,UP,-0.0431,DOWN
2014-08-19,LOW,12.21,BULLISH,1981.6,0.0035,FLAT,0.0064,FLAT,-0.0392,DOWN
2014-08-20,LOW,11.78,BULLISH,1986.51,0.0046,FLAT,-0.0019,FLAT,-0.0415,DOWN
2014-08-21,LOW,11.76,BULLISH,1992.37,0.0025,FLAT,0.003,FLAT,-0.0443,DOWN
2014-08-22,LOW,11.47,BULLISH,1988.4,-0.0014,FLAT,-0.0113,DOWN,-0.0237,DOWN
2014-08-25,LOW,11.7,BULLISH,1997.92,-0.0069,FLAT,-0.0101,DOWN,-0.0167,DOWN
2014-08-26,LOW,11.63,BULLISH,2000.02,-0.0005,FLAT,-0.0111,DOWN,-0.0192,DOWN
2014-08-27,LOW,11.78,BULLISH,2000.12,0.0007,FLAT,-0.0139,DOWN,-0.0192,DOWN
2014-08-28,LOW,12.05,BULLISH,1996.74,0.0073,FLAT,-0.0253,DOWN,-0.0176,DOWN
2014-08-29,LOW,12.09,BULLISH,2003.37,0.0035,FLAT,-0.0286,DOWN,-0.0091,FLAT
2014-09-02,LOW,12.25,BULLISH,2002.28,-0.0097,FLAT,-0.0187,DOWN,0.0078,FLAT
2014-09-03,LOW,12.36,BULLISH,2000.72,-0.0012,FLAT,-0.0328,DOWN,0.0085,FLAT
2014-09-04,LOW,12.64,BULLISH,1997.65,-0.0158,DOWN,-0.0144,DOWN,0.0101,UP
2014-09-05,LOW,12.09,BULLISH,2007.71,-0.0124,DOWN,-0.0396,DOWN,0.0022,FLAT
2014-09-08,LOW,12.66,BULLISH,2001.54,-0.0119,DOWN,-0.0634,DOWN,0.0152,UP
2014-09-09,MID,13.5,BULLISH,1988.44,-0.0081,FLAT,-0.0572,DOWN,0.0251,UP
2014-09-10,MID,12.88,BULLISH,1995.69,-0.0248,DOWN,-0.0591,DOWN,0.0213,UP
2014-09-11,LOW,12.8,BULLISH,1997.45,-0.0257,DOWN,-0.0676,DOWN,0.0204,UP
2014-09-12,MID,13.31,BULLISH,1985.54,-0.0089,FLAT,-0.0618,DOWN,0.0273,UP
2014-09-15,HIGH,14.12,BULLISH,1984.13,-0.0097,FLAT,-0.0404,DOWN,0.0281,UP
2014-09-16,LOW,12.73,BULLISH,1998.98,-0.032,DOWN,-0.0475,DOWN,0.0212,UP
2014-09-17,LOW,12.65,BULLISH,2001.57,-0.0163,DOWN,-0.0301,DOWN,0.0199,UP
2014-09-18,LOW,12.03,BULLISH,2011.36,-0.0413,DOWN,-0.0419,DOWN,0.0149,UP
2014-09-19,LOW,12.11,BULLISH,2010.4,-0.0519,DOWN,-0.0296,DOWN,0.0206,UP
2014-09-22,MID,13.69,BULLISH,1994.29,-0.0599,DOWN,-0.0164,DOWN,0.0347,UP
2014-09-24,MID,13.27,BULLISH,1998.3,-0.068,DOWN,-0.0066,FLAT,0.0356,UP
2014-10-31,MID,14.03,BULLISH,2018.05,0.0225,UP,0.0267,UP,0.0309,UP
2014-11-05,MID,14.17,BULLISH,2023.57,0.0243,UP,0.0179,UP,-0.0015,FLAT
2014-11-06,MID,13.67,BULLISH,2031.21,0.0179,UP,-0.0025,FLAT,-0.0052,FLAT
2014-11-07,MID,13.12,BULLISH,2031.92,0.0175,UP,0.0017,FLAT,-0.0144,DOWN
2014-11-10,LOW,12.67,BULLISH,2038.26,0.0074,FLAT,-0.0239,DOWN,0.0032,FLAT
2014-11-11,MID,12.92,BULLISH,2039.68,0.0132,UP,-0.0245,DOWN,-0.0056,FLAT
2014-11-12,MID,13.02,BULLISH,2038.25,0.0177,UP,-0.0321,DOWN,-0.0049,FLAT
2014-11-13,MID,13.79,BULLISH,2039.33,0.016,UP,-0.013,DOWN,-0.0054,FLAT
2014-11-14,MID,13.31,BULLISH,2039.82,0.0174,UP,0.0105,UP,-0.0082,FLAT
2014-11-17,MID,13.99,BULLISH,2041.32,0.0093,FLAT,0.0182,UP,-0.0107,DOWN
2014-11-18,MID,13.86,BULLISH,2051.8,0.0039,FLAT,0.013,UP,-0.0143,DOWN
2014-11-19,MID,13.96,BULLISH,2048.72,-0.011,DOWN,0.0163,UP,-0.0128,DOWN
2014-11-20,MID,13.58,BULLISH,2052.75,-0.0085,FLAT,0.0142,UP,-0.0147,DOWN
2014-11-21,MID,12.9,BULLISH,2063.5,-0.0296,DOWN,0.0122,UP,-0.0198,DOWN
2014-11-24,LOW,12.62,BULLISH,2069.41,-0.0386,DOWN,0.0102,UP,-0.0085,FLAT
2014-11-25,LOW,12.25,BULLISH,2067.03,-0.0456,DOWN,0.0114,UP,-0.0048,FLAT
2014-11-26,LOW,12.07,BULLISH,2072.83,-0.0289,DOWN,0.0036,FLAT,-0.0076,FLAT
2014-11-28,MID,13.33,BULLISH,2067.56,0.0015,FLAT,-0.0045,FLAT,-0.0184,DOWN
