signal_date,entry_date,settle_date,year,S,KL,KS,vix,hold_td,ST,gap_t1_pct,knife_pct,capped,debit_inc,pnl_inc,debit_calib,pnl_calib,debit_stress,pnl_stress,cash_days
2016-11-02,2016-11-03,2016-12-05,2016,2097.93994140625,2100,2150,19.31999969482422,21,2204.7099609375,0.0004099771422905185,-0.0016661307322337615,True,22.98,72742.0,23.446,70050.0,32.472,33208.0,1312500.0
2018-02-05,2018-02-06,2018-03-08,2018,2648.93994140625,2650,2715,37.31999969482422,21,2738.969970703125,-0.012895691433170264,-0.04235026645275197,True,33.393,58503.0,30.867,68407.0,42.871,31753.0,1312500.0
2018-10-10,2018-10-11,2018-11-12,2018,2785.679931640625,2785,2855,22.959999084472656,22,2726.219970703125,-0.003162536497126056,-0.03193119461274063,False,33.414,-62548.0,33.432,-62548.0,45.699,-62535.0,1375000.0
2019-05-13,2019-05-14,2019-06-13,2019,2811.8701171875,2810,2880,20.549999237060547,21,2891.639892578125,0.002933990424939026,-0.03173851479744216,True,33.025,69268.0,33.61,66972.0,45.85,32409.0,1312500.0
2019-08-05,2019-08-06,2019-09-05,2019,2844.739990234375,2845,2915,24.59000015258789,21,2976.0,0.005779066439353331,-0.014286331524018259,True,33.764,66383.0,33.445,67611.0,46.068,31961.0,1312500.0
2019-10-02,2019-10-03,2019-11-04,2019,2887.610107421875,2890,2960,20.559999465942383,22,3078.27001953125,-0.0007723427077785949,-0.006036433667674923,True,32.524,71297.0,32.936,69624.0,45.471,33202.0,1375000.0
2020-02-24,2020-02-25,2020-03-26,2020,3225.889892578125,3225,3305,25.030000686645508,22,2630.070068359375,0.004045410495302271,-0.2847667099451282,False,38.808,-62542.0,38.373,-62542.0,52.712,-62531.0,1375000.0
2020-09-04,2020-09-08,2020-10-05,2020,3426.9599609375,3425,3515,30.75,19,3408.60009765625,-0.016072577080804895,-0.02848881204131215,False,44.903,-62536.0,42.935,-62538.0,58.33,-62528.0,1187500.0
2020-10-19,2020-10-20,2020-11-19,2020,3426.919921875,3425,3515,29.18000030517578,22,3581.8701171875,0.0036359066513240723,-0.050291639662994214,True,44.532,63149.0,42.944,67794.0,58.294,33486.0,1375000.0
2021-03-04,2021-03-05,2021-04-05,2021,3768.469970703125,3770,3865,28.56999969482422,20,4077.909912109375,0.006663210166748312,-0.005359231030161227,True,46.666,64067.0,45.104,68449.0,61.975,32802.0,1250000.0
2021-05-12,2021-05-13,2021-06-14,2021,4063.0400390625,4065,4165,27.59000015258789,21,4255.14990234375,0.0029411354692512326,0.0,True,48.947,64522.0,47.596,68127.0,65.766,32036.0,1312500.0
2021-09-21,2021-09-22,2021-10-22,2021,4354.18994140625,4355,4465,24.360000610351562,22,4544.89990234375,0.0030408031236974775,-0.021653313924897444,True,52.733,67195.0,52.234,68435.0,71.493,33162.0,1375000.0
2021-12-01,2021-12-02,2022-01-03,2021,4513.0400390625,4515,4625,31.1200008392334,21,4796.56005859375,-0.0018413438661794013,-0.008448563730297565,True,54.96,61940.0,52.44,67920.0,72.765,31490.0,1312500.0
2022-01-18,2022-01-19,2022-02-18,2022,4577.10986328125,4575,4690,22.790000915527344,22,4348.8701171875,0.0023857679193157733,-0.045502080556779956,False,54.967,-62529.0,55.095,-62529.0,75.248,-62521.0,1375000.0
2024-04-17,2024-04-18,2024-05-20,2024,5022.2099609375,5020,5150,18.209999084472656,22,5308.1298828125,0.0018537772546673992,-0.00875854812743615,True,59.428,73512.0,61.114,69760.0,82.328,35681.0,1375000.0
2024-07-24,2024-07-25,2024-08-26,2024,5427.1298828125,5425,5565,18.040000915527344,22,5616.83984375,0.00028934492704379977,-0.03942979323819096,True,63.883,73762.0,65.758,69878.0,88.637,35708.0,1375000.0
2024-09-06,2024-09-09,2024-10-07,2024,5408.419921875,5410,5545,22.3799991607666,20,5695.93994140625,0.006221762146768395,0.0,True,63.821,69023.0,63.974,68707.0,87.697,33215.0,1250000.0
2025-01-10,2025-01-13,2025-02-10,2025,5827.0400390625,5825,5975,19.540000915527344,19,6066.43994140625,-0.007726052889537538,0.0,True,69.452,71790.0,70.875,69094.0,95.876,34779.0,1187500.0
2025-02-27,2025-02-28,2025-03-31,2025,5861.56982421875,5860,6010,21.1299991607666,21,5611.85009765625,-0.000823941365296954,-0.07271475026765473,False,70.42,-62523.0,71.183,-62523.0,96.676,-62517.0,1312500.0
2025-11-20,2025-11-21,2025-12-22,2025,6538.759765625,6540,6700,26.420000076293945,20,6878.490234375,0.002601449589213267,0.0,True,78.047,64970.0,76.478,67585.0,105.66,31657.0,1250000.0
2026-03-12,2026-03-13,2026-04-13,2026,6672.6201171875,6675,6840,27.290000915527344,20,6886.240234375,0.00013040112762574552,-0.04349539580606987,True,80.671,64677.0,78.592,68042.0,108.41,32137.0,1250000.0
