entry_date,exit_date_orig,actual_exit_date,stop_triggered_on,was_stopped,vix_at_entry,vix_at_exit,hold_days,S_entry,S_exit,K_short,K_long,contracts,entry_credit_ps,exit_cost_ps,pnl,p3_orig_pnl,premature_winner,bp,bp_day,version
2022-03-22,2022-04-11,2022-04-11,,False,22.94,24.37,20,4511.61,4412.53,4254.0,4110.0,1.6041,23.6184,23.686,-10.84,1.67,False,23057.27,-0.0086,A_no_stop
2025-05-02,2025-05-13,2025-05-13,,False,22.68,18.22,11,5686.67,5886.55,5365.0,5186.0,1.2973,29.4185,3.0279,3423.66,3422.88,False,23257.92,4.8845,A_no_stop
2009-11-10,2009-11-25,2009-11-25,,False,22.84,20.48,15,1093.01,1110.63,1031.0,996.0,6.6088,5.6958,1.4882,2780.75,2792.96,False,22921.47,2.952,B_vix_28
2011-10-11,2011-10-21,2011-10-13,2011-10-12,True,32.86,30.700000762939453,2,1195.54,1203.6600341796875,1099.0,1046.0,4.5491,9.1289,7.0371,951.62,2727.29,True,24022.53,7.2295,B_vix_28
2011-10-24,2011-11-11,2011-10-26,2011-10-25,True,29.26,29.860000610351562,2,1254.19,1242.0,1163.0,1114.0,4.6143,8.4717,9.4857,-467.86,2165.66,True,23030.8,-3.7074,B_vix_28
2011-11-11,2011-12-02,2011-11-15,2011-11-14,True,30.04,31.219999313354492,4,1263.85,1257.81005859375,1170.0,1119.0,4.4502,8.7771,9.082,-135.68,1976.23,True,22920.96,-0.5402,B_vix_28
2011-12-08,2011-12-22,2011-12-22,,False,30.59,21.16,14,1234.35,1254.0,1141.0,1090.0,4.5342,8.738,1.0146,3501.94,3497.47,False,23184.51,3.938,B_vix_28
2020-04-27,2020-05-11,2020-04-29,2020-04-28,True,33.29,31.229999542236328,2,2878.48,2939.510009765625,2643.0,2515.0,1.834,22.2864,13.7288,1569.46,3076.79,True,23591.69,12.141,B_vix_28
2020-05-11,2020-05-27,2020-05-13,2020-05-12,True,27.57,35.279998779296875,2,2930.19,2820.0,2730.0,2619.0,2.1075,18.5926,37.0972,-3899.84,3080.87,True,23285.53,-30.5649,B_vix_28
2020-05-27,2020-06-05,2020-05-29,2020-05-28,True,27.62,27.510000228881836,2,3036.13,3044.31005859375,2828.0,2714.0,2.0252,19.3015,17.4732,370.26,3318.45,True,23223.4,2.9096,B_vix_28
2020-06-05,2020-06-25,2020-06-12,2020-06-11,True,24.52,36.09000015258789,7,3193.93,3041.31005859375,2999.0,2891.0,2.1356,17.9237,42.5889,-5267.5,-2329.5,False,23106.44,-11.8868,B_vix_28
2020-06-25,2020-07-06,2020-06-29,2020-06-26,True,32.22,31.780000686645508,4,3083.76,3053.239990234375,2840.0,2706.0,1.7546,23.0629,23.8855,-144.34,3018.44,True,23484.03,-0.5608,B_vix_28
2020-07-07,2020-07-20,2020-07-09,2020-07-08,True,29.43,29.260000228881836,2,3145.32,3152.050048828125,2917.0,2791.0,1.8793,21.377,19.6923,316.61,3408.77,True,23647.87,2.4434,B_vix_28
2020-11-06,2020-11-23,2020-11-23,,False,24.86,22.66,17,3509.44,3577.59,3292.0,3172.0,1.9403,19.9796,4.2029,3061.17,3056.36,False,23360.48,2.8135,B_vix_28
2021-03-10,2021-03-26,2021-03-26,,False,22.56,18.86,16,3898.81,3974.54,3680.0,3557.0,1.862,20.0586,3.0501,3166.99,3171.69,False,22774.99,3.1722,B_vix_28
2022-03-22,2022-04-11,2022-04-11,,False,22.94,24.37,20,4511.61,4412.53,4254.0,4110.0,1.6041,23.6184,23.686,-10.84,1.67,False,23057.27,-0.0086,B_vix_28
2025-05-02,2025-05-13,2025-05-13,,False,22.68,18.22,11,5686.67,5886.55,5365.0,5186.0,1.2973,29.4185,3.0279,3423.66,3422.88,False,23257.92,4.8845,B_vix_28
2009-11-10,2009-11-25,2009-11-25,,False,22.84,20.48,15,1093.01,1110.63,1031.0,996.0,6.6088,5.6958,1.4882,2780.75,2792.96,False,22921.47,2.952,C_vix_30
2011-10-11,2011-10-21,2011-10-13,2011-10-12,True,32.86,30.700000762939453,2,1195.54,1203.6600341796875,1099.0,1046.0,4.5491,9.1289,7.0371,951.62,2727.29,True,24022.53,7.2295,C_vix_30
2011-10-24,2011-11-11,2011-10-26,2011-10-25,True,29.26,29.860000610351562,2,1254.19,1242.0,1163.0,1114.0,4.6143,8.4717,9.4857,-467.86,2165.66,True,23030.8,-3.7074,C_vix_30
2011-11-11,2011-12-02,2011-11-15,2011-11-14,True,30.04,31.219999313354492,4,1263.85,1257.81005859375,1170.0,1119.0,4.4502,8.7771,9.082,-135.68,1976.23,True,22920.96,-0.5402,C_vix_30
2011-12-08,2011-12-22,2011-12-22,,False,30.59,21.16,14,1234.35,1254.0,1141.0,1090.0,4.5342,8.738,1.0146,3501.94,3497.47,False,23184.51,3.938,C_vix_30
2020-04-27,2020-05-11,2020-04-29,2020-04-28,True,33.29,31.229999542236328,2,2878.48,2939.510009765625,2643.0,2515.0,1.834,22.2864,13.7288,1569.46,3076.79,True,23591.69,12.141,C_vix_30
2020-05-11,2020-05-27,2020-05-13,2020-05-12,True,27.57,35.279998779296875,2,2930.19,2820.0,2730.0,2619.0,2.1075,18.5926,37.0972,-3899.84,3080.87,True,23285.53,-30.5649,C_vix_30
2020-05-27,2020-06-05,2020-06-05,,False,27.62,24.52,9,3036.13,3193.93,2828.0,2714.0,2.0252,19.3015,2.8988,3321.86,3318.45,False,23223.4,5.801,C_vix_30
2020-06-05,2020-06-25,2020-06-12,2020-06-11,True,24.52,36.09000015258789,7,3193.93,3041.31005859375,2999.0,2891.0,2.1356,17.9237,42.5889,-5267.5,-2329.5,False,23106.44,-11.8868,C_vix_30
2020-06-25,2020-07-06,2020-06-29,2020-06-26,True,32.22,31.780000686645508,4,3083.76,3053.239990234375,2840.0,2706.0,1.7546,23.0629,23.8855,-144.34,3018.44,True,23484.03,-0.5608,C_vix_30
2020-07-07,2020-07-20,2020-07-14,2020-07-13,True,29.43,29.520000457763672,7,3145.32,3197.52001953125,2917.0,2791.0,1.8793,21.377,13.4714,1485.69,3408.77,True,23647.87,3.2759,C_vix_30
2020-11-06,2020-11-23,2020-11-23,,False,24.86,22.66,17,3509.44,3577.59,3292.0,3172.0,1.9403,19.9796,4.2029,3061.17,3056.36,False,23360.48,2.8135,C_vix_30
2021-03-10,2021-03-26,2021-03-26,,False,22.56,18.86,16,3898.81,3974.54,3680.0,3557.0,1.862,20.0586,3.0501,3166.99,3171.69,False,22774.99,3.1722,C_vix_30
2022-03-22,2022-04-11,2022-04-11,,False,22.94,24.37,20,4511.61,4412.53,4254.0,4110.0,1.6041,23.6184,23.686,-10.84,1.67,False,23057.27,-0.0086,C_vix_30
2025-05-02,2025-05-13,2025-05-13,,False,22.68,18.22,11,5686.67,5886.55,5365.0,5186.0,1.2973,29.4185,3.0279,3423.66,3422.88,False,23257.92,4.8845,C_vix_30
2009-11-10,2009-11-25,2009-11-25,,False,22.84,20.48,15,1093.01,1110.63,1031.0,996.0,6.6088,5.6958,1.4882,2780.75,2792.96,False,22921.47,2.952,D_entry_x110
2011-10-11,2011-10-21,2011-10-21,,False,32.86,31.32,10,1195.54,1238.25,1099.0,1046.0,4.5491,9.1289,3.1334,2727.44,2727.29,False,24022.53,4.1441,D_entry_x110
2011-10-24,2011-11-11,2011-10-26,2011-10-25,True,29.26,29.860000610351562,2,1254.19,1242.0,1163.0,1114.0,4.6143,8.4717,9.4857,-467.86,2165.66,True,23030.8,-3.7074,D_entry_x110
2011-11-11,2011-12-02,2011-11-17,2011-11-16,True,30.04,34.5099983215332,6,1263.85,1216.1300048828125,1170.0,1119.0,4.4502,8.7771,14.9699,-2755.89,1976.23,True,22920.96,-7.3143,D_entry_x110
2011-12-08,2011-12-22,2011-12-22,,False,30.59,21.16,14,1234.35,1254.0,1141.0,1090.0,4.5342,8.738,1.0146,3501.94,3497.47,False,23184.51,3.938,D_entry_x110
2020-04-27,2020-05-11,2020-05-04,2020-05-01,True,33.29,35.970001220703125,7,2878.48,2842.739990234375,2643.0,2515.0,1.834,22.2864,25.0355,-504.18,3076.79,True,23591.69,-1.1144,D_entry_x110
2020-05-11,2020-05-27,2020-05-13,2020-05-12,True,27.57,35.279998779296875,2,2930.19,2820.0,2730.0,2619.0,2.1075,18.5926,37.0972,-3899.84,3080.87,True,23285.53,-30.5649,D_entry_x110
2020-05-27,2020-06-05,2020-06-05,,False,27.62,24.52,9,3036.13,3193.93,2828.0,2714.0,2.0252,19.3015,2.8988,3321.86,3318.45,False,23223.4,5.801,D_entry_x110
2020-06-05,2020-06-25,2020-06-10,2020-06-09,True,24.52,27.56999969482422,5,3193.93,3190.139892578125,2999.0,2891.0,2.1356,17.9237,19.5885,-355.53,-2329.5,False,23106.44,-1.1232,D_entry_x110
2020-06-25,2020-07-06,2020-07-06,,False,32.22,27.94,11,3083.76,3179.72,2840.0,2706.0,1.7546,23.0629,5.8892,3013.31,3018.44,False,23484.03,4.2577,D_entry_x110
2020-07-07,2020-07-20,2020-07-20,,False,29.43,24.46,13,3145.32,3251.84,2917.0,2791.0,1.8793,21.377,3.2572,3405.25,3408.77,False,23647.87,4.043,D_entry_x110
2020-11-06,2020-11-23,2020-11-23,,False,24.86,22.66,17,3509.44,3577.59,3292.0,3172.0,1.9403,19.9796,4.2029,3061.17,3056.36,False,23360.48,2.8135,D_entry_x110
2021-03-10,2021-03-26,2021-03-26,,False,22.56,18.86,16,3898.81,3974.54,3680.0,3557.0,1.862,20.0586,3.0501,3166.99,3171.69,False,22774.99,3.1722,D_entry_x110
2022-03-22,2022-04-11,2022-04-11,,False,22.94,24.37,20,4511.61,4412.53,4254.0,4110.0,1.6041,23.6184,23.686,-10.84,1.67,False,23057.27,-0.0086,D_entry_x110
2025-05-02,2025-05-13,2025-05-13,,False,22.68,18.22,11,5686.67,5886.55,5365.0,5186.0,1.2973,29.4185,3.0279,3423.66,3422.88,False,23257.92,4.8845,D_entry_x110
